(H)ukšā́	<i>noun</i><br><ol><li>bull</li></ol>
Háćwapatiš|Háćwapatayas|Háćwapatay|Háćwapatim|Háćwapatibʰiš|Háćwapatayš|Háćwapatyawš|Háćwapatīn|Háćwapatāw?|Háćwapatayām?|Háćwapatišu|Háćwapatayay|Háćwapatibʰyām|HáćwapatiH|Háćwapatā?|Háćwapatibʰyas	<i>noun</i><br><ol><li>master of horses, chief of cavalry</li></ol>
Háćwas|Háćwaybʰyas|Háćway|Háćwayaw|Háćwāy|Háćwānam|Háćwāt|Háćwa|Háćwayās|Háćwam|Háćwasya|HáćwānaHm|Háćwayšu|Háćwāns|Háćwā|Háćwāyš|HáćwaybʰyaH	<i>noun</i><br><ol><li>horse</li></ol>
Háćšas|Háćšam|Háćšay|HáćšānaHm|Háćšayaw|Háćša|Háćšayšu|Háćšānam|Háćšā|Háćšāyš|Háćšāy|Háćšāns|Háćšaybʰyas|HáćšaybʰyaH|Háćšasya|Háćšayās|Háćšāt	<i>noun</i><br><ol><li>axle</li></ol>
HáštraH|Háštrāyās|HáštraHbʰyām|HáštrayaHm|HáštraHbʰyas|Háštrās|HáštrayaHy|HáštraHsu|Háštrām|HáštraHbʰiš|Háštray|Háštrāyaw|HáštrayaHs|HáštrayaH|HáštraHnām|HáštraHbʰyā	<i>noun</i><br><ol><li>whip (for driving cattle)</li><li>goad</li></ol>
Háǰʰiš|Háǰʰā?|Háǰʰim|Háǰʰyawš|Háǰʰibʰiš|HáǰʰiH|Háǰʰayām?|Háǰʰayš|Háǰʰayas|Háǰʰayay|Háǰʰīn|Háǰʰāw?|Háǰʰišu|Háǰʰibʰyas|Háǰʰibʰyām|Háǰʰay	<i>noun</i><br><ol><li>snake</li></ol>
Háȷ́ati	<i>verb</i><br><ol><li>to drive, lead</li></ol>
Háȷ́ras|Háȷ́ray|Háȷ́raybʰyaH|Háȷ́rayšu|Háȷ́rānaHm|Háȷ́rānam|Háȷ́ra|Háȷ́rayās|Háȷ́rasya|Háȷ́raybʰyas|Háȷ́rāyš|Háȷ́rā|Háȷ́rāt|Háȷ́rāns|Háȷ́rāy|Háȷ́ram|Háȷ́rayaw	<i>noun</i><br><ol><li>field, pasture</li></ol>
Hítaras	<i>adj</i><br><ol><li>other, another</li></ol>
HíšHyati	<i>verb</i><br><ol><li>to speed forward</li><li>to send forth</li></ol>
Hā́ps	<i>noun</i><br><ol><li>water</li></ol>
Hā́yu	<i>noun</i><br><ol><li>lifetime, life</li></ol>
Hŕ̥ćšas|Hŕ̥ćšāt|Hŕ̥ćšasya|Hŕ̥ćšayās|Hŕ̥ćšāns|Hŕ̥ćšaybʰyas|Hŕ̥ćšay|Hŕ̥ćšānam|Hŕ̥ćšayaw|Hŕ̥ćša|Hŕ̥ćšam|Hŕ̥ćšayšu|Hŕ̥ćšāyš|Hŕ̥ćšā|Hŕ̥ćšāy|Hŕ̥ćšānaHm|Hŕ̥ćšaybʰyaH	<i>noun</i><br><ol><li>bear</li></ol>
SáraswatiH	<i>name</i><br><ol><li>Sarasvati (a mythical river, perhaps identified with the Helmand river in Afghanistan)</li></ol>
Wr̥tragʰnás|Wr̥tragʰnā́y|Wr̥tragʰnā́naHm|Wr̥tragʰnā́ns|Wr̥tragʰnáyaw|Wr̥tragʰnā́nam|Wr̥tragʰna|Wr̥tragʰnásya|Wr̥tragʰnáybʰyas|Wr̥tragʰnáybʰyaH|Wr̥tragʰnā́|Wr̥tragʰnáy|Wr̥tragʰnā́yš|Wr̥tragʰnā́t|Wr̥tragʰnám|Wr̥tragʰnáyās|Wr̥tragʰnáyšu	<i>name</i><br><ol><li>the name of a god of victory</li></ol>
Yámas|Yámā|YámānaHm|Yámayšu|Yámayaw|Yámay|Yáma|YámaybʰyaH|Yámāns|Yámāt|Yámānam|Yámayās|Yámāyš|Yámam|Yámaybʰyas|Yámasya|Yámāy	<i>name</i><br><ol><li>(religion) Yama, god of the underworld</li></ol>
abʰrás|abʰrā́yš|abʰrásya|abʰráyšu|abʰrám|abʰrā́naHm|abʰráy|abʰrā́y|abʰrā́|abʰráybʰyas|abʰrā́ns|abʰrā́nam|abʰra|abʰráyās|abʰráyaw|abʰráybʰyaH|abʰrā́t	<i>noun</i><br><ol><li>cloud, raincloud</li></ol>
adᶻdʰáH	<i>adj</i><br><ol><li>known, true</li></ol>
agrúH	<i>noun</i><br><ol><li>an unmarried girl; a virgin</li></ol>
agʰnyáH|agʰnyā́m|agʰnyáHsu|agʰnyáyaH|agʰnyáHnām|agʰnyáyaHm|agʰnyáyaHs|agʰnyáHbʰyā|agʰnyáy|agʰnyāyās|agʰnyāyaw|agʰnyáyaH́|agʰnyáyaHy|agʰnyáHbʰyām|agʰnyay|agʰnyáHbʰiš|agʰnyā́s|agʰnyáHbʰyas	<i>noun</i><br><ol><li>milch cow</li></ol>
amŕ̥tas	<i>adj</i><br><ol><li>immortal</li></ol>
andʰás|(H)andʰás	<i>adj</i><br><ol><li>blind</li></ol>
aryamā́|Aryamā́	<i>noun</i><br><ol><li>fellow, companion</li><li>member of one's tribe or clan</li></ol><br><i>name</i><br><ol><li>name of a deity: Aryaman, Aryomen</li></ol>
ayám	<i>pron</i><br><ol><li>he, this (proximal)</li></ol>
aśćaHyás	<i>adj</i><br><ol><li>shadowless</li></ol>
aštamás	<i>adj</i><br><ol><li>eighth</li></ol>
