(H)ukšā́	<i>noun</i><br><ol><li>bull</li></ol>
máryas|máryānaHm|máryayās|máryay|máryasya|máryāy|máryayšu|máryā|máryam|máryānam|máryaybʰyas|márya|máryāns|máryaybʰyaH|máryāyš|máryayaw|máryāt	<i>noun</i><br><ol><li>young man</li></ol>
mátsyas|mátsyayās|mátsyāns|mátsyam|mátsyasya|mátsyayšu|mátsyaybʰyaH|mátsyay|mátsyā|mátsyāy|mátsyānam|mátsyāt|mátsyayaw|mátsyāyš|mátsyānaHm|mátsya|mátsyaybʰyas	<i>noun</i><br><ol><li>fish</li></ol>
múHs	<i>noun</i><br><ol><li>mouse</li></ol>
múHtram|múHtrayšu|múHtrāyš|múHtraybʰyaH|múHtrayās|múHtraH|múHtraybʰyas|múHtrāy|múHtrayaw|múHtray|múHtrānaHm|múHtrāt|múHtrānam|múHtrasya|múHtrā	<i>noun</i><br><ol><li>excrement, urine</li></ol>
māmsám|māmsā|māmsasya|māmsam|māmsay|māmsāyš|māmsayšu|māmsānaHm|māmsaybʰyas|māmsāy|māmsayaw|māmsayās|māmsāt|māmsaybʰyaH|māmsaH|māmsānam	<i>noun</i><br><ol><li>flesh, meat</li></ol>
mā́Has	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
mŕ̥tas	<i>noun</i><br><ol><li>mortal, man</li></ol>
naHuHaȷ́ás|naHuHaȷ́āns|naHuHaȷ́āyš|naHuHaȷ́ay|naHuHaȷ́ayās|naHuHaȷ́a|naHuHaȷ́āt|naHuHaȷ́asya|naHuHaȷ́ānam|naHuHaȷ́aybʰyaH|naHuHaȷ́aybʰyas|naHuHaȷ́ayšu|naHuHaȷ́am|naHuHaȷ́ayaw|naHuHaȷ́āy|naHuHaȷ́as|naHuHaȷ́ānaHm|naHuHaȷ́ā	<i>noun</i><br><ol><li>navigator, captain, skipper.</li></ol>
naHwiyás	<i>adj</i><br><ol><li>boatable, navigable</li></ol>
nadíH|nadíHbʰyas|nadíHsu|nadíHbʰiš|nadíHnām|nadyáHs|nadíHbʰyām|nadíyaw|nadíHbʰyā|nadíHm|nadíH́s|nadyáH|nadyáy|nadíyās	<i>noun</i><br><ol><li>river</li></ol>
nagnás	<i>adj</i><br><ol><li>naked, nude</li></ol>
namrás	<i>adj</i><br><ol><li>submissive, humble</li></ol>
niždás|niždā́nam|niždáyaw|niždā́t|niždáybʰyaH|niždáyās|niždásya|niždā́naHm|niždáy|niždā́ns|niždám|niždā́yš|niždā́|nižda|niždáyšu|niždā́y|niždáybʰyas	<i>noun</i><br><ol><li>nest</li></ol>
ná	<i>adv</i><br><ol><li>no, not</li></ol>
náHsaH|náHsayaHs|náHsāyās|náHsayaHy|náHsay|náHsām|náHsās|náHsaHbʰyā|náHsaHnām|náHsāyaw|náHsayaHm|náHsaHbʰiš|náHsaHbʰyām|náHsaHsu|náHsaHbʰyas|náHsayaH	<i>noun</i><br><ol><li>nose</li></ol>
náHuš|náHušu|náHum|náHunām?|náHunš|náHawš|náHuwaHs|náHaw|náHubʰyaH|náHā?|náHaway|náHubʰyas|náHuH|náHāw?|náHubʰiš|náHuwaw|náHawas	<i>noun</i><br><ol><li>boat</li></ol>
nábʰas	<i>noun</i><br><ol><li>cloud, mist moisture</li></ol>
námas	<i>noun</i><br><ol><li>deference, respect, homage</li></ol>
námati|namyádʰway|3rd|námaHni|námatay|ánamat|námyas|namyáHmadʰHaHy|namyátām|namyámHnas|anámadʰwam|natás|namyáy|námaytʰās|namáHmadʰHaHy|namyáHwadʰHaHy|námantay|anamyáHwadʰHi|námaHwa|námatʰa|námatu|anamyánta|anámaytām|námasay|nántum|námatʰas|anamyáta|namyántay|námaytʰay|námadʰwam|anámaHma|anámatām|anámaytʰām|anamyáytʰām|námasi|namyántam|námays|námaydʰwam|námanti|anamáHwadʰHi|namyáytām|namáywadʰHi|anamyáy|náma|namáHmadʰHay|námayHunt|namáHwadʰHay|namyáyta|ánamay|namyátay|námatas|námantu|námadʰway|námata|namyáHwadʰHay|námamHnas|anámatam|namyáytʰām|námayt|anámatʰās|namyáHy|namáymadʰHi|námayrant|námaytay|natwáH|námaytʰām|ánamant|namáHwadʰHaHy|namyáHmadʰHay|námaHy|anamáHmadʰHi|námayHa|namyáyHātām|anamyátʰās|anamyáytām|2nd|namyáytay|ánamam|namáyHātām|námaHmi|námatam|namyáytʰās|namyáyHa|namyáydʰwam|anámanta|namyáyrant|namyáyHātʰām|námantam|namyádʰwam|námant|anámata|námaswa|námaytam|1st|anámaHwa|námaHwas|namyáytʰay|námayHam|namyáywadʰHi|anamyáHmadʰHi|namáyHātʰām|námaHmas|ánamas|namyáswa|námayta|anamyádʰwam|námatām|námaHma|namyásay|namyáymadʰHi|námay|námaywa|námaymas|námaytām	<i>verb</i><br><ol><li>to bend, bow</li></ol>
nápāts	<i>noun</i><br><ol><li>descendant</li><li>grandson</li></ol>
násatay	<i>verb</i><br><ol><li>to approach, join</li></ol>
náwas	<i>adj</i><br><ol><li>new</li></ol>
náyHati|aniHyáta|3rd|niHyáHwadʰHaHy|niHyádʰway|náyHadʰwam|náyHatʰas|niHyáHwadʰHay|anáyHatam|nayHáHmadʰHay|anáyHatām|nayHáymadʰHi|náyHatam|náyHaswa|niHyántam|niHyáHy|niHyáyHātām|náyHayHa|nayHáyHātʰām|náyHaytʰās|ánayHant|ánayHat|náyHaydʰwam|náyHaHwa|niHtás|náyHayrant|niHyásay|náyHays|náyHaytam|anayHáHmadʰHi|aniHyáytʰām|ánayHas|niHyáHmadʰHaHy|niHyáyrant|náyHantay|niHyádʰwam|náyHanti|náyHtum|anáyHaHma|ánayHay|anáyHaHwa|nayHáywadʰHi|niHyáydʰwam|nayHyás|náyHasay|náyHaHwas|niHyátay|aniHyátʰās|niHyáHmadʰHay|náyHaytʰay|niHyáytām|nayHáyHātām|náyHamHnas|niHyámHnas|niHyáswa|niHyáy|niHyáytʰās|anayHáHwadʰHi|náyHaymas|aniHyádʰwam|aniHyánta|náyHatas|náyHaHy|náyHasi|nayHáHwadʰHaHy|náyHata|náyHadʰway|náyHantu|anáyHata|ánayHam|niHyáyta|náyHaHmas|niHyántay|niHyáywadʰHi|2nd|aniHyáHmadʰHi|náyHantam|náyHayta|anáyHatʰās|náyHayt|niHyáytay|niHyáymadʰHi|náyHaHmi|náyHatām|anáyHadʰwam|náyHa|niHyátām|náyHaHni|nayHáHmadʰHaHy|náyHatʰa|náyHatu|aniHyáytām|náyHaywa|aniHyáHwadʰHi|aniHyáy|1st|niHyáytʰām|náyHay|náyHatay|anáyHanta|náyHayHam|niHyáyHa|níHtwaH|náyHaytay|niHyáyHātʰām|náyHaytām|niHyáytʰay|anáyHaytʰām|náyHayHunt|nayHáHwadʰHay|náyHaytʰām|náyHaHma|anáyHaytām|náyHant	<i>verb</i><br><ol><li>to lead</li></ol>
náymas	<i>adj</i><br><ol><li>half</li></ol>
náyȷ́žʰam|náyȷ́žʰayšu|náyȷ́žʰāyš|náyȷ́žʰaybʰyas|náyȷ́žʰaybʰyaH|náyȷ́žʰayaw|náyȷ́žʰayās|náyȷ́žʰasya|náyȷ́žʰaH|náyȷ́žʰānam|náyȷ́žʰānaHm|náyȷ́žʰay|náyȷ́žʰāt|náyȷ́žʰā|náyȷ́žʰāy	<i>noun</i><br><ol><li>sharp tip, spear</li></ol>
názdyas	<i>adv</i><br><ol><li>near</li></ol>
náćyati	<i>verb</i><br><ol><li>to lose, perish</li><li>to disappear</li></ol>
ní	<i>adv</i><br><ol><li>down, downwards</li><li>in, into</li><li>engrave, inscribe</li></ol>
pHtā́|pHtáraH|pHtáram|pHtráH|pHtŕ̥bʰiš|pHtŕ̥bʰyām|pHtáras|pHtŕ̥š|pHtráy|pHtŕ̥šu|pHtŕ̥Nš|pHtrā́m|pHtar|pHtráw|pHtŕ̥bʰyas|pHtŕ̥bʰyā|pHtári	<i>noun</i><br><ol><li>father</li></ol>
paHmā́|paHmāsu|paHmāáH|paHmāí|paHmāás|paHmāām|paHmābʰyáH|paHmāáy|paHmāáwš|paHmā|paHmābʰíš|paHmāā́w|paHmāám	<i>noun</i><br><ol><li>skin disease, scabies, rash</li></ol>
pančaHćát	<i>num</i><br><ol><li>fifty</li></ol>
parHušás	<i>adj</i><br><ol><li>grey</li></ol>
parnám|parnā́|parnā́yš|parnā́t|parnā́nam|parnáy|parnā́y|parnáyšu|parnā́naHm|parnáyaw|parnáH|parnáybʰyaH|parnáyās|parnásya|parnáybʰyas	<i>noun</i><br><ol><li>leaf</li><li>feather, wing</li></ol>
parut	<i>adv</i><br><ol><li>last year</li></ol>
paršás|paršáyās|paršā́y|paršáyaw|paršā́naHm|paršáy|paršáybʰyas|paršā́t|paršā́yš|parša|paršásya|paršā́nam|paršáybʰyaH|paršā́|paršám|paršā́ns|paršáyšu	<i>noun</i><br><ol><li>sheaf, bundle of grain stalks</li><li>ear of grain; the fruiting body of a grain plant</li></ol>
piHnáwti	<i>verb</i><br><ol><li>to be swollen, fat</li></ol>
piHtú	<i>noun</i><br><ol><li>fat, tallow</li><li>nourishment, food</li></ol>
pinášti	<i>verb</i><br><ol><li>to hew, cut, engrave</li><li>to grind, crush</li></ol>
pipā́yHa	<i>verb</i><br><ol><li>to be swollen (with milk)</li></ol>
pláwati	<i>verb</i><br><ol><li>to flow, float, swim</li></ol>
pratʰamás	<i>num</i><br><ol><li>first</li></ol>
priHás	<i>adj</i><br><ol><li>dear, beloved</li></ol>
prátʰas	<i>noun</i><br><ol><li>breadth, extension, width</li></ol>
pr̥Hnás	<i>adj</i><br><ol><li>full, filled</li></ol>
pr̥Hwás	<i>prep</i><br><ol><li>before, first, in front of</li></ol><br><i>adj</i><br><ol><li>ancient, old</li></ol>
pr̥Húš|pr̥Hutámas	<i>adj</i><br><ol><li>much, very</li></ol>
pr̥náHti	<i>verb</i><br><ol><li>to fill</li></ol>
pr̥tʰúš|prátʰyas	<i>adj</i><br><ol><li>broad, wide</li></ol>
pr̥štʰás|pr̥štʰa|pr̥štʰā́naHm|pr̥štʰáy|pr̥štʰáyaw|pr̥štʰā́yš|pr̥štʰásya|pr̥štʰáyšu|pr̥štʰā́|pr̥štʰám|pr̥štʰā́t|pr̥štʰā́nam|pr̥štʰáybʰyas|pr̥štʰáybʰyaH|pr̥štʰā́y|pr̥štʰā́ns|pr̥štʰáyās	<i>noun</i><br><ol><li>back</li></ol>
pr̥šćáti|pr̥šćántay|3rd|pr̥šćyáHmadʰHay|apr̥šćáta|pr̥šćátʰas|pr̥šćáHmi|pr̥šćátay|pr̥šćátu|apr̥šćyáytām|apr̥šćyáytʰām|apr̥šćádʰwam|pr̥šćyáHmadʰHaHy|pr̥šćyántay|pr̥šćátam|pr̥šćántu|pŕ̥šćyas|apr̥šćyádʰwam|pr̥šćáyt|pr̥šćáHwadʰHay|pr̥šćyáytʰay|pr̥šćyáytʰās|pr̥šćyátām|pr̥šćáyHa|pr̥šćáHni|apr̥šćyáHmadʰHi|apr̥šćám|pr̥šćáyHam|pr̥šćyáyrant|pr̥šćyátay|pr̥šćyáydʰwam|pr̥šćátas|pr̥šćáyHātʰām|apr̥šćáy|pr̥šćádʰwam|apr̥šćyáHwadʰHi|apr̥šćánta|pr̥šćáyHunt|pr̥šćá|pr̥šćáytʰās|pr̥šćánti|pr̥šćáHwa|pr̥šćánt|pr̥šćádʰway|apr̥šćátam|pr̥šćátām|pr̥šćyáHwadʰHay|pr̥šćáyta|pr̥šćáytʰām|pr̥šćyádʰway|apr̥šćánt|pr̥šćáta|apr̥šćyáta|pr̥šćyáytay|pr̥šćáydʰwam|pr̥šćáHy|pr̥šćási|pr̥šćáytay|apr̥šćáHmadʰHi|pr̥šćátʰa|pr̥šćáswa|apr̥šćátām|pr̥šćyáswa|apr̥šćáHwa|apr̥šćás|pr̥šćáyHātām|2nd|pr̥šćáyrant|apr̥šćáytʰām|pr̥šćyáHy|pr̥šćyámHnas|pr̥šćáymadʰHi|pr̥šćyáytām|pr̥šćáytam|pr̥šćáywadʰHi|pr̥šćyásay|pr̥šćáytām|pr̥šćyáywadʰHi|apr̥šćátʰās|pr̥šćáHwas|pr̥štás|pr̥šćyántam|apr̥šćáytām|pr̥šćyáytʰām|apr̥šćáHwadʰHi|pr̥šćáytʰay|pr̥šćyáHwadʰHaHy|pr̥šćyáyHātʰām|pr̥šćásay|pr̥šćáHmas|pr̥šćáHmadʰHaHy|pr̥šćáymas|pr̥šćyáyta|pr̥šćáHwadʰHaHy|1st|pr̥šćáys|pr̥šćáy|pr̥šćyáyHātām|apr̥šćyátʰās|pr̥šćáHma|apr̥šćát|pr̥šćáHmadʰHay|pr̥šćyáymadʰHi|apr̥ščyáy|pr̥šćámHnas|pr̥šćyáyHa|pr̥šćáywa|pr̥šćyádʰwam|apr̥šćáHma|pr̥štwáH|pr̥šćántam|práštum|pr̥šćyáy|apr̥šćyánta	<i>verb</i><br><ol><li>to ask</li></ol>
pstánas	<i>noun</i><br><ol><li>breast</li><li>teat, nipple</li></ol>
putrás|putrā́yš|putráybʰyas|putráybʰyaH|putrā́naHm|putráy|putrā́y|putrā́ns|putrásya|putrā́nam|putráyaw|putra|putrā́t|putráyšu|putrā́|putrám|putráyās	<i>noun</i><br><ol><li>boy</li><li>son</li></ol>
pádyati	<i>verb</i><br><ol><li>to move, go</li><li>to fall</li></ol>
pántaHs	<i>noun</i><br><ol><li>path</li></ol>
pánča	<i>num</i><br><ol><li>five</li></ol>
párwatas|párwatayaw|párwatāyš|párwatayšu|párwatāt|párwatānaHm|párwatayās|párwatay|párwatasya|párwatā|párwatānam|párwatāy|párwataybʰyaH|párwatāns|párwatam|párwata|párwataybʰyas	<i>noun</i><br><ol><li>mountain</li></ol>
párćuš	<i>noun</i><br><ol><li>rib</li></ol>
pásas	<i>noun</i><br><ol><li>penis</li></ol>
pátiš|pátim|pátibʰyām|pátā?|pátibʰiš|pátayay|pátayas|pátāw?|pátišu|pátibʰyas|pátay|pátiH|pátyawš|pátayš|pátīn|pátayām?	<i>noun</i><br><ol><li>master, lord</li><li>husband</li></ol>
páyHas	<i>noun</i><br><ol><li>milk</li></ol>
páću	<i>noun</i><br><ol><li>livestock, animal</li></ol>
páćšma	<i>noun</i><br><ol><li>fine hair, bristles</li><li>wool, fleece</li></ol>
páčati|3rd|páčayta|páčaHma|ápačay|apáčata|pačyáHmaȷ́ʰaHy|pačyáytʰay|páktum|páčaytʰām|páčaHwas|pačyáswa|apáčadʰwam|ápačam|pačyáywaȷ́ʰi|pačyántam|páčaymas|páčaytay|apačyádʰwam|páčaytām|pačyásay|pačyáytām|pačáyHātām|páčasay|apačáHmaȷ́ʰi|pačyáHwaȷ́ʰaHy|páčadʰway|páčaytʰay|apáčaHma|páčaytam|pā́kyas|páčay|pačyáyrant|pačáywaȷ́ʰi|pačyáymaȷ́ʰi|pačáyHātʰām|ápačas|pačyáytʰās|pačyádʰwam|pačyáyta|páčayt|pačyáHy|páčata|apáčaHwa|páčayHunt|páčaytʰās|páčaHni|páčant|pačáHmaȷ́ʰay|páčaswa|pačyátay|páčaHmas|páčaywa|apáčatām|pačyámHnas|apačyáytʰām|páčaydʰwam|apáčatʰās|páčamHnas|páčatas|páčaHwa|apačyátʰās|ápačat|páčayHa|pačyátām|páčaHy|apačyáy|páčasi|páčays|2nd|pačyáHmaȷ́ʰay|pačyáytay|páčatam|apačyáytām|pačyántay|páčantam|páča|pačyáytʰām|apačyánta|paktwáH|apačyáta|pačyáyHātʰām|páčaHmi|páčatu|pačyáHwaȷ́ʰay|pačáymaȷ́ʰi|apáčaytʰām|páčanti|páčantu|pačyáy|apačyáHwaȷ́ʰi|páčadʰwam|páčayHam|pakwás|apáčanta|apačáHwaȷ́ʰi|pačyáyHa|apáčaytām|pačáHmaȷ́ʰaHy|páčatʰa|1st|páčatām|pačáHwaȷ́ʰay|apačyáHmaȷ́ʰi|páčatay|ápačant|páčantay|apáčatam|pačyádʰway|páčatʰas|páčayrant|pačáHwaȷ́ʰaHy|pačyáyHātām|pačyáydʰwam	<i>verb</i><br><ol><li>to cook</li></ol>
píbati|píbaHma|3rd|pHyáHwadʰHaHy|píbaHni|páHtum|apHyáHmadʰHi|pibáywadʰHi|pHyáytʰās|pHyáswa|píbatu|píbaHmi|apíbaHwa|píbaHwa|pHyántay|píba|pHyáyta|píbaytʰay|pHyáHy|pHtás|píbant|pibáHwadʰHay|pHyáyrant|apíbanta|apíbaytām|apíbatām|ápibas|pHyámHnas|píbayHa|píbatām|pHyáytʰām|píbatʰas|píbayHunt|pHyádʰway|píbantam|pibáHmadʰHay|páyHyas|píbaswa|píbayrant|píbadʰwam|píbaytʰām|píbatay|pHyáy|píbaytʰās|pHyáymadʰHi|pibáyHātʰām|píbaHmas|píbaytām|apibáHwadʰH|pHtwáH|píbayta|píbaHwas|píbanti|pHyáytʰay|píbaydʰwam|2nd|apHyáy|pHyáywadʰHi|apíbata|píbays|píbayt|pHyáyHa|apHyáytʰām|pHyátām|pHyádʰwam|apHyádʰwam|píbatas|pHyátay|pibáymadʰHi|píbasay|píbaytay|pHyántam|apHyáHwadʰHi|pHyáydʰwam|pHyáHwadʰHay|píbantu|apHyáytām|ápibant|píbaHy|apíbaytʰām|apíbaHma|pHyáHmadʰHaHy|apibáHmadʰHi|píbatʰa|píbayHam|píbantay|apHyátʰās|píbaywa|ápibay|1st|píbaytam|píbatam|pHyáyHātām|píbaymas|pHyáyHātʰām|apíbatʰās|apíbadʰwam|ápibat|pHyáytām|píbay|píbamHnas|apHyánta|apíbatam|pHyáHmadʰHay|pHyásay|píbasi|apHyáta|pHyáytay|píbata|píbadʰway|pibáHmadʰHaHy|pibáyHātām|pibáHwadʰHaHy	<i>verb</i><br><ol><li>to drink</li></ol>
púšćas|púšćay|púšćānaHm|púšćānam|púšća|púšćam|púšćayšu|púšćayaw|púšćāt|púšćā|púšćaybʰyaH|púšćāns|púšćasya|púšćāyš|púšćaybʰyas|púšćāy|púšćayās	<i>noun</i><br><ol><li>(anatomy) tail</li></ol>
pānsúš|pānsúás|pānsúsu|pānsúí|pānsúám|pānsúbʰyáH|pānsúām|pānsúā́w|pānsúáy|pānsúáH|pānsúbʰíš|pānsúáwš|pānsú	<i>noun</i><br><ol><li>dust</li></ol>
pāpás	<i>adj</i><br><ol><li>bad</li></ol>
pā́ts|pā́ts ~ *padás	<i>noun</i><br><ol><li>foot</li></ol>
rayšás|rayšā́ns|rayšā́nam|rayšáy|rayšā́naHm|rayšā́y|rayša|rayšáyās|rayšā́t|rayšáyaw|rayšā́|rayšā́yš|rayšáybʰyaH|rayšásya|rayšáyšu|rayšáybʰyas|rayšám	<i>noun</i><br><ol><li>injury, wound, sore</li></ol>
riktás	<i>adj</i><br><ol><li>empty, abandoned, void</li></ol>
rinákti|ričyántam|3rd|rinčmádʰHay|ričyáyHa|arinčā́tām|rinčíHtʰās|ričyáymadʰHi|arináčam|rinčíHmadʰHi|ráyktum|arinktám|ricyántay|ričyáytʰās|rinčyáHtam|rinčíHyātām|rinčyáHtām|arinčmá|rinčíHdʰwam|arinčí|rináčaHma|rinčátām|rinčmás|ričyáHmadʰHay|rinktáy|ričyámHnas|ričyáHmadʰHaHy|arinktʰā́s|ričyáywadʰHi|rináčaHni|rinčíHya|rinčyáHwa|riktás|arinčátām|rinčáy|rinčíHrant|rinčyáHs|rinktás|aričyáta|aričyádʰwam|ričyáyHātām|ringdʰí|ričyádʰway|rinčáHnas|rinčwás|ringdʰwáy|ričyáHwadʰHay|arinákt|rinčyáHt|rinčā́tʰām|rinktá|rinčā́tʰay|ričyáyHātʰām|rinčíHta|rinktā́m|arinčwá|rinčántu|rinčáHma|rinktʰá|ričyátām|ričyáy|rinčyáHta|ricyáytay|rinčyáHm|ričyáswa|rinčíHyātʰām|ričyáyta|rinktú|rinčánti|rinčā́tām|rináčmi|2nd|rinačáHwadʰHaHy|rinktʰás|arinktá|ričyásay|ričyáyrant|arinčmádʰHi|aričyáytʰām|rináčaHwa|aričyáytām|aričyánta|ričyáytām|rinčyúnt|ricyátay|rinčwádʰHay|arinktā́m|rinčíHwadʰHi|ráykyas|rinkšwá|arinčā́tʰām|ričyáHy|ričyáydʰwam|aringdʰwám|rinákši|ričyádʰwam|riktwáH|arinčánt|ričyáytʰay|arináčs|1st|aričyáy|rinktám|rinčánt|ričyáytʰām|rináčaHy|rinčā́tay|rinkšáy|aričyáHmadʰHi|aričyátʰās|rinačáHmadʰHaHy|ričyáHwadʰHaHy|arinčwádʰHi|aričyáHwadʰHi|ringdʰwám	<i>verb</i><br><ol><li>to leave, remain</li></ol>
riȷ́ʰáti	<i>verb</i><br><ol><li>to lick</li></ol>
ráwčas	<i>noun</i><br><ol><li>day</li><li>light</li></ol>
ráyknas	<i>noun</i><br><ol><li>property left, inheritance</li></ol>
r̥Hdʰwás	<i>adj</i><br><ol><li>high, upright</li></ol>
r̥šíš|r̥šáyas|r̥šáyām?|r̥ším|r̥šíH́|r̥šíbʰyām|r̥šáy|r̥šáyš|r̥šíbʰiš|r̥šíH|r̥šíbʰyas|r̥šáyay|r̥šyáwš|r̥šī́n|r̥šíšu|r̥šā́(w)?	<i>noun</i><br><ol><li>seer</li></ol>
sHáytuš	<i>noun</i><br><ol><li>bridge</li><li>bond, fetter</li></ol>
sakŕ̥t	<i>adv</i><br><ol><li>once</li><li>immediately</li></ol>
samHás	<i>adj</i><br><ol><li>same, equal</li></ol>
sambʰārás|sambʰārāyš|sambʰārāy|sambʰārasya|sambʰārānaHm|sambʰārayšu|sambʰāraybʰyaH|sambʰāraybʰyas|sambʰārāt|sambʰārāns|sambʰārānam|sambʰārā|sambʰārayaw|sambʰāray|sambʰāras|sambʰārayās|sambʰāra|sambʰāram	<i>noun</i><br><ol><li>a storage, warehouse, reservoir</li><li>provisions, materials, necessaries for a particular task</li></ol>
saptá	<i>num</i><br><ol><li>seven</li></ol>
saptátʰas	<i>adj</i><br><ol><li>seventh</li></ol>
sapátniH	<i>noun</i><br><ol><li>co-wife</li></ol>
sarpás|sarpa|sarpā́y|sarpáy|sarpásya|sarpáybʰyas|sarpā́t|sarpáybʰyaH|sarpáyšu|sarpā́|sarpám|sarpáyās|sarpáyaw|sarpā́yš|sarpā́ns|sarpā́nam|sarpā́naHm	<i>noun</i><br><ol><li>snake</li></ol>
sasás|sasā́y|sasā́t|sasā́yš|sasa|sasā́nam|sasám|sasā́naHm|sasā́ns|sasáy|sasáybʰyas|sasásya|sasáyšu|sasā́|sasáyaw|sasáybʰyaH|sasáyās	<i>noun</i><br><ol><li>corn, herb, grass</li></ol>
satˢtrám|satˢtráyšu|satˢtráH|satˢtrásya|satˢtrā́naHm|satˢtrā́yš|satˢtrā́nam|satˢtrā́|satˢtráy|satˢtráyaw|satˢtráyās|satˢtráybʰyaH|satˢtráybʰyas|satˢtrā́t|satˢtrā́y	<i>noun</i><br><ol><li>(religion) session of sacrifice, sacrificial gathering</li></ol>
sawyás|(H)sawyás	<i>adj</i><br><ol><li>left, left-hand</li></ol>
saȷ́ʰásram	<i>num</i><br><ol><li>one thousand</li></ol>
sinȷ́ʰás|sinȷ́ʰāyš|sinȷ́ʰay|sinȷ́ʰaybʰyas|sinȷ́ʰaybʰyaH|sinȷ́ʰam|sinȷ́ʰasya|sinȷ́ʰa|sinȷ́ʰāy|sinȷ́ʰā|sinȷ́ʰāt|sinȷ́ʰayās|sinȷ́ʰānam|sinȷ́ʰayšu|sinȷ́ʰāns|sinȷ́ʰas|sinȷ́ʰānaHm|sinȷ́ʰayaw	<i>noun</i><br><ol><li>lion</li></ol>
skambʰás|skambʰā́t|skambʰáyās|skambʰáybʰyas|skambʰáy|skambʰáyaw|skambʰā́|skambʰa|skambʰā́ns|skambʰā́naHm|skambʰáybʰyaH|skambʰáyšu|skambʰám|skambʰā́yš|skambʰā́y|skambʰā́nam|skambʰásya	<i>noun</i><br><ol><li>pillar, support</li></ol>
slagžʰnás	<i>adj</i><br><ol><li>soft, tender</li><li>smooth, slippery</li></ol>
slágžʰati	<i>verb</i><br><ol><li>to slip, slide</li></ol>
smárati|asmáratam|3rd|smaryáHwadʰHaHy|smárantay|smaryáytʰām|smáratʰas|smáraytām|smárayt|smáraytʰās|smaryáytʰay|smaryáyHātām|smaryádʰwam|asmaryánta|ásmaram|asmaryáta|smaryáydʰwam|asmáratʰās|smárayHam|smaráyHātʰām|smáramHnas|smaráHmadʰHay|smaryáHmadʰHaHy|smáratay|smártum|asmaryátʰās|smáraytam|smárayta|smáraydʰwam|smárays|smartwáH|smaryáyta|smaryáHy|smáratu|smáradʰwam|smára|asmaryáHwadʰHi|smárantu|smáraytay|smáratas|asmaryáHmadʰHi|smaryáHmadʰHay|smárasi|asmaryáy|smaráHwadʰHaHy|smáraHmi|smárasay|smaryáytām|asmáratām|smáraywa|smáraytʰay|smaryáswa|smā́ryas|smáraswa|asmáraHwa|smaryádʰway|smáranti|smáray|smaryáyrant|smáraHwas|asmaryáytām|smaryáymadʰHi|smaryásay|2nd|smaryántam|smaryátay|smaryántay|smaryáytʰās|smáraHwa|smaráHmadʰHaHy|asmaráHwadʰHi|smaryámHnas|asmáranta|smárayrant|smaráyHātām|ásmaray|smáratam|smárantam|smáraHmas|ásmarant|smáratām|smárata|smaryátām|ásmarat|smáraytʰām|smaráymadʰHi|smáraHma|asmaryáytʰām|smáraymas|asmaryádʰwam|smárant|asmáraytʰām|1st|smáraHni|smárayHunt|asmaráHmadʰHi|smaryáy|smaryáyHa|smaryáHwadʰHay|smárayHa|ásmaras|smaryáytay|smaryáywadʰHi|asmáradʰwam|smaráywadʰHi|asmáraytām|smáraHy|smáradʰway|smaryáyHātʰām|smaráHwadʰHay|smartás|asmáraHma|asmárata|smáratʰa	<i>verb</i><br><ol><li>to remember, recollect</li></ol>
snušás|snušáH	<i>noun</i><br><ol><li>daughter-in-law</li></ol>
spáćš	<i>noun</i><br><ol><li>watcher</li><li>spy</li></ol>
sráwtas	<i>noun</i><br><ol><li>river</li><li>current, torrent</li></ol>
stríH|stríHnām|stríHbʰyām|stríyās|stryáHs|stríHbʰyas|stríyaw|stríHsu|stríH́s|stryáH|stryáy|stríHm|stríHbʰiš|stríHbʰyā	<i>noun</i><br><ol><li>a woman</li></ol>
str̥náHti	<i>verb</i><br><ol><li>to strew, extend, spread out</li></ol>
stáHnam|stáHnāyš|stáHnānam|stáHnasya|stáHnaybʰyas|stáHnāy|stáHnayšu|stáHnānaHm|stáHnā|stáHnaybʰyaH|stáHnayās|stáHnaH|stáHnayaw|stáHnay|stáHnāt	<i>noun</i><br><ol><li>the act of standing</li><li>position, location, place</li></ol>
stáwras	<i>noun</i><br><ol><li>large domestic animal, cattle</li></ol>
stā́wti	<i>verb</i><br><ol><li>to praise, laud</li></ol>
stʰuHnáH|stʰuHnáyaHm|stʰuHnáy|stʰuHnáyaH|stʰuHnáHbʰyām|stʰuHnáHsu|stʰuHnay|stʰuHnáyaH́|stʰuHnáHbʰyas|stʰuHnāyās|stʰuHnáHnām|stʰuHnāyaw|stʰuHnáHbʰyā|stʰuHnáyaHy|stʰuHnā́m|stʰuHnáHbʰiš|stʰuHnáyaHs|stʰuHnā́s	<i>noun</i><br><ol><li>pillar</li></ol>
stʰuHrás	<i>adj</i><br><ol><li>big, strong, thick</li></ol>
suHargás|suHargā́naHm|suHargáyšu|suHargā́yš|suHargáy|suHargā́|suHargám|suHargā́ns|suHargā́y|suHargáybʰyas|suHargásya|suHargā́nam|suHargáyās|suHargáyaw|suHargā́t|suHargáybʰyaH|suHarga	<i>noun</i><br><ol><li>(religion) heaven</li></ol>
suHnúš	<i>noun</i><br><ol><li>son</li></ol>
swaćrúH	<i>noun</i><br><ol><li>a mother-in-law</li></ol>
