kgeloha	<i>verb</i><br><ol><li>to turn aside</li></ol>
kgephola	<i>verb</i><br><ol><li>to break off (a piece)</li></ol>
kgetha	<i>verb</i><br><ol><li>to set apart</li></ol>
kgetholoha	<i>verb</i><br><ol><li>to be distinct</li></ol>
kgetsa	<i>verb</i><br><ol><li>to choose</li></ol>
kgoho|dikgoho	<i>noun</i><br><ol><li>chicken</li><li>fowl</li></ol>
kgolwa	<i>verb</i><br><ol><li>to believe</li></ol>
kgomo|dikgomo	<i>noun</i><br><ol><li>cow</li></ol>
kgopo	<i>conj</i><br><ol><li>wicked</li></ol>
kgosi|dikgosi	<i>noun</i><br><ol><li>chief, chieftain; king</li></ol>
kgosihadi|dikgosihadi	<i>noun</i><br><ol><li>queen</li></ol>
kgoto|dikgoto	<i>noun</i><br><ol><li>rat</li></ol>
kgudu|dikgudu	<i>noun</i><br><ol><li>tortoise</li></ol>
kgurumetsa	<i>verb</i><br><ol><li>to cover up</li></ol>
kgurumolla	<i>verb</i><br><ol><li>to uncover</li></ol>
kgutla	<i>verb</i><br><ol><li>to return</li></ol>
kgwedi|dikgwedi	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
kgwiti	<i>noun</i><br><ol><li>mole (burrowing animal)</li></ol>
koba	<i>verb</i><br><ol><li>to bend</li></ol>
kobo|dikobo	<i>noun</i><br><ol><li>blanket</li></ol>
kobolla	<i>verb</i><br><ol><li>to unbend</li></ol>
kolobe|dikolobe	<i>noun</i><br><ol><li>warthog</li></ol>
koloi|dikoloi	<i>noun</i><br><ol><li>wagon; vehicle</li></ol>
kopa	<i>verb</i><br><ol><li>to ask</li></ol>
kopana	<i>verb</i><br><ol><li>to meet</li></ol>
kopanya	<i>verb</i><br><ol><li>to join</li></ol>
kotsi|dikotsi	<i>noun</i><br><ol><li>danger</li></ol>
kubu|dikubu	<i>noun</i><br><ol><li>hippopotamus</li></ol>
kula	<i>verb</i><br><ol><li>to be sick/ill</li></ol>
kwaholla	<i>verb</i><br><ol><li>to uncover</li><li>to reveal</li></ol>
kwala	<i>verb</i><br><ol><li>to close</li></ol>
kwena|dikwena	<i>noun</i><br><ol><li>crocodile</li></ol>
kwenya	<i>verb</i><br><ol><li>to swallow</li></ol>
lahla	<i>verb</i><br><ol><li>to abandon</li><li>to lose</li></ol>
laola	<i>verb</i><br><ol><li>to rule</li><li>to divine</li></ol>
lapa	<i>verb</i><br><ol><li>to be hungry</li></ol>
lata	<i>verb</i><br><ol><li>to fetch</li></ol>
latswa	<i>verb</i><br><ol><li>to taste</li></ol>
lebella	<i>verb</i><br><ol><li>to expect</li></ol>
lebese	<i>noun</i><br><ol><li>milk</li></ol>
lebitso|mabitso	<i>noun</i><br><ol><li>name</li></ol>
leboha	<i>verb</i><br><ol><li>to thank</li><li>to be grateful</li></ol>
ledimo|madimo	<i>noun</i><br><ol><li>ogre</li><li>cannibal</li></ol>
lefa	<i>verb</i><br><ol><li>to pay</li></ol>
lefahla|mafahla	<i>noun</i><br><ol><li>twin</li></ol>
lefatshe	<i>noun</i><br><ol><li>earth</li></ol>
lefiritshwana|mafiritshwana	<i>noun</i><br><ol><li>hyena</li></ol>
lefuba	<i>noun</i><br><ol><li>tuberculosis</li></ol>
lefufuru|mafufuru	<i>noun</i><br><ol><li>cartilage</li></ol>
lehafi|mahafi	<i>noun</i><br><ol><li>armpit</li></ol>
lehe|mahe	<i>noun</i><br><ol><li>egg</li></ol>
lehlabathe	<i>noun</i><br><ol><li>sand</li></ol>
lehlabula	<i>noun</i><br><ol><li>summer</li></ol>
lehlaka|mahlaka	<i>noun</i><br><ol><li>reed</li></ol>
lehlaku|mahlaku	<i>noun</i><br><ol><li>leaf</li></ol>
lehlanya|mahlanya	<i>noun</i><br><ol><li>lunatic, madman</li></ol>
lehlwa|mahlwa	<i>noun</i><br><ol><li>snow</li></ol>
lehodimo	<i>noun</i><br><ol><li>heaven</li></ol>
leihlo|mahlo	<i>noun</i><br><ol><li>eye</li></ol>
leikutlo|maikutlo	<i>noun</i><br><ol><li>feeling</li></ol>
leino|maino	<i>noun</i><br><ol><li>tooth</li></ol>
lejwe|majwe	<i>noun</i><br><ol><li>stone</li></ol>
leka	<i>verb</i><br><ol><li>to attempt</li></ol>
lekana	<i>verb</i><br><ol><li>to be equal</li></ol>
lekgala|makgala	<i>noun</i><br><ol><li>crab</li></ol>
lekgolo	<i>num</i><br><ol><li>hundred</li></ol>
lekola	<i>verb</i><br><ol><li>to investigate</li></ol>
lekwala|makwala	<i>noun</i><br><ol><li>coward</li></ol>
lelele|telele	<i>adj</i><br><ol><li>tall</li><li>long</li></ol>
leleme|maleme	<i>noun</i><br><ol><li>tongue</li></ol>
lema	<i>verb</i><br><ol><li>to farm, to cultivate</li><li>to plough</li></ol>
lenaka|manaka	<i>noun</i><br><ol><li>horn</li></ol>
lenala|manala	<i>noun</i><br><ol><li>nail</li></ol>
lenaneo|mananeo	<i>noun</i><br><ol><li>programme</li></ol>
lengau|mangau	<i>noun</i><br><ol><li>cheetah</li></ol>
lengole|mangole	<i>noun</i><br><ol><li>knee</li></ol>
lengolo|mangolo	<i>noun</i><br><ol><li>letter</li></ol>
lenong|manong	<i>noun</i><br><ol><li>vulture</li></ol>
