di	<i>adv</i><br><ol><li>not</li></ol>
dila	<i>noun</i><br><ol><li>(anatomy) tongue</li></ol>
dinding	<i>noun</i><br><ol><li>inner wall of a house</li></ol>
dugu|magdugu	<i>noun</i><br><ol><li>blood</li></ol><br><i>verb</i><br><ol><li>to bleed</li></ol>
dukka	<i>noun</i><br><ol><li>grief, woe</li><li>tribulation</li></ol>
dulangdulang	<i>noun</i><br><ol><li>(anatomy) palate</li></ol>
dulaw	<i>noun</i><br><ol><li>turmeric</li></ol>
dum	<i>noun</i><br><ol><li>night</li></ol>
dungug|magdungug	<i>verb</i><br><ol><li>to hear; to listen</li></ol>
dunuk	<i>noun</i><br><ol><li>flood</li></ol>
dunya|دنيا	<i>noun</i><br><ol><li>world</li></ol>
duru	<i>noun</i><br><ol><li>breast</li></ol>
durul	<i>noun</i><br><ol><li>An indigenous confection usually made of powdered rice, powdered corn or flour mixed with coconut milk and sugar.</li></ol>
dusa	<i>noun</i><br><ol><li>sin</li><li>crime</li><li>guilt, fault</li></ol>
duwa	<i>num</i><br><ol><li>two</li></ol>
duyung	<i>noun</i><br><ol><li>dugong</li></ol>
dūm	
dūyan	<i>noun</i><br><ol><li>durian</li></ol>
gabun	<i>noun</i><br><ol><li>cloud</li></ol>
gaddung	<i>adj</i><br><ol><li>green</li></ol>
gallang	<i>noun</i><br><ol><li>bracelet</li></ol>
gamut	<i>noun</i><br><ol><li>root</li></ol>
gandang	<i>noun</i><br><ol><li>kendhang, drum</li></ol>
gapas	<i>noun</i><br><ol><li>cotton</li></ol>
garing	<i>noun</i><br><ol><li>ivory</li></ol>
gatas	<i>noun</i><br><ol><li>milk</li></ol>
gatus	<i>num</i><br><ol><li>hundred</li></ol>
gawang	<i>noun</i><br><ol><li>pitfall, hidden trap</li><li>hole</li></ol>
gayung	<i>noun</i><br><ol><li>dipper, ladle</li></ol>
giling	<i>verb</i><br><ol><li>to turn</li></ol>
gilingan	<i>noun</i><br><ol><li>grinder</li></ol>
guling	<i>verb</i><br><ol><li>to sauté</li></ol>
gusuk	<i>noun</i><br><ol><li>rib</li></ol>
gutas	<i>noun</i><br><ol><li>hunger, starvation</li></ol>
gutum	<i>noun</i><br><ol><li>famine, starvation</li></ol>
hagdan	<i>noun</i><br><ol><li>ladder</li><li>stairs; stairway; staircase</li></ol>
haggut atay	<i>noun</i><br><ol><li>calmness</li></ol>
halga	<i>noun</i><br><ol><li>price</li></ol>
halu	<i>noun</i><br><ol><li>pestle</li></ol>
hamut	<i>noun</i><br><ol><li>nice smell; scent; fragrance</li></ol>
hangin	<i>noun</i><br><ol><li>wind (movement of air)</li></ol>
hangpu'	<i>num</i><br><ol><li>ten</li></ol>
hapak	<i>noun</i><br><ol><li>dryness (of hair)</li></ol><br><i>verb</i><br><ol><li>to become dry (of hair)</li></ol>
harapan	<i>noun</i><br><ol><li>the front (of something)</li></ol>
harat	<i>noun</i><br><ol><li>acridness, bitterness</li></ol>
has|hās	<i>noun</i><br><ol><li>snake</li></ol>
hasa	<i>verb</i><br><ol><li>to sharpen, to whet</li></ol>
hasaan	<i>noun</i><br><ol><li>whetstone</li></ol>
hasang	<i>noun</i><br><ol><li>gills (of a fish)</li></ol>
hilam	<i>noun</i><br><ol><li>mosquito</li></ol>
hilu	<i>noun</i><br><ol><li>dizziness, seasickness, drunkenness</li><li>confusion (of mind)</li><li>trouble, disturbance</li></ol><br><i>adj</i><br><ol><li>dizzy, seasick, drunk</li><li>confused, disturbed</li></ol>
hugas	<i>verb</i><br><ol><li>to wash</li><li>to clean</li></ol>
hukuman	<i>noun</i><br><ol><li>judgement, decision (of a court)</li></ol>
hula|maghula	<i>verb</i><br><ol><li>to live somewehere, to dwell</li></ol>
hulaan	<i>noun</i><br><ol><li>place of residence</li></ol>
hulas	<i>noun</i><br><ol><li>sweat; perspiration</li></ol>
hulat	<i>noun</i><br><ol><li>stopper, plug, cork</li></ol>
hulug	<i>verb</i><br><ol><li>to fall</li></ol>
humay	<i>noun</i><br><ol><li>rice (cooked)</li><li>Spiced cooked rice with yellow coloring wrapped in a banana leaf.</li></ol>
hunus	<i>noun</i><br><ol><li>typhoon</li><li>strong wind</li></ol>
huun	<i>adv</i><br><ol><li>yes</li></ol>
huyup	<i>verb</i><br><ol><li>to blow</li></ol>
hūlin	<i>noun</i><br><ol><li>marble (toy)</li></ol>
iban	<i>conj</i><br><ol><li>and</li></ol><br><i>noun</i><br><ol><li>companion, associate</li></ol><br><i>prep</i><br><ol><li>with</li></ol>
ibu	<i>num</i><br><ol><li>thousand</li></ol>
idda	<i>noun</i><br><ol><li>deadline</li></ol>
ihi	<i>noun</i><br><ol><li>urine; pee</li></ol>
iklug	<i>noun</i><br><ol><li>egg</li></ol>
ikug	<i>noun</i><br><ol><li>tail</li></ol>
ila	<i>noun</i><br><ol><li>birthmark</li></ol>
ilaw	<i>noun</i><br><ol><li>light</li></ol>
iluk	<i>noun</i><br><ol><li>armpit</li></ol>
ilung	<i>noun</i><br><ol><li>nose</li></ol>
impis	<i>noun</i><br><ol><li>chick</li></ol>
ina	<i>noun</i><br><ol><li>mother</li></ol>
indan	<i>noun</i><br><ol><li>memory</li></ol>
indung	<i>noun</i><br><ol><li>salt-water eel</li></ol>
ingat	<i>noun</i><br><ol><li>knowledge, wisdom, intellect</li></ol><br><i>verb</i><br><ol><li>to know</li></ol>
ingkahi	<i>noun</i><br><ol><li>lace</li></ol><br><i>verb</i><br><ol><li>to sew lace unto something</li></ol>
ini	<i>pron</i><br><ol><li>this</li></ol>
inig	<i>noun</i><br><ol><li>gloss, luster, shine</li></ol>
inum|maginum	<i>verb</i><br><ol><li>to drink</li></ol>
inuman	<i>noun</i><br><ol><li>breakfast</li><li>refreshments</li></ol>
ipul	<i>noun</i><br><ol><li>leprosy</li></ol>
ipun	<i>noun</i><br><ol><li>tooth</li></ol>
iru'	<i>noun</i><br><ol><li>dog</li></ol>
isa	<i>num</i><br><ol><li>one</li></ol>
isay	<i>noun</i><br><ol><li>namesake</li></ol>
ista	<i>noun</i><br><ol><li>fish</li></ol>
isuk	<i>noun</i><br><ol><li>pith</li><li>filling</li></ol><br><i>verb</i><br><ol><li>to stuff</li></ol>
isun	
isārat	<i>noun</i><br><ol><li>sign language</li></ol><br><i>verb</i><br><ol><li>to use sign language</li></ol>
itum	<i>noun</i><br><ol><li>blackness</li></ol><br><i>verb</i><br><ol><li>to blacken</li></ol>
itung	<i>verb</i><br><ol><li>to count</li><li>to consider (something or someone as something)</li></ol>
jaga	<i>noun</i><br><ol><li>guard, watchman; mourner</li></ol><br><i>verb</i><br><ol><li>to watch, to be on watch, to beware, to be on guard</li></ol>
jamaa	<i>noun</i><br><ol><li>(Islam) congregation member</li></ol>
jaman	<i>noun</i><br><ol><li>period; era, epoch, age</li></ol>
jambangan	<i>noun</i><br><ol><li>flower garden</li></ol>
jantung	<i>noun</i><br><ol><li>heart</li></ol>
jawm	<i>noun</i><br><ol><li>needle</li></ol>
jām	<i>noun</i><br><ol><li>hour</li></ol>
jīn	<i>noun</i><br><ol><li>jinn, genie</li></ol>
kabakaba	<i>noun</i><br><ol><li>butterfly</li></ol>
kabal	<i>noun</i><br><ol><li>colugo</li></ol>
kaban	<i>noun</i><br><ol><li>coffin (specifically, a closed one)</li></ol>
kabaw	<i>noun</i><br><ol><li>water buffalo; carabao</li></ol>
kabii	<i>adv</i><br><ol><li>last night</li></ol>
kagang	<i>noun</i><br><ol><li>crab</li></ol>
kagaw|خگاو	<i>noun</i><br><ol><li>vermin feeding on sores</li><li>germ; microbe</li></ol>
kahawa	<i>noun</i><br><ol><li>coffee</li></ol>
kahuy	<i>noun</i><br><ol><li>tree; wood</li></ol>
kakal	<i>verb</i><br><ol><li>to club, to hit with a stick (or anything used as a club)</li></ol>
kalang	<i>noun</i><br><ol><li>dead coral grit</li></ol><br><i>verb</i><br><ol><li>to sing</li></ol>
kalangan	<i>noun</i><br><ol><li>song</li></ol>
kali|magkali	<i>verb</i><br><ol><li>to dig</li></ol>
kami	<i>pron</i><br><ol><li>we (exclusive)</li></ol>
kampung	<i>noun</i><br><ol><li>kindred, relatives (not including parents, children, or siblings)</li></ol>
kamu	<i>pron</i><br><ol><li>you</li></ol>
kandang	<i>noun</i><br><ol><li>cemetery</li></ol>
kapa	<i>noun</i><br><ol><li>ax, hatchet</li></ol>
kasap	<i>noun</i><br><ol><li>coarseness, roughness (as of texture, cloth, or the edge of a broken glass)</li></ol>
katawa|magkatawa	<i>verb</i><br><ol><li>to laugh</li></ol>
katul|magkatul	<i>verb</i><br><ol><li>to itch</li></ol>
kaun|magkaun	<i>verb</i><br><ol><li>to eat</li></ol>
kawasa	<i>noun</i><br><ol><li>strength, power</li><li>ability</li><li>authority</li></ol>
kawat	<i>noun</i><br><ol><li>wire</li></ol>
kawhaan	<i>num</i><br><ol><li>twenty</li></ol>
kayawan	<i>noun</i><br><ol><li>bamboo</li></ol>
kaytan	<i>noun</i><br><ol><li>shark</li></ol>
kayu|kāyu	<i>noun</i><br><ol><li>fire</li></ol>
kilat	<i>noun</i><br><ol><li>lightning</li></ol>
kilay	<i>noun</i><br><ol><li>(anatomy) eyebrow</li></ol>
kilikili	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kiput	<i>noun</i><br><ol><li>narrowness</li></ol>
kita|kimita	<i>pron</i><br><ol><li>we (inclusive)</li></ol><br><i>verb</i><br><ol><li>to see</li></ol>
kubul	<i>noun</i><br><ol><li>grave</li></ol><br><i>verb</i><br><ol><li>to bury</li></ol>
kugita	<i>noun</i><br><ol><li>octopus</li></ol>
kukku	<i>noun</i><br><ol><li>nail (fingernail, toenail)</li></ol>
kura	<i>noun</i><br><ol><li>horse</li></ol>
kusug	<i>noun</i><br><ol><li>power, force, strength</li></ol>
kutkut|magkutkut	<i>verb</i><br><ol><li>to bite</li></ol>
kutu	<i>noun</i><br><ol><li>louse</li></ol>
kuuk	<i>noun</i><br><ol><li>cockroach</li></ol>
kūmu	<i>noun</i><br><ol><li>underbrush</li></ol>
labung	<i>noun</i><br><ol><li>thickness, heaviness (of hair, eyebrows, or cereal grains)</li></ol>
lakat	<i>noun</i><br><ol><li>dampness</li><li>dankness</li><li>slight muddiness</li></ol>
lamma	<i>noun</i><br><ol><li>weakness, illness, sickness</li><li>boredom</li></ol>
lana	<i>noun</i><br><ol><li>oil (usually cooking oil)</li></ol>
lanab	<i>noun</i><br><ol><li>taste, flavor</li></ol>
lanaw	<i>noun</i><br><ol><li>lake</li><li>puddle</li><li>pool</li></ol>
landasan	<i>noun</i><br><ol><li>anvil</li></ol>
langit	<i>noun</i><br><ol><li>sky (atmosphere above a point)</li></ol>
languy|maglanguy	<i>verb</i><br><ol><li>to swim</li></ol>
lantay	<i>noun</i><br><ol><li>floor</li></ol>
laring	<i>noun</i><br><ol><li>knife, kitchen knife</li></ol>
lasig	<i>noun</i><br><ol><li>activity, liveliness</li></ol>
laul	<i>noun</i><br><ol><li>tiredness; fatigue</li></ol>
lawa	<i>noun</i><br><ol><li>left hand, foot or limb</li><li>left side</li><li>spider</li></ol>
lawang	<i>noun</i><br><ol><li>door, gate</li><li>(euphemistic) vulva</li></ol>
laway	<i>noun</i><br><ol><li>saliva</li></ol>
layag|maglayag	<i>noun</i><br><ol><li>sail</li></ol><br><i>verb</i><br><ol><li>to sail (to a place)</li></ol>
ligang	<i>verb</i><br><ol><li>to fry (in a moderate amount of oil)</li></ol>
lima	<i>noun</i><br><ol><li>hand</li></ol><br><i>num</i><br><ol><li>five</li></ol>
limut	<i>noun</i><br><ol><li>gossip</li></ol>
lintang	<i>noun</i><br><ol><li>bamboo buoy (used to mark the anchorage of a fish trap)</li></ol>
linug	<i>noun</i><br><ol><li>earthquake</li></ol>
lisag	<i>noun</i><br><ol><li>stroke</li><li>time</li></ol><br><i>verb</i><br><ol><li>to beat, to strike (someone or something)</li></ol>
liug	<i>noun</i><br><ol><li>neck</li></ol>
liyang	<i>noun</i><br><ol><li>recess or niche in the side of a Muslim grave where the dead body is laid</li></ol>
lubid	<i>noun</i><br><ol><li>rope</li></ol>
luha	<i>noun</i><br><ol><li>tear</li></ol>
lukluk	<i>noun</i><br><ol><li>owl</li></ol>
luman	<i>noun</i><br><ol><li>A mixed feeling of fear, profound respect, and shyness (toward someone); social distance.</li></ol>
lumura	<i>verb</i><br><ol><li>to spit</li></ol>
lumut	<i>noun</i><br><ol><li>moss</li></ol>
lunga	<i>noun</i><br><ol><li>sesame</li></ol>
lungag	<i>noun</i><br><ol><li>hole</li></ol>
lupa	<i>noun</i><br><ol><li>earth; ground; soil</li></ol>
lupad	<i>verb</i><br><ol><li>to fly</li></ol>
lura|maglura	<i>noun</i><br><ol><li>saliva</li></ol><br><i>verb</i><br><ol><li>to spit</li></ol>
lusung	<i>noun</i><br><ol><li>mortar</li></ol>
lutaw	<i>noun</i><br><ol><li>spirit of a dead person (forced because of his badness to return to earth as an evil-smelling, half decayed body), evil ghost</li></ol>
lutu|maglutu	<i>verb</i><br><ol><li>to cook</li></ol>
luwan	<i>noun</i><br><ol><li>cargo</li><li>load</li><li>freight</li></ol>
luya	<i>noun</i><br><ol><li>ginger</li></ol>
maasin	<i>adj</i><br><ol><li>salty</li></ol>
maaslum	<i>adj</i><br><ol><li>sour</li></ol>
maasu	<i>adj</i><br><ol><li>smoky</li></ol>
mabagunbun	<i>adj</i><br><ol><li>dusty</li></ol>
mabud|mabūd	<i>adj</i><br><ol><li>mountainous</li></ol>
mabugat	<i>adj</i><br><ol><li>heavy</li></ol>
mabuhangin	<i>adj</i><br><ol><li>sandy</li></ol>
mabukug	<i>adj</i><br><ol><li>bony</li></ol>
magabun	<i>adj</i><br><ol><li>cloudy</li></ol>
mahaba	<i>adj</i><br><ol><li>long</li></ol>
mahalga	<i>adj</i><br><ol><li>dear, pricey, expensive</li></ol>
mahamut	<i>adj</i><br><ol><li>fragrant</li></ol>
mahugut	<i>adj</i><br><ol><li>firm, solid</li></ol>
maingat	<i>adj</i><br><ol><li>wise, intelligent</li></ol>
mainum	<i>adj</i><br><ol><li>drinkable</li></ol>
maitum	<i>adj</i><br><ol><li>black</li></ol>
makina	<i>noun</i><br><ol><li>machine</li></ol>
makusug	<i>adj</i><br><ol><li>strong</li></ol>
malamma	<i>adj</i><br><ol><li>weak</li></ol>
malanggang	<i>adj</i><br><ol><li>thirsty</li></ol>
malaul	<i>adj</i><br><ol><li>tired</li></ol>
malim	<i>noun</i><br><ol><li>guide</li></ol>
maluhay	<i>adj</i><br><ol><li>cheap</li><li>easy</li></ol>
mangga	<i>noun</i><br><ol><li>mango (fruit)</li></ol>
manipis	<i>adj</i><br><ol><li>thin</li></ol>
manuk	<i>noun</i><br><ol><li>chicken</li></ol>
manuk-manuk	<i>noun</i><br><ol><li>bird</li></ol>
mapait	<i>adj</i><br><ol><li>bitter</li></ol>
mapii	<i>adj</i><br><ol><li>choosy</li></ol>
mapisak	<i>adj</i><br><ol><li>muddy</li></ol>
maputi	<i>adj</i><br><ol><li>white</li></ol>
marat	<i>noun</i><br><ol><li>opium</li></ol>
mas|mās	<i>adj</i><br><ol><li>old (of persons)</li></ol>
masa	<i>noun</i><br><ol><li>era, epoch, age</li></ol>
masagbut	<i>adj</i><br><ol><li>full of weeds</li></ol>
masakit	<i>adj</i><br><ol><li>painful</li></ol>
masjid	<i>noun</i><br><ol><li>mosque</li></ol>
mata	<i>noun</i><br><ol><li>eye (organ)</li></ol>
matas|matās	<i>adj</i><br><ol><li>high</li><li>eminent, great</li></ol>
matembuk	<i>adj</i><br><ol><li>fat</li></ol>
matubig	<i>adj</i><br><ol><li>watery</li><li>juicy</li></ol>
matugas	<i>adj</i><br><ol><li>hard</li></ol>
mayat	<i>noun</i><br><ol><li>corpse</li></ol>
maylang	<i>noun</i><br><ol><li>sulfur</li></ol>
musim	<i>noun</i><br><ol><li>season</li></ol>
nabi	<i>noun</i><br><ol><li>prophet</li></ol>
nana	<i>noun</i><br><ol><li>pus</li></ol>
nanam	<i>noun</i><br><ol><li>taste, flavor</li></ol>
napas	<i>noun</i><br><ol><li>breath</li></ol>
narka'	<i>noun</i><br><ol><li>Hell</li></ol>
ngan|ngān	<i>noun</i><br><ol><li>name</li></ol>
nipis	<i>noun</i><br><ol><li>thinness</li></ol>
niyug	<i>noun</i><br><ol><li>coconut tree</li></ol>
nyawa	<i>noun</i><br><ol><li>soul, spirit</li></ol>
