kapuna	<i>noun</i><br><ol><li>crocodile</li></ol>
karajaa	<i>noun</i><br><ol><li>work</li></ol>
karanala	<i>noun</i><br><ol><li>curse</li></ol>
karanci	<i>noun</i><br><ol><li>rattan basket</li><li>rattan fish container</li></ol>
karatasa	<i>noun</i><br><ol><li>paper</li><li>letter paper</li></ol>
karawe	<i>noun</i><br><ol><li>(anatomy) finger</li></ol>
kareba	<i>noun</i><br><ol><li>information</li><li>news</li></ol>
kari	<i>noun</i><br><ol><li>dried meat; jerky</li></ol>
karoda	<i>noun</i><br><ol><li>rice porridge mixed with meat or vegetables</li></ol>
kasa	<i>noun</i><br><ol><li>bean</li><li>peanut</li></ol>
kasoro	<i>noun</i><br><ol><li>mattress</li></ol>
kasubi	<i>noun</i><br><ol><li>cassava</li><li>tuber</li></ol>
kasuru	<i>noun</i><br><ol><li>complaint; grumbling</li></ol>
katedo	<i>noun</i><br><ol><li>yellow squash</li></ol>
katipoa	<i>noun</i><br><ol><li>bat (animal)</li></ol>
katumpu	<i>noun</i><br><ol><li>(anatomy) thumb</li></ol>
kawali	<i>noun</i><br><ol><li>wok</li></ol>
kawaona	<i>noun</i><br><ol><li>distance</li></ol>
kawengi	<i>noun</i><br><ol><li>night</li></ol>
kawoko	<i>noun</i><br><ol><li>grass</li></ol>
kebe	<i>noun</i><br><ol><li>goat</li></ol>
keke	<i>noun</i><br><ol><li>trench</li><li>small stream</li><li>(anatomy) armpit</li></ol>
kente	<i>noun</i><br><ol><li>power; energy</li></ol>
kila	<i>noun</i><br><ol><li>lightning</li></ol>
kinali	<i>noun</i><br><ol><li>gutter; drain</li><li>stream</li></ol>
kinco	<i>noun</i><br><ol><li>(anatomy) muscle</li></ol>
kinowia	<i>noun</i><br><ol><li>dusk</li></ol>
kinta	<i>noun</i><br><ol><li>village</li><li>yard; fenced-in area</li></ol>
kipu	<i>noun</i><br><ol><li>fish trap made from rattan</li></ol>
kita	<i>pron</i><br><ol><li>we (inclusive)</li></ol>
koda	<i>noun</i><br><ol><li>photograph; drawing; map</li></ol>
koi	<i>noun</i><br><ol><li>bed</li></ol>
koje	<i>noun</i><br><ol><li>T-shirt</li></ol>
kolo	<i>noun</i><br><ol><li>tax debt</li></ol>
koloa	<i>noun</i><br><ol><li>something carried on the back</li></ol>
koloka	<i>noun</i><br><ol><li>bedbug</li></ol>
kombo	<i>noun</i><br><ol><li>fist; handful</li></ol>
komi	<i>pron</i><br><ol><li>you (plural)</li></ol>
kondi	<i>noun</i><br><ol><li>food</li><li>cooked rice</li></ol>
konga	<i>noun</i><br><ol><li>rice husk</li><li>dreg</li></ol>
kono	<i>adj</i><br><ol><li>true</li></ol>
konoa	<i>noun</i><br><ol><li>choice</li></ol>
kopa	<i>noun</i><br><ol><li>slogan</li><li>supposition; assumption; hypothesis</li></ol>
kopi	<i>noun</i><br><ol><li>coffee</li></ol>
koro	<i>noun</i><br><ol><li>body</li><li>self</li></ol>
kou	<i>noun</i><br><ol><li>wood</li></ol>
kula	<i>noun</i><br><ol><li>ginger</li></ol>
kuli	<i>noun</i><br><ol><li>(anatomy) skin</li></ol>
kulimba	<i>noun</i><br><ol><li>hide; animal skin</li></ol>
kulimu	<i>noun</i><br><ol><li>fog</li></ol>
kuma	<i>noun</i><br><ol><li>germ</li></ol>
kumbeo	<i>noun</i><br><ol><li>window</li></ol>
kunco	<i>noun</i><br><ol><li>muscle</li></ol>
kungku	<i>noun</i><br><ol><li>cornflour</li></ol>
kuse	<i>noun</i><br><ol><li>cuscus</li></ol>
kuwawa	<i>noun</i><br><ol><li>humor; joke</li></ol>
labi	<i>noun</i><br><ol><li>remainder</li></ol>
labo	<i>noun</i><br><ol><li>container for drinking water</li></ol>
ladi	<i>noun</i><br><ol><li>knife</li></ol>
laki	<i>adj</i><br><ol><li>male</li></ol>
lalowe	<i>noun</i><br><ol><li>flute</li></ol>
lamale	<i>noun</i><br><ol><li>small shrimp</li></ol>
lambu	<i>noun</i><br><ol><li>mosquito net</li></ol>
lana	<i>noun</i><br><ol><li>oil (cooking)</li></ol>
landa	<i>noun</i><br><ol><li>fishing net; dragnet</li></ol>
langi	<i>noun</i><br><ol><li>sky</li></ol>
langkona	<i>noun</i><br><ol><li>height</li></ol>
lari	<i>noun</i><br><ol><li>root (of a plant)</li></ol>
lawa	<i>noun</i><br><ol><li>hindrance; obstacle</li></ol>
lele	<i>noun</i><br><ol><li>catfish</li></ol>
lelo	<i>noun</i><br><ol><li>tail</li></ol>
lemo	<i>noun</i><br><ol><li>tangerine; citrus</li></ol>
lempe	<i>noun</i><br><ol><li>slope</li><li>valley</li></ol>
lence	<i>noun</i><br><ol><li>(anatomy) face</li></ol>
lencena	<i>noun</i><br><ol><li>shape; appearance</li><li>profile (of a face)</li></ol>
lima mpulu	<i>num</i><br><ol><li>fifty</li></ol>
limatu	<i>num</i><br><ol><li>five hundred</li></ol>
loba	<i>noun</i><br><ol><li>colors and markings on animal fur</li></ol>
lobu	<i>noun</i><br><ol><li>cave</li></ol>
