gatut|gatút	<i>num</i><br><ol><li>hundred</li></ol>
gayang|gayáng	<i>noun</i><br><ol><li>crow</li></ol>
gera	<i>noun</i><br><ol><li>war</li></ol>
giban|gibán	<i>noun</i><br><ol><li>water cup made of coconut</li></ol>
gibaw|gibáw	<i>noun</i><br><ol><li>fence</li></ol>
gikan|gikán	<i>noun</i><br><ol><li>pad (to cushion things carried on the head)</li></ol>
gindan|gindán	<i>adv</i><br><ol><li>then; therefore</li></ol>
gintuturu	<i>noun</i><br><ol><li>(anatomy) index finger</li></ol>
girafuk|girafúk	<i>noun</i><br><ol><li>dust</li></ol>
giral|girál	<i>noun</i><br><ol><li>corner</li></ol>
girawa	<i>noun</i><br><ol><li>shout</li></ol>
giri|girí	<i>noun</i><br><ol><li>scrap of cloth (leftover from cutting)</li></ol>
girit|girít	<i>noun</i><br><ol><li>slice</li></ol>
gitara	<i>noun</i><br><ol><li>guitar</li></ol>
giwang	<i>noun</i><br><ol><li>gap</li></ol>
gobyernu	<i>noun</i><br><ol><li>government</li></ol>
golagola|gólagóla	<i>noun</i><br><ol><li>a kind of kite</li></ol>
grabe	<i>adj</i><br><ol><li>grave; serious</li></ol>
gubin|gubín	<i>adj</i><br><ol><li>near</li></ol>
gugu|gugú	<i>noun</i><br><ol><li>bark (of a tree used for soap)</li></ol>
gugurat	<i>adv</i><br><ol><li>intentionally; on purpose</li></ol>
gukung|gukúng	<i>noun</i><br><ol><li>sow; mother pig</li></ol>
gumamela	<i>noun</i><br><ol><li>Chinese hibiscus (Hibiscus rosa-sinensis)</li></ol>
gundarakal	<i>noun</i><br><ol><li>(anatomy) thumb</li></ol>
gurami	<i>noun</i><br><ol><li>hay</li></ol>
guyabano	<i>noun</i><br><ol><li>soursop</li></ol>
gwantes	<i>noun</i><br><ol><li>gloves</li></ol>
gwapo	<i>adj</i><br><ol><li>handsome</li></ol>
gwardya	<i>noun</i><br><ol><li>guard</li></ol>
halag	<i>noun</i><br><ol><li>barrio</li></ol>
hamon|hamón	<i>noun</i><br><ol><li>ham</li></ol>
haola|háola	<i>noun</i><br><ol><li>cage</li></ol>
higante	<i>noun</i><br><ol><li>giant</li></ol>
hustuhustu|hustúhustú	<i>adv</i><br><ol><li>just then</li></ol>
hwes	<i>noun</i><br><ol><li>judge</li></ol>
ibag|ibág	<i>noun</i><br><ol><li>drool</li></ol>
ibu	<i>noun</i><br><ol><li>urine</li></ol>
ibung	<i>noun</i><br><ol><li>(unfertilized) egg</li></ol>
idad|idád	<i>noun</i><br><ol><li>age</li></ol>
ifut|ifút	<i>noun</i><br><ol><li>tail</li></ol>
igat|igát	<i>noun</i><br><ol><li>eel</li></ol>
igaw|igáw	<i>noun</i><br><ol><li>sun</li></ol>
igung|igúng	<i>noun</i><br><ol><li>(anatomy) nose</li></ol>
ikag|ikág	<i>noun</i><br><ol><li>cough</li></ol>
