kalallipang	<i>noun</i><br><ol><li>small bat</li></ol>
kalapati	<i>noun</i><br><ol><li>dove; pigeon</li></ol>
kalassak	<i>noun</i><br><ol><li>blind person</li></ol>
kalaw|kaláw	<i>noun</i><br><ol><li>hornbill</li></ol>
kalbo	<i>noun</i><br><ol><li>mullet fish</li></ol>
kalding	<i>noun</i><br><ol><li>goat</li></ol>
kali	<i>noun</i><br><ol><li>kind of large bird</li></ol>
kaliduwa	<i>noun</i><br><ol><li>soul</li></ol>
kalipat|kalipát	<i>noun</i><br><ol><li>opposite side</li></ol>
kallab|kalláb	<i>noun</i><br><ol><li>lid; cover</li></ol>
kallap	<i>noun</i><br><ol><li>night; nighttime</li></ol>
kalobung	<i>noun</i><br><ol><li>handkerchief worn on the head</li></ol>
kalumbetag	<i>noun</i><br><ol><li>small bat</li></ol>
kamat	<i>noun</i><br><ol><li>(anatomy) hand; arm</li></ol>
kammegus	<i>noun</i><br><ol><li>boyfriend; girlfriend</li></ol>
kamosi	<i>noun</i><br><ol><li>sweet potato</li></ol>
kampit	<i>noun</i><br><ol><li>small knife</li></ol>
kanan	<i>noun</i><br><ol><li>food, especially rice</li></ol>
kandeho	<i>noun</i><br><ol><li>cooking pot</li></ol>
kangirab	<i>noun</i><br><ol><li>toothless person; person missing some teeth</li></ol>
kankanen	<i>noun</i><br><ol><li>sweet bread</li></ol>
kannet|kannét	<i>noun</i><br><ol><li>small ant</li></ol>
kapas	<i>noun</i><br><ol><li>cotton</li></ol>
kapaya	<i>noun</i><br><ol><li>papaya</li></ol>
kapeya	<i>adj</i><br><ol><li>well-behaved; good</li></ol>
kapno	<i>conj</i><br><ol><li>so; so that; in order to</li></ol>
kapolpog	<i>noun</i><br><ol><li>bald person</li></ol>
kapotgayong	<i>noun</i><br><ol><li>person or animal missing a limb</li></ol>
kappeg	<i>noun</i><br><ol><li>wing</li></ol>
karad	<i>noun</i><br><ol><li>end</li></ol>
karamay	<i>noun</i><br><ol><li>centipede</li></ol>
karamba	<i>noun</i><br><ol><li>clay pot</li></ol>
karoykoy	<i>noun</i><br><ol><li>large crab</li></ol>
karusuan	<i>noun</i><br><ol><li>stony place; rocky outcrop</li></ol>
kasakkal	<i>noun</i><br><ol><li>thing that makes one angry, mad, irritated, or disgusted</li></ol>
kasi	<i>noun</i><br><ol><li>wild chicken</li></ol>
kasinsin	<i>noun</i><br><ol><li>cousin</li></ol>
