(H)ísus	<i>noun</i><br><ol><li>arrow</li></ol>
léymō|l̥ym̥nés|limén|l̥ym̥nóHom|limn̥sú|léymonh₁e|léymones|l̥ym̥néh₁|liméni|léymonm̥s|léymonh₁|léymon|limn̥bʰí|limn̥mós|léymonm̥|l̥ym̥néy	<i>noun</i><br><ol><li>lake</li></ol>
léyǵʰti|léyǵʰsi|liǵʰó|léyǵʰeth₂er|liǵʰih₁tó|léyǵʰedʰh₂we|léyǵʰowosdʰh₂|léyǵʰomos|liǵʰtā́m|léyǵʰetor|liǵʰté|liǵʰtés|léyǵʰonti|léyǵʰeti|liǵʰyéh₁t|liǵʰth₂é|liǵʰh₂ér|liǵʰih₁th₂é|liǵʰmédʰh₂|liǵʰm̥h₁nós|liǵʰwé|liǵʰih₁h₂é|liǵʰór|léyǵʰowos|liǵʰyéh₁s|léyǵʰt|léyǵʰete|liǵʰmósdʰh₂|liǵʰéntu|liǵʰwós|liǵʰrór|liǵʰwédʰh₂|léyǵʰoh₂|léyǵ|léyǵʰm̥|léyǵʰesi|liǵʰih₁té|liǵʰih₁wédʰh₂|liǵʰih₁médʰh₂|liǵʰih₁tóm|liǵʰn̥tór|liǵʰmé|liǵʰn̥tó|liǵʰih₁ró|liǵʰih₁dʰh₂wé|léyǵʰetes|liǵʰtóm|liǵʰih₁tā́m|léyǵʰoh₂er|liǵʰdʰh₂wé|liǵʰént|liǵʰsó|léyǵʰontor|liǵʰyéh₁m̥|léyǵʰs|liǵʰih₁mé|liǵʰih₁ént|liǵʰth₂ér|liǵʰénti|liǵʰwósdʰh₂|liǵʰh₂é|liǵʰih₁ó|léyǵʰmi|liǵʰih₁n̥tó|liǵʰih₁wé|liǵʰtór|léyǵʰomosdʰh₂|léyǵʰtu|liǵʰónts|liǵʰtó|liǵʰdʰí|liǵʰró|liǵʰmós|léyǵʰoror	<i>verb</i><br><ol><li>to be licking</li></ol>
lókus|l̥kwsú|l̥kwóHom|lókewes|lókums|lókuh₁|lókwi|l̥kwmós|l̥kwés|l̥kwéy|l̥kwéh₁|l̥kwbʰí|lókuh₁e|lóku|lókum	<i>noun</i><br><ol><li>pond, pool</li></ol>
lówh₃trom|léwh₃tromos|léwh₃troysu|léwh₃tread|léwh₃trey|léwh₃troyh₁|léwh₃troHom|léwh₃troy|léwh₃troh₁|léwh₃treh₂|léwh₃trom|léwh₃trosyo|léwh₃trōys|léwh₃troey	<i>noun</i><br><ol><li>that which is used for washing</li><li>washbasin, bathtub</li><li>bathwater; soap suds</li></ol>
lówksneh₂|lówksneh₂s|lówksneh₂ey|lówksnām|lówksneh₂h₁|lówksneh₂i	<i>noun</i><br><ol><li>moon</li></ol>
lóyseh₂|lóyseh₂oHom|lóyseh₂i|lóyseh₂su|lóyseh₂es|lóysām|lóyseh₂bʰi|lóyseh₂ey|lóyseh₂h₁e|lóyseh₂m̥s|lóyseh₂h₁|lóyseh₂mos|lóyseh₂s	<i>noun</i><br><ol><li>following, track</li><li>(agriculture) furrow</li></ol>
me	<i>adv</i><br><ol><li>in the middle of, near, by, around, with</li></ol>
meh₁	<i>particle</i><br><ol><li>prohibitive particle</li></ol>
memóne|meménetes|meméneti|memnih₁tā́m|memn̥tóm|memnih₁mé|memóntu|memnih₁wé|memónth₂e|memn̥wṓs|meménete|memnih₁tóm|meménomos|memnḗr|memn̥yéh₁m̥|meménowos|memn̥tā́m|memn̥mé|meménesi|memónh₂e|memnih₁té|memón|memn̥wé|memn̥dʰí|memn̥té|meménoh₂|memné|memnéntu|meménonti|memn̥yéh₁t|memn̥yéh₁s|memnih₁ént	<i>verb</i><br><ol><li>to think, to be mindful</li><li>to remember</li></ol>
mh₂ḱrós|mh₂ḱréh₂mos|mh₂ḱróy|mh₂ḱróey|mh₂ḱróes|mh₂ḱréh₂i|mh₂ḱrómos|mh₂ḱréh₂|mh₂ḱréy|mh₂ḱréad|mh₂ḱréh₂es|mh₂ḱróm|mh₂ḱréh₂su|mh₂ḱréh₂h₁|mh₂ḱrā́m|mh₂ḱrṓys|mh₂ḱrósyo|mh₂ḱréh₂ey|mh₂ḱróh₁|mh₂ḱréh₂bʰi|mh₂ḱréh₂h₁e|mh₂ḱróms|mh₂ḱré|mh₂ḱréh₂oHom|mh₂ḱróHom|mh₂ḱróyh₁|mh₂ḱróysu|mh₂ḱréh₂m̥s|mh₂ḱréh₂s	<i>adj</i><br><ol><li>lean, meager</li></ol>
misdʰós	<i>noun</i><br><ol><li>reward, prize</li><li>wages, payment</li></ol>
mléwHti|mluHih₁th₂é|mluHó|mluHih₁té|mluHrór|mluHwósdʰh₂|mluHyéh₁s|mluHtés|mluHih₁h₂é|mléwHoh₂er|mluHth₂ér|mléwHomosdʰh₂|mléwHowos|mléwHt|mluHtā́m|mléwHetor|mléwHtu|mluHdʰí|mluHénti|mluHih₁mé|mluHdʰh₂wé|mléwHomos|mluHró|mléwHoror|mluHwós|mluHih₁wé|mluHih₁tā́m|mluHih₁médʰh₂|mléwHetes|mléwHeti|mluHh₂é|mluHih₁dʰh₂wé|mluHónts|mluHih₁n̥tó|mléwHmi|mléwHesi|mléwHete|mluHwédʰh₂|mléwHonti|mluHtór|mléwHowosdʰh₂|mluHsó|mluHyéh₁t|mluHór|mluHih₁tó|mluHmósdʰh₂|mluHih₁ró|mluHm̥h₁nós|mléwHs|mluHmós|mléwHm̥|mluHih₁ént|mléwH|mluHmédʰh₂|mluHn̥tór|mluHwé|mléwHontor|mléwHedʰh₂we|mluHyéh₁m̥|mluHih₁tóm|mluHth₂é|mléwHoh₂|mluHtó|mluHh₂ér|mluHtóm|mluHént|mluHih₁wédʰh₂|mluHn̥tó|mléwHeth₂er|mluHih₁ó|mluHmé|mluHté|mluHéntu|mléwHsi	<i>verb</i><br><ol><li>to say</li></ol>
ml̥dus	<i>adj</i><br><ol><li>soft, weak</li></ol>
mosgʰós|mosgʰóey|mosgʰé|mosgʰóh₁|mosgʰóysu|mosgʰósyo|mosgʰóHom|mosgʰóes|mosgʰéad|mosgʰómos|mosgʰṓys|mosgʰóms|mosgʰóm|mosgʰóy|mosgʰéy	<i>noun</i><br><ol><li>marrow</li><li>brain</li></ol>
moysós	<i>noun</i><br><ol><li>ram, sheep (= *h₂ówis)</li><li>sheepskin, fleece, wool</li></ol>
mréǵʰus|mr̥ǵʰúsu|mr̥ǵʰúh₁e|mr̥ǵʰéwoHom|mr̥ǵʰúes|mr̥ǵʰúyh₁|mréǵʰuh₁e|mr̥ǵʰéwih₂|mr̥ǵʰuyéh₂oHom|mr̥ǵʰuyéh₂su|mréǵʰwih₁|mr̥ǵʰéwih₂es|mr̥ǵʰéwih₂h₁|mr̥ǵʰéwh₁|mr̥ǵʰúh₁|mr̥ǵʰéwsu|mr̥ǵʰéwi|mr̥ǵʰéwmos|mréǵʰuh₁|mr̥ǵʰúmos|mr̥ǵʰúbʰi|mréǵʰuh₂|mr̥ǵʰéwih₂m̥|mréǵʰewes|mr̥ǵʰú|mr̥ǵʰuyéh₂h₁|mr̥ǵʰús|mr̥ǵʰúms|mr̥ǵʰéws|mr̥ǵʰuyéh₂ey|mr̥ǵʰúm|mr̥ǵʰéwih₂m̥s|mr̥ǵʰéwey|mr̥ǵʰuyéh₂i|mr̥ǵʰuyéh₂bʰi|mr̥ǵʰéwbʰi|mr̥ǵʰuyéh₂s|mr̥ǵʰúh₂|mréǵʰums|mr̥ǵʰuyéh₂mos|mr̥ǵʰéw|mr̥ǵʰéwih₂h₁e|mr̥ǵʰuyéh₂|mréǵʰum|mréǵʰu	<i>adj</i><br><ol><li>short</li><li>brief</li></ol>
mr̥tós|mr̥téh₂m̥s|mr̥téh₂h₁|mr̥tóh₁|mr̥tóey|mr̥téy|mr̥téh₂|mr̥téh₂oHom|mr̥tóyh₁|mr̥tóy|mr̥téad|mr̥tómos|mr̥tóHom|mr̥téh₂ey|mr̥téh₂su|mr̥téh₂i|mr̥tóms|mr̥téh₂mos|mr̥téh₂es|mr̥tṓys|mr̥tóm|mr̥tā́m|mr̥té|non-ablauting|mr̥téh₂s|mr̥téh₂h₁e|mr̥tóysu|mr̥téh₂bʰi|mr̥tósyo|mr̥tóes	<i>adj</i><br><ol><li>dead</li><li>mortal</li></ol>
márkos|márkoy|márkead|márkoHom|márkosyo|márkom|márke|márkoysu|márkoes|márkoey|márkomos|márkoh₁|márkōys|márkoms|márkey	<i>noun</i><br><ol><li>horse (Equus ferus caballus)</li><li>(possibly) wild horse (Equus ferus przewalskii or Equus ferus ferus)</li></ol>
médʰu|m̥dʰúsu|m̥dʰéwi|m̥dʰéws|m̥dʰúmos|m̥dʰúh₁|m̥dʰéwey|m̥dʰéw|m̥dʰúbʰi|médʰuh₂|m̥dʰéwoHom|médʰwih₁	<i>noun</i><br><ol><li>honey</li><li>honey wine, mead</li></ol>
médʰyos|médʰyoes|médʰyeh₂h₁e|médʰyeh₂oHom|médʰyeh₂s|médʰyomos|médʰyeh₂ey|médʰye|médʰyoyh₁|médʰyeh₂mos|médʰyey|médʰyām|médʰyeh₂es|médʰyeh₂bʰi|médʰyom|médʰyosyo|médʰyead|médʰyeh₂m̥s|médʰyeh₂su|médʰyoHom|médʰyoh₁|médʰyoey|médʰyoms|médʰyōys|médʰyeh₂|non-ablauting|médʰyoy|médʰyeh₂i|médʰyoysu|médʰyeh₂h₁	<i>adj</i><br><ol><li>middle</li></ol>
méh₂tēr|méh₂terh₁e|méh₂term̥s|méh₂term̥|méh₂troHom|méh₂tri|méh₂tr̥s|méh₂tr̥bʰi|méh₂tr̥mos|méh₂tr̥su|méh₂tr̥h₁|méh₂teres|méh₂tr̥|méh₂trey|méh₂ter|méh₂terh₁	<i>noun</i><br><ol><li>mother</li></ol>
mélit|m̥litéh₁|m̥litéy|méliti|m̥lités	<i>noun</i><br><ol><li>honey</li></ol>
ménos|ménōs|ménesi|ménesu|ménesoHom|ménesih₁|ménesh₁|ménesmos|ménesbʰi|ménesey|ménesos|ménes	<i>noun</i><br><ol><li>mind</li><li>thought</li></ol>
méntis|mn̥tíh₁|mn̥tíbʰi|mn̥tísu|ménti|mn̥téys|méntim|ménteyes|mn̥téyey|mn̥téy|méntih₁|méntih₁e|mn̥tḗy|mn̥tímos|mn̥téyoHom|méntims	<i>noun</i><br><ol><li>thought</li></ol>
mért|mr̥tó|m̥réntu|méredʰh₂we|méroh₂|m̥rn̥tó|m̥rént|méromosdʰh₂|méreti|mr̥yéh₁t|méromos|mr̥ró|m̥rih₁ént|m̥rónts|m̥rih₁wé|mérowos|m̥rih₁mé|m̥rih₁ró|mérm̥|m̥rih₁tó|m̥rih₁n̥tó|m̥rih₁tóm|méresi|méretes|mérontor|m̥rih₁médʰh₂|mr̥wé|mr̥yéh₁s|mr̥h₂é|mr̥médʰh₂|m̥rih₁th₂é|mér|mr̥tā́m|mr̥tóm|mr̥dʰí|m̥rih₁ó|mérs|m̥rih₁tā́m|m̥rih₁wédʰh₂|mr̥té|mr̥mé|mr̥yéh₁m̥|m̥rih₁h₂é|m̥rih₁dʰh₂wé|méronti|méretor|méroror|méreth₂er|m̥rih₁té|m̥rm̥h₁nós|mérowosdʰh₂|mértu|mr̥wédʰh₂|m̥ró|mr̥th₂é|mr̥dʰh₂wé|mr̥só|mérete|méroh₂er	<i>verb</i><br><ol><li>to die</li></ol>
mértis|mr̥tíh₁|mr̥téys|mértim|mértih₁e|mr̥tḗy|mértih₁|mr̥téyoHom|mr̥téyey|mérti|mr̥téy|mérteyes|mr̥tísu|mr̥tíbʰi|mértims|mr̥tímos	<i>noun</i><br><ol><li>death</li></ol>
méǵh₂s|méǵh₂ih₂m̥|m̥ǵh₂sú|m̥ǵh₂éh₁|m̥ǵh₂bʰí|m̥ǵh₂óHom|méǵh₂|m̥ǵh₂yéh₂h₁|méǵh₂es|m̥ǵh₂yéh₂oHom|m̥ǵh₂yéh₂i|méǵh₂m̥|m̥ǵh₂és|m̥ǵh₂yéh₂|m̥ǵh₂éy|m̥ǵh₂yéh₂su|méǵh₂h₁|m̥ǵh₂yéh₂bʰi|méǵh₂i|méǵh₂ih₂|méǵh₂ih₂es|m̥ǵh₂yéh₂mos|méǵh₂ih₂m̥s|m̥ǵh₂mós|m̥ǵh₂yéh₂ey|m̥ǵh₂yéh₂s|méǵh₂ih₂h₁e|méǵh₂ih₂h₁|méǵh₂m̥s|méǵh₂h₂|méǵh₂h₁e|méǵh₂ih₁	<i>adj</i><br><ol><li>big, great</li></ol>
méǵh₂yōs|m̥ǵh₂isyéh₂bʰi|m̥ǵh₂isyéh₂mos|méǵh₂yos|méǵh₂yosm̥|méǵh₂yosih₁|m̥ǵh₂isyéh₂i|méǵh₂yosh₁e|m̥ǵh₂isés|m̥ǵh₂isyéh₂oHom|m̥ǵh₂yési|m̥ǵh₂yésih₂m̥|m̥ǵh₂iséy|m̥ǵh₂yésih₂|m̥ǵh₂isú|m̥ǵh₂isyéh₂h₁|m̥ǵh₂isbʰí|m̥ǵh₂yésih₂h₁|méǵh₂yosh₁|méǵh₂yosm̥s|m̥ǵh₂yés|m̥ǵh₂yésih₂m̥s|m̥ǵh₂yésih₂h₁e|m̥ǵh₂isyéh₂s|m̥ǵh₂yésih₂es|m̥ǵh₂isyéh₂|m̥ǵh₂isyéh₂su|m̥ǵh₂isyéh₂ey|m̥ǵh₂iséh₁|méǵh₂yoses|m̥ǵh₂ismós|m̥ǵh₂isóHom	<i>adj</i><br><ol><li>bigger, greater</li></ol>
móri|m̥réyey|móryih₁|m̥réyoHom|mórih₂|m̥réy|m̥rḗy|m̥ríbʰi|m̥rímos|m̥ríh₁|m̥réys|m̥rísu	<i>noun</i><br><ol><li>sea</li><li>standing water</li></ol>
múHtrom|múHtromos|múHtroy|múHtrōys|múHtread|múHtrey|múHtroyh₁|múHtreh₂|múHtroey|múHtrosyo|múHtroHom|múHtroysu|múHtroh₁	<i>noun</i><br><ol><li>excrement, urine</li><li>filth, sediment</li></ol>
múh₂s|múh₂sm̥|muh₂smós|múh₂si|muh₂séh₁|múh₂sh₁|muh₂sóHom|múh₂ses|múh₂sh₁e|muh₂sú|múh₂sm̥s|muh₂sbʰí|muh₂sés|muh₂séy	<i>noun</i><br><ol><li>mouse</li></ol>
mḗh₁n̥s|méh₁n̥smos|méh₁n̥soHom|méh₁n̥sh₁|méh₁n̥su|méh₁n̥sbʰi|méh₁n̥si|mḗh₁n̥sh₁|méh₁n̥sos|mḗh₁n̥sh₁e|mḗh₁n̥ses|méh₁n̥sey|mḗh₁n̥sm̥s|mḗh₁n̥sm̥|méh₁n̥s	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
mḗms|mémsey|mémsos|mémsh₁|mémsi|méms	<i>noun</i><br><ol><li>flesh, meat</li></ol>
ne	<i>particle</i><br><ol><li>not</li></ol>
negʷʰrós|negʷʰrómos|negʷʰróy|negʷʰróey|negʷʰróysu|negʷʰréy|negʷʰré|negʷʰróes|negʷʰróm|negʷʰróms|negʷʰréad|negʷʰrósyo|negʷʰróHom|negʷʰróh₁|negʷʰrṓys	<i>noun</i><br><ol><li>kidney</li></ol>
nisdós|nisdóysu|nisdéad|nisdóHom|nisdóh₁|nisdóms|nisdómos|nisdóm|nisdósyo|nisdṓys|nisdé|nisdéy|nisdóy|nisdóey|nisdóes	<i>noun</i><br><ol><li>nest</li></ol>
nu	<i>adv</i><br><ol><li>now</li><li>well (as an interjection)</li><li>and</li></ol>
nébʰos|nébʰesu|nébʰesbʰi|nébʰesi|nébʰes|nébʰesos|nébʰesh₁|nébʰesoHom|nébʰesih₁|nébʰesey|nébʰōs|nébʰesmos	<i>noun</i><br><ol><li>cloud</li><li>mist, moisture</li></ol>
néh₂s|néh₂sm̥|n̥h₂sóHom|n̥h₂sú|néh₂sm̥s|néh₂sh₁|n̥h₂smós|n̥h₂sés|néh₂sh₁e|n̥h₂sbʰí|n̥h₂séy|n̥h₂séh₁|néh₂ses|néh₂si	<i>noun</i><br><ol><li>nose</li></ol>
néh₂us|neh₂wéh₁|néh₂wes|n̥h₂wóHom|n̥h₂ḗwi|neh₂wóHom|Dative|n̥h₂éw|n̥h₂wmós|Instrumental|n̥h₂wsú|Nominative|néh₂u|néh₂uns|neh₂usú|n̥h₂wéy|n̥h₂wés|n̥h₂ḗwh₁|Ablative|Locative|neh₂wés|n̥h₂ḗwh₁e|n̥h₂éwi|Genitive|néh₂ewes|néh₂wm̥|n̥h₂ḗm|n̥h₂wbʰí|n̥h₂ḗw|Vocative|n̥h₂wéh₁|néh₂um|néh₂ums|Accusative|n̥h₂ḗws|néh₂uh₁e|n̥h₂ḗwm̥s|neh₂wéy|neh₂ubʰí|néh₂uh₁|néh₂wi|n̥h₂ḗwes|neh₂umós	<i>noun</i><br><ol><li>boat</li></ol>
némos|némesoHom|némesh₁|némesu|némesey|némesbʰi|némes|némesmos|némōs|némesos|némesi|némesih₁	<i>noun</i><br><ol><li>bowing, bending</li><li>sacrifice, worship</li><li>place of sacrifice, clearing</li></ol>
néptih₂|néptyeh₂su|néptyeh₂oHom|néptyeh₂|néptih₂h₁e|néptyeh₂bʰi|néptih₂m̥s|néptyeh₂s|néptyeh₂i|néptih₂es|néptyeh₂ey|néptyeh₂h₁|néptyeh₂mos|néptih₂h₁|néptih₂m̥	<i>noun</i><br><ol><li>granddaughter</li><li>niece</li></ol>
népōts|h₂népōts|h₂₁|h₂n̥ptmós|népoti|h₂₁e|h₂népotm̥|h₂n̥ptés|népot|h₂n̥ptéh₁|h₂n̥ptbʰí|h₂n̥ptsú|népoth₁|népotm̥|h₂népotes|h₂népotm̥s|n̥ptéh₁|h₂népot|n̥ptbʰí|népotes|n̥ptmós|n̥ptóHom|n̥ptéy|h₂n̥ptéy|n̥ptés|népoth₁e|h₂n̥ptóHom|h₂népoti|(h₂)népōts|n̥ptsú|népotm̥s	<i>noun</i><br><ol><li>grandson</li><li>descendant</li><li>(possibly) nephew</li></ol>
néweh₂ti|néweh₂edʰh₂we|néweh₂s|néweh₂mi|néweh₂ih₁me|néweh₂ete|néweh₂ih₁we|néweh₂n̥tor|néweh₂tām|néweh₂ih₁medʰh₂|néweh₂ih₁o|néweh₂eti|néweh₂wos|néweh₂mosdʰh₂|néweh₂o|néweh₂ih₁ro|néweh₂n̥tu|néwām|néweh₂wosdʰh₂|néweh₂eth₂er|néweh₂th₂er|néweh₂ih₁th₂e|néweh₂tes|néweh₂tor|néweh₂oh₂er|néweh₂ih₁wedʰh₂|néweh₂ih₁n̥t|néweh₂to|néweh₂t|néweh₂medʰh₂|néweh₂owosdʰh₂|néweh₂omosdʰh₂|néweh₂si|néweh₂ih₁tom|néweh₂so|néweh₂wedʰh₂|néweh₂te|néweh₂me|néweh₂onti|néweh₂|néweh₂n̥to|néweh₂ror|néweh₂h₂er|néweh₂yeh₁t|néweh₂esi|néweh₂ontor|néweh₂dʰi|néweh₂ih₁h₂e|néweh₂ih₁tām|néweh₂owos|néweh₂tu|néweh₂mos|néweh₂n̥ts|néweh₂yeh₁m̥|néweh₂ih₁to|néweh₂n̥t|néweh₂tom|néweh₂oh₂|néweh₂etor|néweh₂we|néweh₂oror|néweh₂th₂e|néweh₂ih₁dʰh₂we|néweh₂or|néweh₂m̥h₁nos|néweh₂n̥ti|néweh₂ih₁n̥to|néweh₂h₂e|néweh₂yeh₁s|néweh₂ih₁te|néweh₂ro|néweh₂omos|néweh₂etes|néweh₂dʰh₂we	<i>verb</i><br><ol><li>to renew</li></ol>
néwos|néwoHom|néwomos|néwoysu|néweh₂s|néwom|néweh₂i|néwead|néweh₂h₁e|néwōys|néwoh₁|néwosyo|néwām|néweh₂h₁|néwoey|néweh₂ey|néwey|néweh₂es|néwe|néweh₂su|néweh₂|néweh₂m̥s|néweh₂mos|néwoy|néweh₂oHom|non-ablauting|néwoyh₁|néwoms|néwoes|néweh₂bʰi	<i>adj</i><br><ol><li>new</li></ol>
néwoteh₂ts|néwoteh₂t|néwoteh₂tbʰi|néwoteh₂tm̥|néwoteh₂tsu|néwoteh₂tmos|néwoteh₂th₁e|néwoteh₂th₁|néwoteh₂ti|néwoteh₂tey|néwoteh₂tes|néwoteh₂tm̥s|néwoteh₂toHom	<i>noun</i><br><ol><li>newness</li></ol>
néḱus|n̥ḱuyéh₂bʰi|n̥ḱéwmos|n̥ḱúyh₁|n̥ḱúm|n̥ḱéwh₁|n̥ḱúbʰi|n̥ḱuyéh₂su|n̥ḱúes|néḱewes|n̥ḱéwih₂m̥|n̥ḱuyéh₂s|n̥ḱéwi|n̥ḱuyéh₂ey|n̥ḱéw|n̥ḱéwih₂h₁e|n̥ḱúsu|n̥ḱuyéh₂h₁|n̥ḱéwih₂es|néḱuh₁|n̥ḱéws|n̥ḱúms|n̥ḱúh₁e|n̥ḱúh₁|n̥ḱéwsu|néḱu|n̥ḱéwbʰi|n̥ḱuyéh₂oHom|néḱums|néḱwih₁|n̥ḱús|n̥ḱéwih₂h₁|néḱuh₁e|n̥ḱuyéh₂mos|n̥ḱuyéh₂i|n̥ḱú|n̥ḱéwoHom|néḱum|n̥ḱéwih₂|n̥ḱuyéh₂|n̥ḱúmos|n̥ḱéwih₂m̥s|n̥ḱúh₂|n̥ḱéwey|néḱuh₂	<i>adj</i><br><ol><li>dead</li><li>mortal</li></ol>
nókʷts|nékʷts|nékʷt|nókʷth₁|nókʷtm̥|nókʷt|nékʷtsu|nékʷtmos|nókʷth₁e|nékʷtoHom|nékʷth₁|nékʷti|nékʷtbʰi|nékʷtey|nókʷtm̥s|nókʷtes	<i>noun</i><br><ol><li>night (or possibly 'evening')</li></ol>
n̥bʰrós|n̥bʰrís	<i>noun</i><br><ol><li>rain-cloud, with semantic narrowing to rain, cloud</li></ol>
n̥mr̥tós|n̥mr̥tóyh₁|n̥mr̥téy|n̥mr̥tóy|n̥mr̥tóms|n̥mr̥téh₂i|n̥mr̥tóm|n̥mr̥tṓys|n̥mr̥tóes|n̥mr̥téh₂s|n̥mr̥téh₂mos|n̥mr̥tóh₁|n̥mr̥téh₂su|n̥mr̥téh₂h₁|n̥mr̥tóHom|n̥mr̥tómos|n̥mr̥téh₂es|n̥mr̥tóysu|n̥mr̥tósyo|n̥mr̥téh₂|n̥mr̥té|n̥mr̥téh₂oHom|n̥mr̥téh₂m̥s|n̥mr̥téad|non-ablauting|n̥mr̥tóey|n̥mr̥tā́m|n̥mr̥téh₂h₁e|n̥mr̥téh₂ey|n̥mr̥téh₂bʰi	<i>adj</i><br><ol><li>immortal</li></ol>
oḱtódḱomt	<i>num</i><br><ol><li>eighty</li></ol>
oḱtṓw|h₁oḱtṓw	<i>num</i><br><ol><li>eight</li></ol>
per	<i>adv</i><br><ol><li>around</li><li>through</li></ol>
ph₂tḗr|ph₂térh₁e|ph₂tréy|ph₂térm̥s|ph₂téres|ph₂tr̥mós|ph₂térh₁|ph₂tróHom|ph₂tr̥sú|ph₂tér|ph₂tr̥bʰí|ph₂tréh₁|ph₂trés|ph₂téri|ph₂térm̥	<i>noun</i><br><ol><li>father</li></ol>
plutós|plutóm|plutéy|plutéh₂i|plutósyo|plutéh₂h₁|plutéh₂bʰi|plutóy|plutéh₂mos|plutóh₁|plutóHom|plutómos|plutéh₂m̥s|plutṓys|plutóysu|plutéh₂h₁e|plutā́m|plutéad|plutéh₂ey|plutéh₂es|plutóey|plutéh₂oHom|plutéh₂s|plutóyh₁|plutéh₂su|plutóms|non-ablauting|pluté|plutóes|plutéh₂	<i>adj</i><br><ol><li>washed</li><li>floated</li></ol>
pléh₁dʰh₁eti|pléh₁dʰh₁ontu|pléh₁dʰh₁esi|pléh₁dʰh₁ōwos|pléh₁dʰh₁oyth₂e|pléh₁dʰh₁edʰh₂we|pléh₁dʰh₁et|pléh₁dʰh₁etom|pléh₁dʰh₁ontor|pléh₁dʰh₁etes|pléh₁dʰh₁etu|pléh₁dʰh₁oyh₂e|pléh₁dʰh₁onto|pléh₁dʰh₁ōnti|pléh₁dʰh₁eth₂e|pléh₁dʰh₁ōror|pléh₁dʰh₁oyte|pléh₁dʰh₁eth₂er|pléh₁dʰh₁oydʰh₂we|pléh₁dʰh₁oyh₁n̥to|pléh₁dʰh₁ōh₂er|pléh₁dʰh₁ete|pléh₁dʰh₁etor|pléh₁dʰh₁ēti|pléh₁dʰh₁ētes|pléh₁dʰh₁oh₂er|pléh₁dʰh₁e|pléh₁dʰh₁es|pléh₁dʰh₁owe|pléh₁dʰh₁oytom|pléh₁dʰh₁owedʰh₂|pléh₁dʰh₁etām|pléh₁dʰh₁omosdʰh₂|pléh₁dʰh₁oytām|pléh₁dʰh₁oyh₁n̥t|pléh₁dʰh₁omedʰh₂|pléh₁dʰh₁oyh₁o|pléh₁dʰh₁oywe|pléh₁dʰh₁oyto|pléh₁dʰh₁ēdʰh₂we|pléh₁dʰh₁om|pléh₁dʰh₁eto|pléh₁dʰh₁owosdʰh₂|pléh₁dʰh₁oys|pléh₁dʰh₁ēsi|pléh₁dʰh₁ōwosdʰh₂|pléh₁dʰh₁omnos|pléh₁dʰh₁omos|pléh₁dʰh₁ōmos|pléh₁dʰh₁oh₂|pléh₁dʰh₁owos|pléh₁dʰh₁oh₂e|pléh₁dʰh₁ont|pléh₁dʰh₁ome|pléh₁dʰh₁ētor|pléh₁dʰh₁eso|pléh₁dʰh₁ōmosdʰh₂|pléh₁dʰh₁ōntor|pléh₁dʰh₁onts|pléh₁dʰh₁oyt|pléh₁dʰh₁ōh₂|pléh₁dʰh₁ēte|pléh₁dʰh₁onti|pléh₁dʰh₁ēth₂er|pléh₁dʰh₁oyme|pléh₁dʰh₁oymedʰh₂|pléh₁dʰh₁oror|pléh₁dʰh₁oyro|pléh₁dʰh₁oywedʰh₂|pléh₁dʰh₁oro|pléh₁dʰh₁oyh₁m̥	<i>verb</i><br><ol><li>to become full, swell</li><li>to increase, further</li></ol>
pléth₂os|pléth₂esh₁|pléth₂esbʰi|pléth₂esih₁|pléth₂esmos|pléth₂esoHom|pléth₂ōs|pléth₂esu|pléth₂es|pléth₂esi|pléth₂esos|pléth₂esey	<i>noun</i><br><ol><li>breadth</li></ol>
pléth₂us|pl̥th₂uyéh₂oHom|pl̥th₂uyéh₂mos|pl̥th₂éwih₂h₁|pléth₂uh₁|pl̥th₂éwh₁|pl̥th₂uyéh₂s|pl̥th₂éwi|pl̥th₂éwbʰi|pl̥th₂úh₁|pl̥th₂úh₁e|pl̥th₂éwih₂|pl̥th₂éwih₂es|pl̥th₂úes|pl̥th₂uyéh₂h₁|pl̥th₂éwoHom|pléth₂uh₂|pl̥th₂éwih₂h₁e|pl̥th₂uyéh₂|pl̥th₂éwmos|pléth₂ums|pl̥th₂éwsu|pl̥th₂ú|pl̥th₂úms|pl̥th₂ús|pl̥th₂éwih₂m̥|pl̥th₂uyéh₂ey|pléth₂u|pléth₂um|pl̥th₂éwih₂m̥s|pl̥th₂úyh₁|pl̥th₂uyéh₂i|pl̥th₂éws|pl̥th₂éwey|pl̥th₂éw|pl̥th₂úm|pl̥th₂uyéh₂bʰi|pl̥th₂uyéh₂su|pléth₂wih₁|pl̥th₂úmos|pléth₂ewes|pléth₂uh₁e|pl̥th₂úsu|pl̥th₂úbʰi|pl̥th₂úh₂	<i>adj</i><br><ol><li>flat, broad</li></ol>
pléwmō|plumén|pl̥wm̥nés|pl̥wm̥néy|pléwmonh₁|pl̥wm̥nóHom|pléwmon|plumn̥sú|pl̥wm̥néh₁|pléwmonm̥|pléwmones|pléwmonh₁e|pléwmonm̥s|plumn̥mós|pluméni|plumn̥bʰí	<i>noun</i><br><ol><li>lung, (literally) floater</li></ol>
plúnksneh₂|plúnksneh₂s|plúnksneh₂h₁|plúnksneh₂i|plúnksnām|plúnksneh₂ey	<i>noun</i><br><ol><li>feather</li></ol>
