chafan	<i>noun</i><br><ol><li>(anatomy) sole (of one's foot)</li></ol>
chaga	<i>noun</i><br><ol><li>land</li></ol>
chahem	<i>noun</i><br><ol><li>wind</li></ol>
chakom	<i>noun</i><br><ol><li>needle; straight pin</li></ol>
chala	<i>noun</i><br><ol><li>(anatomy) blood</li></ol>
chalan	<i>noun</i><br><ol><li>path; route; trail</li></ol>
chalay	<i>noun</i><br><ol><li>large clay jar (used for storing water)</li></ol>
chalojon	<i>noun</i><br><ol><li>waves</li></ol>
chamag	<i>noun</i><br><ol><li>news</li></ol>
changko	<i>noun</i><br><ol><li>scallion; green onion</li></ol>
chani	<i>noun</i><br><ol><li>plaque (on one's teeth)</li></ol>
chanom	<i>noun</i><br><ol><li>water</li></ol>
chegwa	<i>num</i><br><ol><li>two</li></ol>
cheko	<i>noun</i><br><ol><li>small rice field</li></ol>
chepdas	<i>noun</i><br><ol><li>cliff</li></ol>
chepen	<i>noun</i><br><ol><li>cushion; pad; padding</li></ol>
chigo	<i>noun</i><br><ol><li>soup; broth</li></ol>
chigwa	<i>noun</i><br><ol><li>belief</li></ol>
chingching	<i>noun</i><br><ol><li>wall</li></ol>
chingkol	<i>noun</i><br><ol><li>dispute</li></ol>
chochongan	<i>noun</i><br><ol><li>low stool</li></ol>
chokiy	<i>noun</i><br><ol><li>length</li></ol>
cholong	<i>noun</i><br><ol><li>lumber</li></ol>
chontog	<i>noun</i><br><ol><li>mountain</li></ol>
chopda	<i>noun</i><br><ol><li>spit</li></ol>
choron	<i>noun</i><br><ol><li>grasshopper; locust</li></ol>
chosa	<i>noun</i><br><ol><li>punishment; penalty</li></ol>
chotchot	<i>noun</i><br><ol><li>feather; fur; hair</li></ol>
daba	<i>noun</i><br><ol><li>laundry</li></ol>
dadabi	<i>noun</i><br><ol><li>early morning</li></ol>
daga	<i>noun</i><br><ol><li>ritual performed for a sick person</li></ol>
dagbo	<i>noun</i><br><ol><li>salary</li></ol>
dagoy	<i>noun</i><br><ol><li>moss</li></ol>
dakari	<i>noun</i><br><ol><li>saw (tool)</li></ol>
dalat	<i>noun</i><br><ol><li>leather</li></ol>
damot	<i>noun</i><br><ol><li>root</li></ol>
danas	<i>noun</i><br><ol><li>flood</li></ol>
danchok	<i>noun</i><br><ol><li>metal</li></ol>
dangaja	<i>noun</i><br><ol><li>round basket</li></ol>
dangan	<i>noun</i><br><ol><li>absence</li></ol>
dangit	<i>noun</i><br><ol><li>sky; heaven</li><li>meat for sale</li></ol>
dangka	<i>noun</i><br><ol><li>jackfruit</li></ol>
dansa	<i>noun</i><br><ol><li>nail (tool)</li></ol>
danti	<i>noun</i><br><ol><li>hail</li></ol>
dantong	<i>noun</i><br><ol><li>sweet potato leaf</li></ol>
daring	<i>noun</i><br><ol><li>small fish</li></ol>
dasa	<i>noun</i><br><ol><li>fine dust from pounded rice</li></ol>
dasona	<i>noun</i><br><ol><li>small red onion</li></ol>
dasos	<i>num</i><br><ol><li>hundred</li></ol>
dathi	<i>noun</i><br><ol><li>rust</li></ol>
dawan	<i>noun</i><br><ol><li>flesh (the meat of a body).</li></ol>
dawed	<i>noun</i><br><ol><li>a type of vine (whose leaves are chewed with areca nut and lime)</li></ol>
debeg	<i>noun</i><br><ol><li>rice mixed with liquid (usually eaten by children)</li></ol>
degdeg	<i>noun</i><br><ol><li>clay (white, gray, or blue)</li></ol>
dekna	<i>noun</i><br><ol><li>emotion (physical or emotional)</li></ol>
demdem	<i>noun</i><br><ol><li>drizzle; little rain</li></ol>
denakan	<i>noun</i><br><ol><li>west</li></ol>
depok	<i>noun</i><br><ol><li>dust</li></ol>
depto	<i>noun</i><br><ol><li>blister</li></ol>
dibcho	<i>noun</i><br><ol><li>book</li></ol>
dibo	<i>num</i><br><ol><li>thousand</li></ol>
difad	<i>noun</i><br><ol><li>(anatomy) upper thigh</li></ol>
digat	<i>noun</i><br><ol><li>difficulty; hardship</li></ol>
dilos	<i>noun</i><br><ol><li>wristwatch; clock</li></ol>
dima	<i>num</i><br><ol><li>five</li></ol>
dimonyo	<i>noun</i><br><ol><li>demon</li></ol>
dinawa	<i>noun</i><br><ol><li>soul (person or animal, living or dead)</li></ol>
dingagwan	<i>noun</i><br><ol><li>backdoor</li></ol>
