Oxayo|form ئوخايو|form Охайо	<i>name</i><br><ol><li>Ohio</li></ol>
سۇ ئاستى كېمىسى|سۇ ئاستى كېمىلىرى|su asti këmisi	<i>noun</i><br><ol><li>submarine</li></ol>
سۇدان|sudan	<i>name</i><br><ol><li>Sudan (a country in North Africa)</li></ol>
سۇرىيە|suriye|سۇرىيىلەر	<i>name</i><br><ol><li>Syria (a country in Asia)</li></ol>
سۇرىيەلىك|suriyelik|سۇرىيەلىكلەر	<i>noun</i><br><ol><li>Syrian (person)</li></ol>
سۇناي|سۇنايلار|sunay	<i>noun</i><br><ol><li>(music) sunay, a shawm used in traditional Uyghur music of Xinjiang, western China</li></ol>
سۈت|sütler|süt|سۈتلەر	<i>noun</i><br><ol><li>milk</li></ol>
سۈرئەت|سۈرئەتلەر	<i>noun</i><br><ol><li>speed, rapidity</li></ol>
سۈزۈك|süzük	<i>noun</i><br><ol><li>clear, limpid, transparent</li></ol>
سۈـ	
سۈلھ|sülh	<i>noun</i><br><ol><li>peace</li></ol>
سۈمۈرمەك|sümürmek	<i>verb</i><br><ol><li>to absorb, suck in</li></ol>
سۈپسۈزۈك|süpsüzük	<i>adj</i><br><ol><li>emphatic degree of سۈزۈك (süzük)</li><li>really clear; totally transparent</li></ol>
سۈپەت|سۈپەتلەر|süpet	<i>noun</i><br><ol><li>attribute</li><li>(grammar) adjective</li></ol>
سېتىۋالغۇچى|سېتىۋالغۇچىلار|sëtiwalghuchi	<i>noun</i><br><ol><li>buyer</li></ol>
سېرىق|sëriq	<i>adj</i><br><ol><li>yellow</li></ol>
سېلىشتۇرماق|sëlishturmaq	<i>verb</i><br><ol><li>to compare</li><li>to proof-read</li><li>(translation) to verify, to check, to revise</li></ol>
سېمىز|sëmiz	<i>adj</i><br><ol><li>fat; obese.</li></ol>
سەكسەن|seksen	<i>num</i><br><ol><li>eighty</li></ol>
سەكسەنپۇت|سەكسەنپۇتلار|seksenput	<i>noun</i><br><ol><li>centipede</li></ol>
سەككىز|sekkiz	<i>num</i><br><ol><li>eight</li></ol>
سەككىزىنچى|sekkizinchi	<i>num</i><br><ol><li>eighth</li></ol>
سەلبىي|selbiy	<i>adj</i><br><ol><li>negative</li></ol>
سەلجۇق|seljuq|سەلجۇقلار	<i>name</i><br><ol><li>Saljuq</li></ol>
سەلجۇقىي|seljuqiy|سەلجۇقىيلار	<i>noun</i><br><ol><li>Saljuqid</li></ol>
سەمىمىيەت|سەمىمىيەتلەر|semimiyet	<i>noun</i><br><ol><li>loyalty, sincerity</li></ol>
سەنئا|sen'a|سەنئىلار	<i>name</i><br><ol><li>San'a' (a city)</li></ol>
سەنئەت|سەنئەتلەر|sen'et	<i>noun</i><br><ol><li>art</li></ol>
سەنئەتكار|sen'etkar|سەنئەتكارلار	<i>noun</i><br><ol><li>artist</li></ol>
سەي|سەيلەر|sey	<i>noun</i><br><ol><li>vegetable</li><li>cooked dish</li></ol>
سەيشەنبە|seyshenbe|سەيشەنبىلەر	<i>noun</i><br><ol><li>Tuesday</li></ol>
سەھىيە|sehiye|سەھىيىلەر	<i>noun</i><br><ol><li>public health, hygiene</li></ol>
سەھىپە|sehipe|سەھىپىلەر	<i>noun</i><br><ol><li>page</li></ol>
سەۋر|سەۋرلەر|sewr	<i>noun</i><br><ol><li>patience</li></ol>
سەۋەب|seweb	<i>adj</i><br><ol><li>cause, reason</li><li>pretext</li></ol>
ش|she	<i>character</i><br><ol><li>The fourteenth letter of the Uyghur alphabet.</li></ol>
ش ئۇ ئا ر|sh u a r	<i>name</i><br><ol><li>Initialism of شىنجاڭ ئۇيغۇر ئاپتونوم رايونى (shinjang uyghur aptonom rayoni).</li></ol>
شائىر|شائىرلار|sha'ir	<i>noun</i><br><ol><li>poet</li></ol>
شائىرە|شائىرىلەر|sha'ire	<i>noun</i><br><ol><li>poetess</li></ol>
شام|sham	<i>noun</i><br><ol><li>candle</li></ol>
شامال|shamal|شاماللار	<i>noun</i><br><ol><li>wind</li><li>trend</li></ol>
شاپتۇل|شاپتۇللار|shaptul	<i>noun</i><br><ol><li>peach</li></ol><br><i>name</i><br><ol><li>Shaptul, Xiaputule (a town in Payzawat, Kashgar prefecture, Xinjiang, China)</li></ol>
شاگىرت|shagirt|شاگىرتلار	<i>noun</i><br><ol><li>apprentice, disciple</li></ol>
شاھ|shah	<i>noun</i><br><ol><li>shah</li></ol>
شاھزادە|shahzade|شاھزادىلەر	<i>noun</i><br><ol><li>prince, princess (offspring of king)</li></ol>
شوخل|shoxl|شوخللار	<i>noun</i><br><ol><li>tomato</li></ol>
شوخلا|shoxla|شوخلىلار	<i>noun</i><br><ol><li>tomato</li></ol>
شوپۇر|shopur	<i>noun</i><br><ol><li>driver; chauffeur</li></ol>
شىر|shir	<i>noun</i><br><ol><li>lion</li></ol>
شىركەت|shirket|شىركەتلەر	<i>noun</i><br><ol><li>company, firm</li></ol>
شىكايەت|shikayet|شىكايەتلەر	<i>noun</i><br><ol><li>complaint, grievance</li><li>accusation, indictment</li></ol>
شىمال|shimal	<i>noun</i><br><ol><li>north</li></ol>
شىمالىي|shimaliy	<i>adj</i><br><ol><li>northern</li></ol>
شىنجاڭ|shinjang	<i>name</i><br><ol><li>Xinjiang (an autonomous region of China)</li></ol>
شىنجاڭ ئۇيغۇر ئاپتونوم رايونى|shinjang uyghur aptonom rayoni	<i>name</i><br><ol><li>the Xinjiang Uygur Autonomous Region</li></ol>
شياڭگاڭ|shyanggang	<i>name</i><br><ol><li>Hong Kong (a city and special administrative region of China)</li></ol>
شۇ|shu	<i>pron</i><br><ol><li>(demonstrative) that</li></ol>
شۇنداق|shundaq	<i>pron</i><br><ol><li>Like this; like that</li></ol><br><i>intj</i><br><ol><li>Yes; that's right</li></ol>
شۇڭا|shu'nga	<i>adv</i><br><ol><li>therefore</li></ol>
شۋېتسىيە|shwëtsiye	<i>name</i><br><ol><li>Sweden (a country in Northern Europe)</li></ol>
شېرىن|shërin	<i>adj</i><br><ol><li>sweet</li><li>pleasant, enticing, affable</li></ol>
شېكەر|shëker|شېكەرلەر	<i>noun</i><br><ol><li>sugar</li></ol>
شەخسىي|shexsiy	<i>adj</i><br><ol><li>individual, personal, private</li></ol>
شەربەت|sherbet|شەربەتلەر	<i>noun</i><br><ol><li>juice, fruit juice</li></ol>
شەرق|sherq	<i>noun</i><br><ol><li>east</li></ol>
شەرقىي|sherqiy	<i>adj</i><br><ol><li>eastern, oriental</li></ol>
شەرقىي ئاسىيا|sherqiy asiya	<i>name</i><br><ol><li>East Asia</li></ol>
شەرقىي تۈركىستان|sherqiy türkistan	<i>name</i><br><ol><li>East Turkestan, another name for Xinjiang</li></ol>
شەك|شەكلەر|shek	<i>noun</i><br><ol><li>doubt, suspicion</li></ol>
شەكىل|shekil|شەكىللەر	<i>noun</i><br><ol><li>shape, form, appearance</li></ol>
شەكىلسىز|shekilsiz	<i>adj</i><br><ol><li>having no shape</li><li>invisible</li><li>intangible</li></ol>
شەنبە|shenbe|شەنبىلەر	<i>noun</i><br><ol><li>Saturday</li></ol>
شەپقەت|shepqet	<i>noun</i><br><ol><li>compassion, indulgence, kindness</li></ol>
شەھۋەت|shehwet|شەھۋەتلەر	<i>noun</i><br><ol><li>sexual desire, lust</li></ol>
شەھەر|шәһәр|شەھەرلەر|sheher	<i>noun</i><br><ol><li>city, town</li></ol>
غ|ghe	<i>character</i><br><ol><li>The fifteenth letter of the Uyghur alphabet.</li></ol>
غارايىپ|gharayip	<i>adj</i><br><ol><li>strange, bizarre</li></ol>
غاز|غازلار|ghazlar|ghaz	<i>noun</i><br><ol><li>goose</li></ol>
غوجا|غوجىلار|ghoja	<i>noun</i><br><ol><li>owner, master</li></ol>
غىجەك|ghijek|غىجەكلەر	<i>noun</i><br><ol><li>(music) a kind of Uyghur fiddle</li></ol>
غىزا|ghiza|غىزىلار	<i>noun</i><br><ol><li>food, meal</li></ol>
غۇلاچ|ghulach|غۇلاچلار	<i>noun</i><br><ol><li>shoulder; upper arm</li></ol><br><i>counter</i><br><ol><li>armspan</li></ol>
غېجەك|غېجەكلەر|ghëjek	<i>noun</i><br><ol><li>(music) ghejek, a bowed lute used as a traditional instrument by the Uyghur people of Xinjiang</li></ol>
غېرىچ|ghërich|غېرىچلار	<i>noun</i><br><ol><li>a span (of the hand)</li></ol><br><i>counter</i><br><ol><li>span</li></ol>
غەرب|gherb|غەربلەر	<i>noun</i><br><ol><li>west</li></ol>
غەربىي|gherbiy	<i>adj</i><br><ol><li>western</li></ol>
غەربىي ئاسىيا|gherbiy asiya	<i>name</i><br><ol><li>West Asia</li></ol>
غەربىي ساھارا|gherbiy sahara	<i>name</i><br><ol><li>Western Sahara</li></ol>
غەربىي سەھرا|غەربىي سەھرىلار|gherbiy sehra	<i>name</i><br><ol><li>Western Sahara</li></ol>
غەزەپ|غەزەپلەر|ghezep	<i>noun</i><br><ol><li>anger, rage, wrath</li></ol>
غەلەت|ghelet	<i>adj</i><br><ol><li>wrong, false, untruthful</li></ol>
غەيرىي|gheyriy	<i>adj</i><br><ol><li>other, different</li><li>unfamiliar, unknown</li></ol>
ـئاي	<i>suffix</i><br><ol><li>moon</li></ol>
ـتا	<i>suffix</i><br><ol><li>locative case suffix</li></ol>
ـتىكى	<i>suffix</i><br><ol><li>locative-qualitative case suffix</li></ol>
ـتىن	<i>suffix</i><br><ol><li>ablative case suffix</li></ol>
ـتە	<i>suffix</i><br><ol><li>locative case suffix</li></ol>
ـتەك	<i>suffix</i><br><ol><li>similitude case suffix</li></ol>
ـخانا	<i>suffix</i><br><ol><li>house, apartment, building</li><li>position in a number</li></ol>
ـدا	<i>suffix</i><br><ol><li>locative case suffix</li></ol>
ـداش	<i>suffix</i><br><ol><li>This is a very productive derivative suffx in Uyghur. When attached to nouns, it forms nouns which indicate people or things that possess an identity or commonality with all the objects expressed by that noun.</li></ol>
ـدىكى	<i>suffix</i><br><ol><li>locative-qualitative case suffix</li></ol>
ـدىن	<i>suffix</i><br><ol><li>ablative case suffix</li></ol>
ـدە	<i>suffix</i><br><ol><li>locative case suffix</li></ol>
ـدەك	<i>suffix</i><br><ol><li>similitude case suffix</li></ol>
ـراق	<i>suffix</i><br><ol><li>adjective decreasing degree suffix</li></ol>
ـرەك	<i>suffix</i><br><ol><li>adjective decreasing degree suffix</li></ol>
ـسى	<i>suffix</i><br><ol><li>Third person genitive marker - used after nouns ending in vowels (a, e, i, o, u, é, ö, ü)</li></ol>
ـسىز	<i>suffix</i><br><ol><li>you</li><li>not, without</li></ol>
ـش	<i>suffix</i><br><ol><li>Infinitive ending of verbs having an open syllable</li></ol>
ـشۇناس	<i>suffix</i><br><ol><li>-logist</li></ol>
ـشۇناسلىق	<i>suffix</i><br><ol><li>-logy</li></ol>
ـغا	<i>suffix</i><br><ol><li>dative case suffix</li></ol>
ـغىچە	<i>suffix</i><br><ol><li>limitative case suffix</li></ol>
ـغۇچى	
ـقا	<i>suffix</i><br><ol><li>dative case suffix</li></ol>
ـقى	<i>suffix</i><br><ol><li>The suffixes قى|كى may be added to just about all adverbs of time (e.g., "today", "this morning", "last year") to make adjectives relating to that time. In English, this is often accomplished with the addition of "'s" ("today's", "this morning's", "last year's").</li><li>The suffixes غى|گى|قى|كى are attached to a very limited number of nouns denoting time or place to form adjectives relating to those times or places. There is no clear analogue to this in English, where whether the word is a noun or adjective is usually clear from the context (e.g., "the summer of last year" vs. "summer days", or "the interior of the house" vs. "interior design").</li></ol>
ـقىچە	<i>suffix</i><br><ol><li>limitative case suffix</li></ol>
ـقۇچى	
ـقە	<i>suffix</i><br><ol><li>dative case suffix</li></ol>
ـكىچە	<i>suffix</i><br><ol><li>limitative case suffix</li></ol>
ـكۈچى	
ـكە	<i>suffix</i><br><ol><li>dative case suffix</li></ol>
ـلار|ـلىرـ	<i>suffix</i><br><ol><li>Used to form plurals of nouns, the last vowel of which is a back vowel.</li><li>When talking about the group of people in the name of the leader.</li></ol>
ـلىرى	
ـلىق	
ـلىك	
ـلۇق	
ـلۈك	
ـلەر|ـلەرـ|ـلىرـ	<i>suffix</i><br><ol><li>Used to form plurals of nouns, the last vowel of which is a front vowel.</li></ol>
ـم	<i>suffix</i><br><ol><li>1st person singular possessive suffix</li></ol>
ـماق	<i>suffix</i><br><ol><li>Infinitive ending of verbs having a back vowel</li></ol>
ـمىز	<i>suffix</i><br><ol><li>1st person plural possessive suffix</li><li>1st person plural personal suffix</li></ol>
ـمۇـ	
ـمەك	<i>suffix</i><br><ol><li>Infinitive ending of verbs having a front vowel</li></ol>
ـنى	<i>suffix</i><br><ol><li>accusative case suffix</li></ol>
ـنىڭ	<i>suffix</i><br><ol><li>genitive case suffix</li></ol>
ـنىڭكى	<i>suffix</i><br><ol><li>representative case suffix</li></ol>
ـى	
ـىش	<i>suffix</i><br><ol><li>Infinitive ending of verbs having a closed syllable unrounded vowel</li></ol>
ـىم|ـىمـ	<i>suffix</i><br><ol><li>1st person singular possessive suffix</li></ol>
ـىمىز	
ـىنچى	<i>suffix</i><br><ol><li>Suffix creating ordinal numbers.</li></ol>
ـىڭ	
ـىڭلار	
ـىڭىز	
ـىڭىزلار	<i>suffix</i><br><ol><li>second person plural possessive suffix</li></ol>
ـىڭىزلەر	<i>suffix</i><br><ol><li>second person plural possessive suffix</li></ol>
ـيـ	
ـپـ	<i>interfix</i><br><ol><li>adjective emphatic degree interfix</li></ol>
ـچى	<i>suffix</i><br><ol><li>Joined to one group of nouns, it forms nouns which indicate those engaged in the action or occupation related to the object expressed by the noun.</li><li>When attached to some nouns, it forms nouns which indicate those who belong to a belief, school of thought, tendency, organization or group that is related to what that noun, or the object represented by that noun, expresses.</li><li>adjective-forming suffixes</li><li>Besides being a noun-formation suffix, when attached to certain nouns this suffix also forms adjectives which indicate a characteristic that tends towards the object expressed by that noun.</li></ol>
ـچىلىك	<i>suffix</i><br><ol><li>equivalence case suffix</li><li>noun-forming suffixes</li></ol>
ـچە	<i>suffix</i><br><ol><li>equivalence case suffix</li><li>noun-forming suffix</li><li>This is one of the most productive suffixes in the Uyghur language. When attached to nouns which indicate the name of a nationality' it forms nouns which indicate the language and script of that nationality.</li></ol>
ـڭ	
ـڭلار	
ـڭىز	
ـڭىزلار	<i>suffix</i><br><ol><li>second person plural possessive suffix</li></ol>
ـڭىزلەر	<i>suffix</i><br><ol><li>second person plural possessive suffix</li></ol>
ـگىچە	<i>suffix</i><br><ol><li>limitative case suffix</li></ol>
ـگۈچى	
ـگە	<i>suffix</i><br><ol><li>dative case suffix</li></ol>
ـۇش	<i>suffix</i><br><ol><li>Infinitive ending of verbs having a closed syllable rounded vowel (و o, ۇ u)</li></ol>
ـۇم	<i>suffix</i><br><ol><li>1st person singular possessive suffix</li></ol>
ـۇڭ	
ـۇڭلار	
ـۈش	<i>suffix</i><br><ol><li>Infinitive ending of verbs having a closed syllable rounded vowel (ۆ ö, ۈ ü)</li></ol>
ـۈم|ـۈمـ	<i>suffix</i><br><ol><li>1st person singular possessive suffix</li></ol>
ـۈڭ	
ـۈڭلار	
ف|fe	<i>character</i><br><ol><li>The sixteenth letter of the Uyghur alphabet.</li></ol>
فرانسىيە|fransiye	<i>name</i><br><ol><li>France (a country in western Europe)</li></ol>
فىلىپپىن|filippin	<i>name</i><br><ol><li>Philippines (an archipelago and country in Asia in Pacific Ocean)</li></ol>
فىنلاندىيە|finlandiye	<i>name</i><br><ol><li>Finland (a country in northern Europe)</li></ol>
فېۋرال|fëwral	<i>name</i><br><ol><li>February</li></ol>
ق|qe	<i>character</i><br><ol><li>The seventeenth letter of the Uyghur alphabet.</li></ol>
قاباھەت|قاباھەتلەر|qabahet	<i>noun</i><br><ol><li>baseness, villainy, crime</li><li>extremely, badly</li></ol>
قاباھەتلىك|qabahetlik	<i>adj</i><br><ol><li>vile, base, repulsive</li></ol>
قاتار|qatar	<i>name</i><br><ol><li>Qatar (a country in the Middle East)</li></ol>
قاتتىق|qattiq	<i>adj</i><br><ol><li>hard</li></ol>
قاتناش|qatnash|قاتناشلار	<i>noun</i><br><ol><li>transportation, traffic</li></ol>
قار|qar|قارلار	<i>noun</i><br><ol><li>snow</li></ol>
قارا|qara	<i>adj</i><br><ol><li>black</li></ol>
قاراش|قاراشلار|qarash	<i>noun</i><br><ol><li>sight</li><li>point of view, view</li></ol>
قاراقالپاقىستان|qaraqalpaqistan	<i>name</i><br><ol><li>Karakalpakstan</li></ol>
قاراچاي|qarachay	<i>noun</i><br><ol><li>brick-tea</li></ol>
قاراڭغۇ|qarangghu	<i>adj</i><br><ol><li>dark</li></ol>
قارشى|qarshi	<i>adj</i><br><ol><li>opposing; anti-</li></ol><br><i>prep</i><br><ol><li>opposite; against</li></ol>
قازاغىستان|qazaghistan	<i>name</i><br><ol><li>Kazakhstan</li></ol>
قازاقىستان|qazaqistan	<i>name</i><br><ol><li>Kazakhstan (a country in Central Asia; capital: Nur-Sultan)</li></ol>
قاش|قاشلار|qash	<i>noun</i><br><ol><li>eyebrow</li></ol>
قالتىس|qaltis	<i>adv</i><br><ol><li>very, extremely</li><li>remarkably well</li></ol>
قالۇن|qalun|قالۇنلار	<i>noun</i><br><ol><li>(music) a kind of Uyghur zither</li></ol>
قامۇس|qamus	<i>noun</i><br><ol><li>encyclopaedia</li></ol>
قان|qanlar|qan|قانلار	<i>noun</i><br><ol><li>blood</li></ol>
قانات|qanat|قاناتلار	<i>noun</i><br><ol><li>wing</li></ol>
قانداق|qandaq	<i>pron</i><br><ol><li>how</li></ol>
قانچە|qanche	<i>det</i><br><ol><li>how many, how much</li></ol>
قايتا|qayta	<i>adv</i><br><ol><li>again</li></ol>
قايتماق|qaytmaq	<i>verb</i><br><ol><li>to go back, to return, to come back</li></ol>
قايتىپ|qaytip	<i>verb</i><br><ol><li>to return</li></ol>
قايران|قايرانلار|qayran	<i>noun</i><br><ol><li>salmon</li></ol>
قايسى|qaysi	<i>pron</i><br><ol><li>which</li></ol>
قاچان|qachan	<i>adv</i><br><ol><li>when, at what time</li></ol>
قاچىلىماق|qachilimaq	<i>verb</i><br><ol><li>to load into, to pack into</li></ol>
قوبۇل|قوبۇللار|qobul	<i>noun</i><br><ol><li>acceptance, assent, agreement</li></ol>
قورال|qurâl	<i>noun</i><br><ol><li>weapon</li></ol>
قورۇنماق|qorunmaq	<i>verb</i><br><ol><li>to be cautious, to be constrained, to show reserve</li></ol>
قوشۇق|qoshuq|قوشۇقلار	<i>noun</i><br><ol><li>spoon</li></ol>
