fim|fim-yé	<i>adj</i><br><ol><li>hungry.</li></ol><br><i>noun</i><br><ol><li>hunger.</li></ol><br><i>verb</i><br><ol><li>to be hungry.</li></ol>
finèt	<i>noun</i><br><ol><li>window</li></ol>
fiy	<i>noun</i><br><ol><li>girl.</li><li>daughter.</li></ol>
fié	<i>verb</i><br><ol><li>to trust</li></ol>
flève	<i>noun</i><br><ol><li>river</li></ol>
forcé	<i>verb</i><br><ol><li>to make an effort</li><li>to force</li></ol>
fou|fòl	<i>adj</i><br><ol><li>mad, crazy.</li></ol>
fouillé	<i>verb</i><br><ol><li>to dig</li></ol>
fout	<i>verb</i><br><ol><li>to mock</li><li>to give (a push)</li></ol>
foute	<i>verb</i><br><ol><li>to tease, mock</li></ol>
fransé|françé	<i>noun</i><br><ol><li>French.</li></ol>
fransé kasé	<i>noun</i><br><ol><li>A name for the Louisiana Creole French language.</li></ol>
frotté	<i>verb</i><br><ol><li>to rub</li></ol>
fyær	<i>adj</i><br><ol><li>proud.</li></ol>
gagnin	<i>verb</i><br><ol><li>to have</li></ol>
gain	<i>verb</i><br><ol><li>to have</li></ol>
galopé	<i>verb</i><br><ol><li>to run</li><li>to gallop</li></ol>
galpé	<i>verb</i><br><ol><li>to run</li></ol>
garantis	<i>verb</i><br><ol><li>to guarantee</li></ol>
gardé	<i>verb</i><br><ol><li>to regard</li></ol>
gaçon|gason	<i>noun</i><br><ol><li>boy.</li></ol>
gombo	<i>noun</i><br><ol><li>A name for the Louisiana Creole French language.</li></ol>
gouté	<i>verb</i><br><ol><li>to taste</li></ol>
grandi	<i>verb</i><br><ol><li>to grow</li></ol>
gratté	<i>verb</i><br><ol><li>to scratch</li></ol>
gri	<i>adj</i><br><ol><li>grey color.</li></ol><br><i>noun</i><br><ol><li>grey (color).</li></ol>
grimpé	<i>verb</i><br><ol><li>to climb up</li></ol>
gro	<i>adj</i><br><ol><li>fat.</li><li>thick.</li><li>important.</li></ol>
grongnin	<i>verb</i><br><ol><li>to growl</li></ol>
grosri	<i>noun</i><br><ol><li>grocery</li></ol>
guéri	<i>verb</i><br><ol><li>to heal</li></ol>
gèlfrènn	<i>noun</i><br><ol><li>girlfriend.</li></ol>
gé	<i>adj</i><br><ol><li>happy.</li></ol>
génin	<i>verb</i><br><ol><li>to bother</li></ol>
habitoué	<i>verb</i><br><ol><li>to have the habit (of)</li></ol>
halé	<i>verb</i><br><ol><li>to pull</li></ol>
hibou	<i>noun</i><br><ol><li>owl</li></ol>
hé	<i>intj</i><br><ol><li>hey, hi.</li></ol>
insilté	<i>verb</i><br><ol><li>to insult</li></ol>
invité	<i>verb</i><br><ol><li>to invite</li></ol>
jalou	<i>adj</i><br><ol><li>jealous.</li></ol>
jambalaya	<i>noun</i><br><ol><li>jambalaya (rice-based dish from Louisiana)</li></ol>
jappé	<i>verb</i><br><ol><li>to bark</li></ol>
jeté	<i>verb</i><br><ol><li>to throw</li></ol>
jigé	<i>verb</i><br><ol><li>to judge</li></ol>
joinde	<i>verb</i><br><ol><li>to join</li></ol>
jonglé	<i>verb</i><br><ol><li>to think</li></ol>
jonn|jònn	<i>adj</i><br><ol><li>yellow color.</li></ol><br><i>noun</i><br><ol><li>yellow (color).</li></ol>
joué	<i>verb</i><br><ol><li>to play</li></ol>
jènn	<i>adj</i><br><ol><li>young.</li></ol>
jédi|jèdi	<i>noun</i><br><ol><li>Thursday.</li></ol>
jété	<i>verb</i><br><ol><li>to throw</li></ol>
kabann|kabònn	<i>noun</i><br><ol><li>cabin.</li><li>house.</li></ol>
kaiman	<i>noun</i><br><ol><li>alligator</li></ol>
karant	<i>num</i><br><ol><li>forty.</li></ol>
kat	<i>num</i><br><ol><li>four.</li></ol>
katre-vin	<i>num</i><br><ol><li>eighty.</li></ol>
katre-vin-dis	<i>num</i><br><ol><li>ninety.</li></ol>
katòz	<i>num</i><br><ol><li>fourteen.</li></ol>
kinz	<i>num</i><br><ol><li>fifteen.</li></ol>
kolær|kolè	<i>adj</i><br><ol><li>angry.</li></ol>
komen lê zafær	<i>phrase</i><br><ol><li>(idiomatic) how are things?</li></ol>
komen to yê	<i>phrase</i><br><ol><li>(idiomatic) how are you?</li></ol>
