Abril	<i>name</i><br><ol><li>April</li></ol>
bulalakaw|bulalákaw	<i>noun</i><br><ol><li>(Visayan mythology) a deity described as a shining bird or human-bird hybrid</li><li>a meteorite, shooting star</li></ol>
bulan|búlan	<i>noun</i><br><ol><li>moon (largest natural satellite of planet Earth)</li><li>moon (any substantially sized natural satellite of a planet)</li><li>month (period into which a year is divided)</li></ol>
bulang|búlang	<i>noun</i><br><ol><li>cockfight</li></ol><br><i>verb</i><br><ol><li>to cockfight</li></ol>
bulangan|bulangán	<i>noun</i><br><ol><li>cockpit</li></ol>
bulawan|buláwan	<i>noun</i><br><ol><li>gold</li></ol>
bulawanon|bulawánon	<i>adj</i><br><ol><li>golden</li></ol>
buli|bulî|búli	<i>noun</i><br><ol><li>buttock</li></ol><br><i>verb</i><br><ol><li>polish</li></ol>
bulig|búlig	<i>noun</i><br><ol><li>aid, help</li></ol>
buligan|bulígan	<i>verb</i><br><ol><li>to aid, to help</li></ol>
buling|bulíng	<i>noun</i><br><ol><li>spot, stain</li></ol><br><i>verb</i><br><ol><li>stain, soil, dirty</li></ol>
bulinga|bulínga	<i>noun</i><br><ol><li>fish eggs, roe</li></ol>
bulto|búlto	<i>noun</i><br><ol><li>luggage, trunk or box</li><li>a carved statue</li></ol>
buluadan|buluadán	<i>noun</i><br><ol><li>where animals are bred</li></ol>
buluhatan|buluhatán	<i>noun</i><br><ol><li>workshop</li></ol>
buluhaton|buluhatón	<i>noun</i><br><ol><li>errand; task</li></ol>
bulukutan|bulukután	<i>noun</i><br><ol><li>enclosure, pen</li></ol>
bululngan|bulúlngan	<i>noun</i><br><ol><li>clinic, hospital, medical center</li></ol>
bululngon|bulúlngon	<i>noun</i><br><ol><li>sick person</li></ol>
bulunakan|bulunakán	<i>noun</i><br><ol><li>laundry, laundry room, wash</li></ol>
bulung|búlung|bulúng	<i>noun</i><br><ol><li>drug, medicine</li></ol><br><i>verb</i><br><ol><li>spin, rotate</li></ol>
bulungan|bulungán	<i>noun</i><br><ol><li>spindle, spinning wheel</li></ol>
bulus|bulús|búlus	<i>noun</i><br><ol><li>the beginning of a flood in a flooded river</li><li>bale</li></ol><br><i>verb</i><br><ol><li>substitute</li></ol>
bulutangan|bulutángan	<i>noun</i><br><ol><li>holder, rack</li></ol>
buluthoan|buluthóan	<i>noun</i><br><ol><li>school, place of reunion, meetinghouse</li></ol>
bumulutho|bumulútho	<i>noun</i><br><ol><li>schoolboy, schoolgirl, student</li></ol>
bun-ag|bún-ag	<i>noun</i><br><ol><li>birth</li><li>(medicine) delivery</li></ol>
bunang|bunáng	<i>noun</i><br><ol><li>thread, yarn</li></ol>
bunayag makig-atubang|bunáyag makig-atúbang	<i>adj</i><br><ol><li>genial</li></ol>
bunayag sing kabubut-on|bunáyag sing kabubút-on	<i>adj</i><br><ol><li>cordial</li></ol>
bundul|búndul	<i>adj</i><br><ol><li>slow, dull, deliberate in action</li></ol>
bungalon|bungálon	<i>noun</i><br><ol><li>(plants) vetiver grass, zacate grass</li></ol>
bungansiso|bungansísò	<i>noun</i><br><ol><li>whale</li></ol>
bunggo|búnggò	<i>verb</i><br><ol><li>bump, collide</li><li>shove or throw with force</li></ol>
bunghay|búnghay	<i>noun</i><br><ol><li>a party or group of people</li><li>troop, division</li><li>sect</li></ol>
bungil|bungíl	<i>noun</i><br><ol><li>harelip</li></ol>
bungot|búngot	<i>noun</i><br><ol><li>beard</li></ol>
bungul|bungúl	<i>adj</i><br><ol><li>deaf</li></ol><br><i>noun</i><br><ol><li>a piece of bamboo</li></ol>
bunit|bunít	<i>noun</i><br><ol><li>(fishing): angle, hook</li></ol><br><i>verb</i><br><ol><li>(fishing): to angle or hook</li></ol>
buntug|búntug	<i>noun</i><br><ol><li>stye</li></ol><br><i>verb</i><br><ol><li>(of snakes): to bite, strike</li></ol>
bunyag|búnyag	<i>verb</i><br><ol><li>baptise</li></ol>
buot	<i>conj</i><br><ol><li>before</li></ol><br><i>prep</i><br><ol><li>before</li></ol>
burangos|burángos	<i>noun</i><br><ol><li>beard</li></ol>
burnil|burníl	<i>verb</i><br><ol><li>to polish; to shine</li></ol>
burus|búrus	<i>noun</i><br><ol><li>blister</li></ol>
bus-og|bús-og	<i>adj</i><br><ol><li>pure, unadulterated,</li><li>unalloyed</li></ol>
busa|búsà	<i>adv</i><br><ol><li>hence, so, therefore</li></ol>
busal|busál	<i>noun</i><br><ol><li>bridle, muzzle</li></ol>
busay|busáy	<i>noun</i><br><ol><li>cliff, mountainside</li></ol>
busgon|búsgon	<i>adj</i><br><ol><li>satiated</li></ol>
busilak|busílak	<i>noun</i><br><ol><li>limestone, marble</li></ol>
buslot|búslot	<i>noun</i><br><ol><li>aperture, hole</li><li>rent, gash</li></ol>
busug|busúg|búsug	<i>adj</i><br><ol><li>satiated, satisfied</li><li>excruciating or painful</li></ol>
busung|búsung	<i>adj</i><br><ol><li>pregnant</li></ol>
buta|bútà|butâ|butá	<i>adj</i><br><ol><li>blind</li><li>charged; full; replenished</li></ol><br><i>noun</i><br><ol><li>blind</li></ol><br><i>verb</i><br><ol><li>to charge or replenish</li></ol>
butad|butád	<i>adj</i><br><ol><li>dark brown, dun</li></ol>
butakal|butakál	<i>noun</i><br><ol><li>boar</li></ol>
butang	<i>noun</i><br><ol><li>item, matter,stuff, thing</li><li>place</li></ol><br><i>verb</i><br><ol><li>to place an object, usually on a surface</li></ol>
butang-butang|butáng-bútang	<i>noun</i><br><ol><li>calumny, libel, or slander</li></ol>
buti|butí|butî	<i>adj</i><br><ol><li>cracked or split</li></ol><br><i>noun</i><br><ol><li>cataract</li></ol><br><i>verb</i><br><ol><li>frolic or play</li></ol>
butig|butíg	<i>noun</i><br><ol><li>lie, untruth</li></ol>
butigon|butigón	<i>adj</i><br><ol><li>misleading, sly</li></ol><br><i>noun</i><br><ol><li>liar, fibber</li></ol>
butiti|butíti	<i>noun</i><br><ol><li>pufferfish</li></ol>
butkon	<i>noun</i><br><ol><li>(anatomy) arm</li></ol>
buto	<i>noun</i><br><ol><li>(anatomy) penis</li></ol>
butok|butók-bútok|butók	<i>verb</i><br><ol><li>to make or force an animal to lie down on its side</li></ol>
butok-butok|butók-bútok	<i>adj</i><br><ol><li>diligent</li></ol>
butwas|bútwas	<i>verb</i><br><ol><li>raise something to the surface</li></ol>
buung|búung|buúng	<i>adj</i><br><ol><li>broken, smashed</li></ol><br><i>verb</i><br><ol><li>to break into fragments, ruin, smash</li></ol>
buy-an|búy-an	<i>verb</i><br><ol><li>escape, to let to get away</li></ol>
buyagyag|buyágyag	<i>verb</i><br><ol><li>betray, expose, make public, tell</li></ol>
buyayaw|pumuyáyaw|pamuyayaw	<i>verb</i><br><ol><li>to curse; to swear</li></ol>
buylog|búylog	<i>verb</i><br><ol><li>accompany</li><li>sympathize</li></ol>
buyog	<i>noun</i><br><ol><li>bee (insect)</li></ol>
buyot|búyot	<i>verb</i><br><ol><li>cling, clutch,</li><li>to grasp, grip, or hold fast</li></ol>
buyug|buyúg	<i>noun</i><br><ol><li>wasp</li></ol>
daan|dâan	<i>adj</i><br><ol><li>old</li><li>used; worn-out</li></ol><br><i>adv</i><br><ol><li>beforehand</li><li>first of all</li><li>right away</li></ol>
daay|dáay	<i>noun</i><br><ol><li>a lump of earth</li></ol>
dab-ot|dáb-ot	<i>verb</i><br><ol><li>to reach out</li><li>stretch</li></ol>
dabadaba|dabá-dabá|dabá-dába	<i>noun</i><br><ol><li>kindling</li></ol>
dabdab|dábdab	<i>verb</i><br><ol><li>kindle, light</li></ol>
dabudabu|dabó-dabó|dabó-dábo	<i>noun</i><br><ol><li>shower</li></ol>
dado|dadô	<i>noun</i><br><ol><li>a young fish</li></ol>
dag-on|dág-on	<i>noun</i><br><ol><li>season, year</li></ol><br><i>verb</i><br><ol><li>(passive) overcome, conquer</li></ol>
daga|dága|dágà|dagâ	<i>noun</i><br><ol><li>dagger, stiletto</li><li>clay, soil</li><li>sacrifice, specifically human sacrifice</li><li>victim of sacrifice, sacrifice</li></ol>
dagaang|dagáang	<i>adj</i><br><ol><li>red, scarlet</li></ol>
dagami|dagámi	<i>noun</i><br><ol><li>hay; straw</li></ol>
dagangbulan|dagangbúlan	<i>noun</i><br><ol><li>March</li></ol>
dagangdang|dagángdang	<i>adj</i><br><ol><li>red, scarlet</li></ol>
dagas|dágas|dagás	<i>verb</i><br><ol><li>to gather fruit</li></ol><br><i>noun</i><br><ol><li>windfall</li></ol>
dagat|dágat	<i>noun</i><br><ol><li>ocean, sea, saltwater</li></ol><br><i>verb</i><br><ol><li>to be seasick</li></ol>
dagaya|dagáyà	<i>noun</i><br><ol><li>abundance</li></ol>
daginit|dagínit	<i>adj</i><br><ol><li>(of wind) gentle, soft, mild, tender, warm</li></ol>
dagotdot|dagótdot|dagútdut|dagutdut	<i>noun</i><br><ol><li>debris or refuse on a beach</li><li>rain</li><li>a kind of grass</li></ol>
dagsang|dágsang	<i>verb</i><br><ol><li>fester</li></ol>
dagta|dágtà	<i>noun</i><br><ol><li>sap</li></ol>
dagum|dágum	<i>noun</i><br><ol><li>needle</li></ol>
dagumak|dagumák	<i>verb</i><br><ol><li>to wear out from frequent use</li></ol>
daguob|dagúob	<i>noun</i><br><ol><li>thunder</li></ol>
dagway|dágway	<i>noun</i><br><ol><li>appearance, conformation, countenance, guise</li><li>contour, feature, shape, surface</li><li>cut, figure, image, likeness</li><li>species, type</li></ol>
dagway nga makahuhuya|dágway nga makahuhúyà	<i>adj</i><br><ol><li>shabby</li></ol>
dagyang|dágyang	<i>verb</i><br><ol><li>enjoy oneself, frolic</li></ol>
dahog|dahóg|dáhog	<i>noun</i><br><ol><li>shoot, tendril</li></ol><br><i>verb</i><br><ol><li>to slide or skid; skidding</li></ol>
dahon|dáhon	<i>noun</i><br><ol><li>frond, leaf (part of a plant)</li></ol>
dahon-dahon|dahón-dahón	<i>noun</i><br><ol><li>mantis, praying mantis</li></ol>
dakbanwa	<i>noun</i><br><ol><li>city</li></ol>
dakhari	<i>noun</i><br><ol><li>emperor</li></ol>
dakpulu	<i>noun</i><br><ol><li>continent</li></ol>
daku|daku-daku|dakû|dakû-dakû	<i>adj</i><br><ol><li>big, large</li></ol><br><i>noun</i><br><ol><li>bulk</li><li>flame, light</li><li>a copper coin that is now out of circulation</li></ol>
daku kaayo|dakû kaáyo	<i>adj</i><br><ol><li>very big</li><li>exceptionally large</li><li>ponderous</li></ol>
dakup|dakúp	<i>verb</i><br><ol><li>to catch, to apprehend, to arrest, to capture</li></ol>
dal-ok|dál-ok	<i>noun</i><br><ol><li>blister, pustule</li></ol>
dala|dalá	<i>verb</i><br><ol><li>bring, carry</li></ol>
dalag|dalág	<i>adj</i><br><ol><li>coward, yellow-bellied</li></ol>
dalaga|dalága	<i>noun</i><br><ol><li>dame</li></ol>
dalagita|dalagíta	<i>noun</i><br><ol><li>maid, a girl</li></ol>
dalagku|dalágkù	<i>adj</i><br><ol><li>big, large</li></ol>
dalakpon|dalákpon	<i>noun</i><br><ol><li>malefactor, outlaw</li></ol>
dalamgohanon|dalamgohánon	<i>noun</i><br><ol><li>dream, reverie</li></ol>
dalamhak	<i>adj</i><br><ol><li>wayward</li></ol>
dalan|dálan	<i>noun</i><br><ol><li>path, road, street, way</li></ol>
dalanawan	<i>noun</i><br><ol><li>swamp</li></ol>
dalang-dalang|daláng-dálang	<i>adj</i><br><ol><li>astray</li></ol><br><i>verb</i><br><ol><li>to lose one's way</li></ol>
dalasaon	<i>noun</i><br><ol><li>assail, crash</li></ol>
dalaw|dálaw	<i>verb</i><br><ol><li>visit</li></ol>
dalayap|daláyap	<i>noun</i><br><ol><li>key lime</li></ol>
dalayawon|dalayawón|dalayáwon	<i>adj</i><br><ol><li>great, praiseworthy, laudable</li><li>pompous</li></ol>
daldal|dáldal	<i>verb</i><br><ol><li>implicate, involve</li><li>(of wind, waves) push, impel</li></ol>
dalhon|dálhon	<i>verb</i><br><ol><li>bring</li></ol>
dali|dalî	<i>adj</i><br><ol><li>quick, rapid, speedy</li></ol><br><i>verb</i><br><ol><li>to make haste, hurry, quicken</li></ol>
dalimuos|dalimúos	<i>noun</i><br><ol><li>(of wind)gust</li><li>a fit of anger or passion</li></ol>
dalin-as|dalín-as	<i>verb</i><br><ol><li>slip</li></ol>
dalisay|dalísay	<i>adj</i><br><ol><li>strong</li></ol>
dalitan|dalítan	<i>adj</i><br><ol><li>poisonous, venomous</li></ol>
dalo|dálò	<i>verb</i><br><ol><li>caress, fondle</li></ol>
dalok|dalók	<i>adj</i><br><ol><li>greedy, gluttonous</li></ol><br><i>noun</i><br><ol><li>glutton</li></ol><br><i>verb</i><br><ol><li>to be greedy</li></ol>
dalum|dálum	<i>adj</i><br><ol><li>(of depth) deep</li><li>(of thoughts) deep, profound, insightful</li></ol><br><i>verb</i><br><ol><li>deepen</li></ol>
dalunggan	<i>noun</i><br><ol><li>(anatomy) ear</li></ol>
damak|damák	<i>adj</i><br><ol><li>dirty, slovenly, untidy</li><li>(derogatory) sluttish</li></ol>
daman|damán	<i>verb</i><br><ol><li>sleeptalk</li></ol>
damang|damáng	<i>noun</i><br><ol><li>a spider</li></ol>
damgo|dámgo	<i>noun</i><br><ol><li>dream</li></ol><br><i>verb</i><br><ol><li>to dream</li></ol>
damo|dámò	<i>verb</i><br><ol><li>increase, multiply</li></ol>
damol|dámol	<i>adj</i><br><ol><li>thick</li></ol>
damot|damót	<i>noun</i><br><ol><li>vegetable</li></ol>
dampig|dámpig	<i>verb</i><br><ol><li>aid, help, support</li></ol>
danaw	<i>noun</i><br><ol><li>pool, puddle</li></ol>
dangat|dángat	<i>verb</i><br><ol><li>acquire, gain</li><li>obtain, procure, secure</li><li>win</li></ol>
dangaw|dangáw|dángaw	<i>noun</i><br><ol><li>span of a hand between tip of the thumb and the tip of the middle finger</li></ol><br><i>verb</i><br><ol><li>swim</li></ol>
danggot|dánggot	<i>verb</i><br><ol><li>wean</li></ol>
dangog|dángog	<i>noun</i><br><ol><li>scurf</li></ol>
danlug|dánlug	<i>noun</i><br><ol><li>slipperiness or greasiness</li></ol>
dapa-dapa|dapá-dapá	<i>noun</i><br><ol><li>sole</li></ol>
dapat|dápat	<i>adj</i><br><ol><li>eligible</li><li>appropriate, fit, proper</li></ol>
dapaw|dápaw	<i>noun</i><br><ol><li>flea, tick</li></ol>
dapay|dapáy	<i>noun</i><br><ol><li>hawk, bird of prey</li></ol>
dapig|dapíg|dápig	<i>noun</i><br><ol><li>companion, partner</li><li>pair</li></ol><br><i>verb</i><br><ol><li>aid, assist, help</li></ol>
dapit|dápit|dapít	<i>adj</i><br><ol><li>close, near, nearby</li></ol><br><i>verb</i><br><ol><li>invite</li></ol>
daplos|dáplos	<i>verb</i><br><ol><li>slip</li></ol>
daroos|daróos	<i>noun</i><br><ol><li>a severe cough</li></ol><br><i>verb</i><br><ol><li>cough</li></ol>
dasig|dásig	<i>adj</i><br><ol><li>quick</li></ol><br><i>verb</i><br><ol><li>hasten</li></ol>
daskon|dáskon	<i>verb</i><br><ol><li>cram</li></ol>
datilis|dátilis	<i>noun</i><br><ol><li>date palm</li></ol>
daug|daúg	<i>verb</i><br><ol><li>defeat, succeed, triumph, win</li></ol>
daut|dàut	<i>verb</i><br><ol><li>to injure; to harm</li><li>to damage</li><li>to impair</li><li>to spoil</li><li>to do harm; to cause detriment</li></ol>
dawat|dáwat|dawát	<i>verb</i><br><ol><li>to accept, to receive</li><li>to regain one's appetite</li></ol>
dawdaw|dáwdaw	<i>verb</i><br><ol><li>turn, spin</li></ol>
dawdawan|dawdáwan	<i>noun</i><br><ol><li>machine, mill</li></ol>
dawhat|dáwhat	<i>verb</i><br><ol><li>receive</li></ol>
daya|dáya|dáyà	<i>noun</i><br><ol><li>cheat; trick</li></ol><br><i>verb</i><br><ol><li>to cheat; to defraud; to swindle; to trick</li></ol><br><i>pron</i><br><ol><li>that</li></ol>
dayan|dayán	<i>verb</i><br><ol><li>stroll, walk</li></ol>
dayok|dapók	<i>noun</i><br><ol><li>a preparation of salted fish</li></ol>
debosyon|debosyón	<i>noun</i><br><ol><li>devotion or piety</li></ol>
dedal|dedál	<i>noun</i><br><ol><li>thimble</li></ol>
delana|delána	<i>adj</i><br><ol><li>woolen</li></ol>
delargo|delárgo	<i>noun</i><br><ol><li>pants, trousers</li></ol>
depekto|depékto	<i>noun</i><br><ol><li>defect, flaw</li></ol>
deskarga|deskárga	<i>verb</i><br><ol><li>discharge or fire a weapon</li><li>(sailing) unload</li></ol>
dibuho|dibúho	<i>noun</i><br><ol><li>design, draft</li></ol>
digamohan|digamohán	<i>noun</i><br><ol><li>fireplace, hearth, kitchen</li></ol>
diin|diín	<i>adv</i><br><ol><li>where</li><li>there</li></ol>
dikta|díkta	<i>verb</i><br><ol><li>dictate</li></ol>
dimaisip|dìmaísip	<i>adj</i><br><ol><li>countless, innumerable</li></ol>
dimalas|dimalás	<i>adj</i><br><ol><li>unlucky; unfortunate</li></ol>
dimasaysay|dîmasáysay	<i>adj</i><br><ol><li>inexplicable, mysterious</li></ol>
dimatarung|dîmatárung	<i>adj</i><br><ol><li>dishonest</li><li>unfair, unjust, wicked, wrong</li><li>injurious</li></ol>
dimatungkad|dîmatúngkad	<i>adj</i><br><ol><li>bottomless, inscrutable, unfathomable</li></ol>
dinalan|dinalán	<i>noun</i><br><ol><li>sentence, word. verse</li></ol>
dinamita|dinamíta	<i>noun</i><br><ol><li>dynamite</li></ol>
dingot|dingót	<i>adj</i><br><ol><li>disgruntled, miserly, stingy</li></ol><br><i>verb</i><br><ol><li>the act of being stingy</li></ol>
dinuagan|dinuagán	<i>noun</i><br><ol><li>painting, picture</li></ol>
dioktok|dióktok	<i>noun</i><br><ol><li>seashells</li></ol>
diosnon|diósnon	<i>adj</i><br><ol><li>divine, godly, godlike, pious</li></ol>
dipaha|dipáha	<i>adj</i><br><ol><li>made of straw</li></ol><br><i>noun</i><br><ol><li>straw</li></ol>
diperensya|diperénsya	<i>noun</i><br><ol><li>difference</li><li>controversy or quarrel</li></ol>
dira|dirâ	<i>adv</i><br><ol><li>there, yonder</li></ol>
diruskas|dirúskas	<i>noun</i><br><ol><li>screw</li></ol>
dis-og|dís-og	<i>verb</i><br><ol><li>jostle, push</li></ol>
disgrasya|disgrásya	<i>noun</i><br><ol><li>accident, mishap</li></ol>
diskurso|diskúrso	<i>noun</i><br><ol><li>speech</li></ol>
diskusyon|diskusyón	<i>noun</i><br><ol><li>debate, discussion</li></ol>
distansya|distánsya	<i>noun</i><br><ol><li>distance, remoteness</li><li>an interval of time or space</li></ol>
distrito|distríto	<i>noun</i><br><ol><li>territory, province, district</li></ol>
ditil|dítil	<i>noun</i><br><ol><li>clitoris</li></ol>
diwal|diwál	<i>noun</i><br><ol><li>a type of seashell</li></ol>
diwata	<i>noun</i><br><ol><li>(mythology, folklore) a diwata</li></ol>
doble|dóble	<i>noun</i><br><ol><li>double</li></ol>
dogsing|dógsing	<i>verb</i><br><ol><li>to nudge or stroke, often flirtatiously.</li></ol>
dogwak|dógwak	<i>noun</i><br><ol><li>(animals): crane, heron</li></ol>
dohol|dóhol	<i>verb</i><br><ol><li>hand</li><li>to pass, reach</li></ol>
dokumento|dokuménto	<i>noun</i><br><ol><li>document, deed, record</li></ol>
dool|dóol	<i>noun</i><br><ol><li>cork, stopper, plug</li><li>(of a tree) offshoot, shoot</li></ol><br><i>verb</i><br><ol><li>to cork, stopper</li><li>to establish firm contact with</li></ol>
dorado|dorádo	<i>adj</i><br><ol><li>gold, golden</li></ol><br><i>noun</i><br><ol><li>gilt</li><li>gold</li></ol>
dosena|doséna	<i>noun</i><br><ol><li>dozen</li></ol>
dosis|dósis	<i>noun</i><br><ol><li>dose, medicine</li></ol>
dotol|dótol|dotól-dotól	<i>noun</i><br><ol><li>(animals): tick</li></ol>
duag|duág	<i>noun</i><br><ol><li>color</li><li>appearance, form, shape</li></ol><br><i>verb</i><br><ol><li>to color</li></ol>
duaw|dúaw	<i>verb</i><br><ol><li>visit</li></ol>
dugang|dúgang	<i>noun</i><br><ol><li>addition, increment</li></ol><br><i>verb</i><br><ol><li>to add or increase in number</li></ol>
dughan|dúghan	<i>noun</i><br><ol><li>(anatomy) chest; bosom; breast; thorax</li></ol>
dugmok|dúgmok	<i>verb</i><br><ol><li>to break by applying pressure or weight, to crush</li></ol>
dugo|dugô	<i>noun</i><br><ol><li>blood</li></ol>
dugoon|dugoón	<i>adj</i><br><ol><li>bloody, gory</li></ol>
dugos	<i>noun</i><br><ol><li>honey</li></ol>
dugus|dugús|dúgus	<i>adj</i><br><ol><li>the best part of a thing</li></ol><br><i>noun</i><br><ol><li>honey</li></ol><br><i>verb</i><br><ol><li>to gather fruit</li></ol>
dugwak|dúgwak	<i>noun</i><br><ol><li>crane, swan</li></ol>
duha|duhá	<i>num</i><br><ol><li>two</li></ol><br><i>verb</i><br><ol><li>to duplicate</li></ol>
duha-duha|duhá-dúha	<i>noun</i><br><ol><li>doubt, indecision</li></ol><br><i>verb</i><br><ol><li>to doubt or waver, to be undecided</li></ol>
duko|dukô	<i>noun</i><br><ol><li>respect</li></ol><br><i>verb</i><br><ol><li>bow</li></ol>
dul-ay|dúl-ay	<i>noun</i><br><ol><li>a lump of earth or dirt</li></ol>
dula	<i>verb</i><br><ol><li>disappear, vanish</li><li>expectorate, spit</li></ol>
dulang	<i>noun</i><br><ol><li>dig, excavate, mine</li></ol>
dulangan	<i>noun</i><br><ol><li>mine</li></ol>
dulat	<i>noun</i><br><ol><li>awl, brad</li></ol>
dulis	<i>noun</i><br><ol><li>meteorite</li></ol>
dulog	<i>noun</i><br><ol><li>pause, standstill, stop</li></ol>
dulogan	<i>noun</i><br><ol><li>stationary</li></ol>
dulonan	<i>noun</i><br><ol><li>border, boundary, demarcation</li></ol>
dulongan	<i>noun</i><br><ol><li>parking</li></ol>
dulot	<i>noun</i><br><ol><li>dedication; gift; present</li></ol>
dulud	<i>noun</i><br><ol><li>dribble, ooze</li></ol>
dulugokan	<i>noun</i><br><ol><li>attraction</li></ol>
dulukdokan	<i>noun</i><br><ol><li>grinder</li></ol>
dulum	<i>adj</i><br><ol><li>darkness, gloom</li></ol>
dulumugan	<i>verb</i><br><ol><li>swarm</li></ol>
dulunggan	<i>noun</i><br><ol><li>ear</li></ol>
dulus	<i>noun</i><br><ol><li>wire</li></ol>
dumaan|dumáan	<i>adj</i><br><ol><li>old</li><li>antique, old-time</li></ol><br><i>noun</i><br><ol><li>settled farmhand on the Negros mainland</li></ol>
dumaay	<i>verb</i><br><ol><li>fade</li></ol>
dumagaya	<i>verb</i><br><ol><li>flourish</li></ol>
dumagsa	<i>verb</i><br><ol><li>flourish</li></ol>
dumalagan	<i>noun</i><br><ol><li>runaway</li></ol>
dumalagsa	<i>noun</i><br><ol><li>emigrant</li></ol>
dumalahan	<i>noun</i><br><ol><li>engineer, executive</li></ol>
dumar	<i>verb</i><br><ol><li>tame, train</li></ol>
dumayon	<i>verb</i><br><ol><li>enter</li></ol>
dumdum	<i>verb</i><br><ol><li>to recollect, remember, think</li></ol>
dumili	<i>verb</i><br><ol><li>prohibit</li></ol>
dumot	<i>noun</i><br><ol><li>hatred, indignation, rage</li></ol>
dumugo	<i>verb</i><br><ol><li>bleed</li></ol>
dumugok	<i>verb</i><br><ol><li>attend</li></ol>
dumukot	<i>verb</i><br><ol><li>to stick</li></ol>
dumulog	<i>verb</i><br><ol><li>pause</li></ol>
dumuluaw	<i>noun</i><br><ol><li>guest, visitor</li></ol>
dumulugok	<i>noun</i><br><ol><li>audience</li></ol>
dumuluong	<i>noun</i><br><ol><li>alien, foreigner, stranger</li></ol>
dumungka	<i>verb</i><br><ol><li>harbor, land</li></ol>
dunang manggad	<i>noun</i><br><ol><li>natural resources</li></ol>
dungan	<i>noun</i><br><ol><li>convention</li></ol>
dungandungan	<i>noun</i><br><ol><li>temple</li></ol>
dungdung	<i>noun</i><br><ol><li>(idiomatic) to rain cats and dogs</li></ol>
dungganon	<i>noun</i><br><ol><li>bigwig, celebrity, noble, royal</li></ol>
dungkaan	<i>noun</i><br><ol><li>harbor, haven, port, wharf</li></ol>
dungkul	<i>noun</i><br><ol><li>firewood, log</li></ol>
dungog	<i>noun</i><br><ol><li>honor</li><li>celebrity</li></ol>
dunkul	<i>noun</i><br><ol><li>firewood</li></ol>
dunot	<i>adj</i><br><ol><li>decayed, rotten, spoiled</li></ol>
dunoton	<i>verb</i><br><ol><li>crush</li></ol>
duog	<i>noun</i><br><ol><li>place, site, village</li></ol>
dupak|dúpak	<i>adj</i><br><ol><li>dirty, foul, obscene, smutty</li><li>indecent, impure</li></ol><br><i>noun</i><br><ol><li>bad language, obscene words</li></ol><br><i>verb</i><br><ol><li>to use obscene language</li></ol>
dupla	<i>noun</i><br><ol><li>saliva, spit, spittle</li></ol>
duplikado	<i>noun</i><br><ol><li>duplicate</li></ol>
dupoy	<i>noun</i><br><ol><li>breeze</li></ol>
duta	<i>noun</i><br><ol><li>earth, ground, soil</li><li>land, lot, property</li></ol>
dutan-on	<i>adj</i><br><ol><li>earthly, worldly</li></ol>
dutang panublion	<i>noun</i><br><ol><li>patrimony</li></ol>
duyan	<i>noun</i><br><ol><li>cradle; hammock; swing</li></ol>
duyanon	<i>verb</i><br><ol><li>swing</li></ol>
duyog	<i>noun</i><br><ol><li>inclination</li></ol>
duyong	<i>noun</i><br><ol><li>dugong, sea cow</li></ol>
dyanitor	<i>noun</i><br><ol><li>janitor</li></ol>
ebanhelyo|ebanhélyo	<i>noun</i><br><ol><li>gospel</li></ol>
edad|edád	<i>noun</i><br><ol><li>age</li></ol>
edukasyon|edukasyón	<i>noun</i><br><ol><li>education</li><li>instruction</li><li>training</li><li>upbringing</li></ol>
ehemplo|ehémplo	<i>noun</i><br><ol><li>example</li></ol>
ehersisyo|ehersísyo	<i>noun</i><br><ol><li>exercise</li></ol>
eklipse|eklípse	<i>noun</i><br><ol><li>eclipse</li></ol>
eksamen|eksámen	<i>noun</i><br><ol><li>test, examination</li></ol><br><i>verb</i><br><ol><li>to inquire or search</li></ol>
eleksyon|eleksyón	<i>noun</i><br><ol><li>election</li></ol>
elektrisidad|elektrisidád	<i>noun</i><br><ol><li>electricity</li></ol>
elepante|elepánte	<i>noun</i><br><ol><li>elephant</li></ol>
embahada|embaháda	<i>noun</i><br><ol><li>embassy</li></ol>
embahador|embahadór	<i>noun</i><br><ol><li>ambassador</li></ol>
embudo|embúdo	<i>noun</i><br><ol><li>funnel</li></ol>
empeine|empéine	<i>noun</i><br><ol><li>herpes</li></ol>
emperador|emperadór	<i>noun</i><br><ol><li>emperor</li></ol>
enkantado|enkantádo	<i>adj</i><br><ol><li>magical</li></ol>
enpermera|emperméra	<i>noun</i><br><ol><li>attendant</li></ol>
entablado|entabládo	<i>noun</i><br><ol><li>platform, stage</li></ol>
esensya|esénsya	<i>noun</i><br><ol><li>essence; extract, tincture</li><li>excerpt</li></ol>
eskandalo|eskándalo	<i>noun</i><br><ol><li>scandal</li></ol>
eskoba|eskóba	<i>noun</i><br><ol><li>brush</li></ol>
eskultor|eskultór	<i>noun</i><br><ol><li>sculptor</li></ol>
eskwala|eskwála	<i>noun</i><br><ol><li>(carpentry) square</li></ol>
espeho|espého	<i>noun</i><br><ol><li>mirror</li></ol>
espiritu|espiritú	<i>noun</i><br><ol><li>spirit, soul</li><li>ghost</li></ol>
estudyante|estudyánte	<i>noun</i><br><ol><li>pupil, student</li></ol>
frankiyo|frankíyo	<i>noun</i><br><ol><li>postage</li></ol>
fresa|frésa	<i>noun</i><br><ol><li>strawberry</li></ol>
