ᄇᆞᆶ|ᄇᆞᆯᄒᆡ〮|ᄇᆞᆯ|pòlh|pòl|ᄇᆞᆯ해〮	<i>noun</i><br><ol><li>arm</li></ol>
ᄇᆡᄎᆡ|pǒychóy|ᄇᆡ〯ᄎᆡ〮	<i>noun</i><br><ol><li>napa cabbage</li></ol>
ᄇᆡᆨ|ᄇᆡᆨ〮|póyk	<i>num</i><br><ol><li>hundred</li></ol>
ᄇᆡ얌|poyyam	<i>noun</i><br><ol><li>snake</li></ol>
ᄇᆡ호다|poyhwota	<i>verb</i><br><ol><li>to learn</li></ol>
ᄉᆞ|sò|四	<i>num</i><br><ol><li>(Sino-Korean numeral) four</li></ol>
ᄉᆞᄌᆞ|soco	<i>noun</i><br><ol><li>lion</li></ol>
ᄉᆞᅀᅵ|sòzí|ᄉᆞᅀᅵ〮예〮|ᄉᆞᅀᅵ〮	<i>noun</i><br><ol><li>space between; gap</li></ol>
ᄉᆞᆱ다|solmta	<i>verb</i><br><ol><li>to boil</li></ol>
ᄉᆞᆶ|ᄉᆞᆶ〮|sólh	<i>noun</i><br><ol><li>flesh</li></ol>
ᄉᆞ과|sokwa	<i>noun</i><br><ol><li>apple</li></ol>
ᄉᆞ나희|ᄮᅡᄒᆡ|sonahuy|snahoy	<i>noun</i><br><ol><li>man</li></ol>
ᄉᆞ라ᇰᄒᆞᆸ다|sòlàng-hóptá|ᄉᆞ라ᇰᄒᆞᆸ〮다〮	<i>adj</i><br><ol><li>(to be) lovely</li></ol>
ᄉᆞ라ᇰᄒᆞ다|solang-hota	<i>verb</i><br><ol><li>to think about</li><li>to love</li></ol>
ᄉᆞ시|sosi	<i>noun</i><br><ol><li>(Gyeongsang) gap; space between</li><li>(Gyeongsang) relationship</li></ol>
ᄉᆡᇰ각|ᄉᆡᇰ〮각〮|sóyngkák	<i>noun</i><br><ol><li>idea; thought</li></ol>
ᄉᆡᇰ각ᄒᆞ다|sóyngkák-hòtá|ᄉᆡᇰ〮각〮ᄒᆞ다〮	<i>verb</i><br><ol><li>to think about</li></ol>
ᄌᆞᄂᆞᆨᄌᆞᄂᆞᆨ|cònòkcònòk	<i>noun</i><br><ol><li>slowly and gently</li></ol>
ᄌᆡ|coy	<i>noun</i><br><ol><li>ash</li></ol>
ᄌᆡ조|coycwo	<i>noun</i><br><ol><li>talent; skill</li><li>trick; way</li></ol>
ᄍᆞᆼ|ccó|ᄍᆞᆼ〮	<i>noun</i><br><ol><li>letter, character</li></ol>
ᄎᆞᄆᆡ|chomoy	<i>noun</i><br><ol><li>the Korean melon, (Cucumis melo Makuwa Group) or its fruit.</li></ol>
ᄎᆞᆷ|chom	<i>noun</i><br><ol><li>truth</li></ol>
ᄎᆡᆨ|choyk	<i>noun</i><br><ol><li>book</li></ol>
ᄑᆞᆯ|phól|ᄑᆞᆯ〮	<i>noun</i><br><ol><li>fly (insect)</li></ol>
ᄑᆞᆾ|phoch	<i>noun</i><br><ol><li>the red bean or azuki bean, Vigna angularis.</li></ol>
ᄒᆞᄅᆞ|form: ᄒᆞᆯㄹ|holo	<i>noun</i><br><ol><li>one day</li></ol>
ᄒᆞᄫᆞᅀᅡ|hoWoza	<i>noun</i><br><ol><li>solitude</li></ol>
ᄒᆞᆫᄢᅴ|hònpskúy|ᄒᆞᆫᄢᅴ〮	<i>adv</i><br><ol><li>at the same time</li></ol>
ᄒᆞᆰ|ᄒᆞᆯ개〮|hòlk|ᄒᆞᆯᄀᆡ〮	<i>noun</i><br><ol><li>dirt, soil</li></ol>
ᄒᆞ낳|ᄒᆞ낳〮|hònáh	<i>num</i><br><ol><li>one</li></ol>
ᄒᆞ다|hòtá|ᄒᆞ다〮|ᄒᆞ〮야〮|ᄒᆞ니〮	<i>verb</i><br><ol><li>to do</li><li>to say</li><li>A light verb attached to various non-verbs to derive verbs and adjectives.</li></ol>
ᄒᆞ다가|hotaka	<i>adv</i><br><ol><li>if, in the event that.</li></ol>
ᄒᆞ야디다|ᄒᆞ〮야〮디여〮|ᄒᆞ〮야〮디니〮|ᄒᆞ〮야〮디다〮|hóyá-tìtá	<i>verb</i><br><ol><li>to become destroyed, to become ruined</li><li>to become harmed, to become injured</li></ol>
ᄒᆡ|ᄒᆡ〮예〮|ᄒᆡ〮|hóy	<i>noun</i><br><ol><li>sun</li><li>year</li></ol>
ᄒᆡ골|hoykwol	<i>noun</i><br><ol><li>skeleton</li></ol>
ᄒᆡ다|hoyta	<i>adj</i><br><ol><li>(to be) white, light gray</li></ol>
ᄠᅡᆯ기|ptálkí|ᄠᅡᆯ〮기〮	<i>noun</i><br><ol><li>berry (fruit)</li><li>strawberry (fruit)</li></ol>
ᄠᅳᆮ|ptut	<i>noun</i><br><ol><li>meaning; sense</li></ol>
ᄠᅳᆮ다|ptut.ta	<i>verb</i><br><ol><li>to tear, pick, pluck</li><li>to graze (grass)</li><li>to play (a stringed instrument)</li><li>to disassemble, disintegrate, dismantle</li><li>to extort, levy (fine, penalty, tax, tenth)</li></ol>
ᄠᅳᆶ|ᄠᅳᆶ〮|ᄠᅳᆯ헤〮|ptúl|ptúlh|ᄠᅳᆯ|ᄠᅳᆯ〮	<i>noun</i><br><ol><li>court, garden</li></ol>
ᄡᅳᆯ게|psulkey	<i>noun</i><br><ol><li>gall bladder</li></ol>
ᄡᅵ|psí|ᄡᅵ〮	<i>noun</i><br><ol><li>seed, kernel</li><li>semen</li><li>breed, offspring</li><li>gene</li><li>woof, weft</li><li>part of speech</li></ol>
ᄡᆞᆯ|psól|ᄡᆞ〮래〮|ᄡᆞᆯ〮	<i>noun</i><br><ol><li>rice</li></ol>
ᄡᆞ눈|psónwǔn|ᄡᆞ〮눈〯	<i>noun</i><br><ol><li>small hail</li></ol>
