पान	<i>noun</i><br><ol><li>leaf</li></ol>
𑂣𑂳𑂩𑂴𑂎|purūkh	<i>noun</i><br><ol><li>man</li></ol>
𑂣𑂵𑂄𑂔𑂳|peāju	<i>noun</i><br><ol><li>onion</li></ol>
𑂣𑂵𑂚𑂪|peṛal	<i>verb</i><br><ol><li>to cause pain</li><li>to torment</li></ol>
𑂣𑂵𑂚𑂰𑂉𑂪|peṛāel	<i>verb</i><br><ol><li>to ache; to pain</li></ol>
𑂣𑂵𑂢𑂹𑂯𑂪|penhal	<i>verb</i><br><ol><li>to wear, to put on</li></ol>
𑂣𑂷𑂟𑂲|pothī	<i>noun</i><br><ol><li>book</li></ol>
𑂣𑂹𑂩𑂍𑂰𑂩|prakār	<i>noun</i><br><ol><li>sort, kind, type</li><li>manner, mode, way</li></ol>
𑂣𑂹𑂩𑂞𑂱𑂭𑂹𑂘𑂰|pratisṭhā	<i>noun</i><br><ol><li>dignity, prestige</li></ol>
𑂤𑂚𑂪|phaṛal	<i>adj</i><br><ol><li>cracked, torn</li></ol><br><i>verb</i><br><ol><li>to be torn, ripped</li><li>to split open, crack</li><li>to explode, burst, pop</li></ol>
𑂤𑂰𑂚𑂪|phāṛal	<i>verb</i><br><ol><li>to tear, rip apart</li><li>to split open</li></ol>
𑂤𑂱𑂍𑂱𑂩|phikir	<i>noun</i><br><ol><li>concern, worry</li></ol>
𑂤𑂱𑂢|phin	<i>adv</i><br><ol><li>then, afterwards; so</li><li>again</li></ol>
𑂤𑂴𑂪|phūl	<i>noun</i><br><ol><li>flower</li></ol>
𑂤𑂵𑂢|phen	<i>adv</i><br><ol><li>then, afterwards; so</li><li>again</li></ol><br><i>noun</i><br><ol><li>foam</li></ol>
𑂤𑂵𑂩|pher	<i>adv</i><br><ol><li>then, afterwards; so</li><li>again</li></ol>
𑂤𑂵𑂩𑂪|pheral	<i>verb</i><br><ol><li>to change or alter something</li><li>to return something back</li><li>to turn away</li></ol>
𑂤𑂶𑂗|phaiṭ	<i>noun</i><br><ol><li>punch</li></ol>
𑂤𑂶𑂪|phail	<i>adj</i><br><ol><li>spacious, roomy</li><li>wide</li></ol>
𑂤𑂷𑂒𑂍𑂰|phockā	<i>noun</i><br><ol><li>panipuri</li></ol>
𑂥𑂍𑂱|baki	<i>conj</i><br><ol><li>but, however</li></ol>
𑂥𑂒𑂹𑂒𑂰|baccā	<i>noun</i><br><ol><li>child</li></ol>
𑂥𑂒𑂹𑂓𑂩|bacchar	<i>noun</i><br><ol><li>year (unit of time)</li></ol>
𑂥𑂕𑂪|bajhal	<i>verb</i><br><ol><li>to be entangled</li><li>to be bound</li><li>to be busy</li></ol>
𑂥𑂗𑂧|baṭam	<i>noun</i><br><ol><li>button, press studs</li></ol>
𑂥𑂚|baṛ	<i>adj</i><br><ol><li>older, senior, elder</li></ol><br><i>adv</i><br><ol><li>very</li></ol>
𑂥𑂚𑂏𑂩|baṛgar	<i>adj</i><br><ol><li>superior</li><li>elder, senior</li></ol>
𑂥𑂚𑂏𑂷|baṛgo	<i>adj</i><br><ol><li>big, large</li></ol>
𑂥𑂚𑂲|baṛī	<i>adv</i><br><ol><li>very</li></ol>
𑂥𑂞𑂱𑂄𑂪|batiāl	<i>verb</i><br><ol><li>to talk</li><li>to gossip</li></ol>
𑂥𑂞𑂹𑂞𑂲|battī	<i>noun</i><br><ol><li>light</li><li>wick, fuse (of a candle)</li></ol>
𑂥𑂢𑂱𑂔𑂩|banijar	<i>noun</i><br><ol><li>trader</li><li>businessman</li></ol>
𑂥𑂢𑂱𑂔𑂲|banijī	<i>noun</i><br><ol><li>trade, business</li></ol>
𑂥𑂨𑂮|bayas	<i>noun</i><br><ol><li>age</li></ol>
𑂥𑂩|bar	<i>noun</i><br><ol><li>strength, force</li><li>bridegroom</li></ol>
𑂥𑂩𑂔𑂷𑂩𑂲|barjorī	<i>adv</i><br><ol><li>forcibly</li></ol>
𑂥𑂩𑂞𑂪|bartal	<i>verb</i><br><ol><li>to use</li></ol>
𑂥𑂩𑂱𑂄𑂩|bariār	<i>adj</i><br><ol><li>strong</li></ol>
𑂥𑂪|bal	<i>noun</i><br><ol><li>strength, force</li></ol>
𑂥𑂯𑂱𑂢|bahin	<i>noun</i><br><ol><li>sister (a female sibling of any age)</li></ol>
𑂥𑂯𑂱𑂢𑂱|bahini	<i>noun</i><br><ol><li>sister (a female sibling of any age)</li></ol>
𑂥𑂰|bā	<i>conj</i><br><ol><li>or</li></ol>
𑂥𑂰𑂀𑂒𑂪|bā̃chal	<i>adj</i><br><ol><li>remaining, left over</li></ol><br><i>verb</i><br><ol><li>to be saved</li><li>to escape, survive</li><li>to evade</li><li>to be left out</li></ol>
𑂥𑂰𑂀𑂮|bā̃s	<i>noun</i><br><ol><li>bamboo</li></ol>
𑂥𑂰𑂍𑂱|bāki	<i>conj</i><br><ol><li>but, however</li></ol>
𑂥𑂰𑂍𑂱𑂩|bākir	<i>conj</i><br><ol><li>but, however</li></ol>
𑂥𑂰𑂐|bāgh	<i>noun</i><br><ol><li>tiger</li></ol>
𑂥𑂰𑂔𑂪|bājal	<i>verb</i><br><ol><li>to speak</li><li>to say</li></ol>
𑂥𑂰𑂞|bāt	<i>noun</i><br><ol><li>utterance</li><li>matter, affair</li><li>thing</li><li>point</li></ol>
𑂥𑂰𑂢𑂩|bānar	<i>noun</i><br><ol><li>monkey</li></ol>
𑂥𑂰𑂢𑂹𑂯𑂪|bānhal	<i>verb</i><br><ol><li>to tie, fasten, bind</li><li>to captivate</li></ol>
𑂥𑂰𑂩|bār	<i>noun</i><br><ol><li>pubic hair, pubes</li></ol>
𑂥𑂰𑂪|bāl	<i>noun</i><br><ol><li>(uncommon, literary) boy</li></ol>
𑂥𑂰𑂪⸱𑂥𑂒𑂹𑂒𑂰|bāl baccā	<i>noun</i><br><ol><li>(idiomatic) immediate family, parents and their children</li></ol>
𑂥𑂰𑂪𑂴|bālū	<i>noun</i><br><ol><li>sand</li></ol>
𑂥𑂰𑂮𑂢|bāsan	<i>noun</i><br><ol><li>utensil, ware</li><li>container</li><li>clothing</li></ol>
𑂥𑂱𑂓𑂸𑂞𑂱|bichauti	<i>noun</i><br><ol><li>house lizard</li></ol>
𑂥𑂱𑂓𑂸𑂢𑂰|bichaunā	<i>noun</i><br><ol><li>bed</li></ol>
𑂥𑂱𑂪𑂧|bilam	<i>noun</i><br><ol><li>delay</li></ol>
𑂥𑂱𑂪𑂧𑂪|bilmal	<i>verb</i><br><ol><li>to stay</li><li>to wait</li><li>to delay</li></ol>
𑂥𑂱𑂪𑂰𑂉𑂪|bilāel	<i>verb</i><br><ol><li>to disappear, vanish</li></ol>
𑂥𑂱𑂯𑂰𑂢|bihān	<i>noun</i><br><ol><li>morning</li></ol><br><i>adv</i><br><ol><li>in the morning</li></ol>
𑂥𑂲𑂏|bīg	<i>noun</i><br><ol><li>bluff, brag</li><li>a throw</li></ol>
𑂥𑂲𑂏𑂪|bīgal	<i>verb</i><br><ol><li>(transitive) to throw</li><li>(transitive) to trash, to throw out</li><li>(figuratively, derogatory, intransitive) to bluff, to brag falsely</li><li>(figuratively, intransitive) to make false promise</li></ol>
𑂥𑂳𑂄|buā	<i>noun</i><br><ol><li>A term of address for someone younger.</li></ol>
𑂥𑂳𑂕𑂪|bujhal	<i>verb</i><br><ol><li>to understand</li></ol>
𑂥𑂳𑂕𑂰𑂉𑂪|bujhāel	<i>verb</i><br><ol><li>to feel, experience (physical or abstract sensation)</li><li>to seem, appear</li></ol>
𑂥𑂳𑂚𑂪|buṛal	<i>verb</i><br><ol><li>to sink, be submerged</li></ol>
𑂥𑂳𑂛𑂰𑂩𑂲|buḍhārī	<i>noun</i><br><ol><li>old age</li></ol>
𑂥𑂳𑂞𑂩𑂴|butru	<i>noun</i><br><ol><li>kid , child</li></ol>
𑂥𑂳𑂪𑂪|bulal	<i>verb</i><br><ol><li>To walk</li></ol>
𑂥𑂵𑂍𑂯𑂪|Bekahal	<i>adj</i><br><ol><li>heedless, uncaring</li></ol>
𑂥𑂵𑂏𑂩𑂞𑂰|begarta	<i>noun</i><br><ol><li>necessity, exigency</li></ol>
𑂥𑂵𑂑|beṅ	<i>noun</i><br><ol><li>frog, toad</li></ol>
𑂥𑂵𑂟𑂰|bethā	<i>noun</i><br><ol><li>pain</li><li>grief</li></ol>
𑂥𑂵𑂟𑂰𑂪|bethāl	<i>verb</i><br><ol><li>to ache; to pain</li></ol>
𑂥𑂵𑂢𑂲|benī	<i>noun</i><br><ol><li>hand fan</li></ol>
𑂥𑂵𑂩𑂰|bera	<i>noun</i><br><ol><li>time</li><li>period</li></ol>
𑂥𑂵𑂪𑂏|belag	<i>adj</i><br><ol><li>different, separate</li><li>unrelated</li></ol>
𑂥𑂵𑂬𑂲|besi|𑂥𑂵𑂮𑂲	<i>adj</i><br><ol><li>more</li><li>too many</li></ol><br><i>adv</i><br><ol><li>much, a lot</li><li>too much</li><li>surplus</li></ol>
𑂥𑂵𑂮𑂞𑂩|bestar	<i>noun</i><br><ol><li>majority</li></ol>
𑂥𑂵𑂮𑂰𑂯𑂪|besāhal	<i>verb</i><br><ol><li>to buy, purchase</li></ol>
𑂥𑂷𑂚𑂪|boṛal	<i>verb</i><br><ol><li>to cause to sink, drown</li><li>to dip</li></ol>
𑂥𑂷𑂪𑂪|bolal	<i>verb</i><br><ol><li>to speak</li><li>to say</li></ol>
𑂥𑂷𑂪𑂰𑂪|bolāl	<i>verb</i><br><ol><li>to call</li><li>to invite</li></ol>
𑂥𑂸𑂄|bauā	<i>noun</i><br><ol><li>toddler, baby</li><li>A term of affection for someone younger.</li></ol>
𑂦𑂀𑂚𑂰𑂩|bhãṛār	<i>noun</i><br><ol><li>store, godown</li></ol>
𑂦𑂁𑂮𑂰𑂐𑂩|bhansāghar	<i>noun</i><br><ol><li>kitchen</li></ol>
𑂦𑂍𑂷𑂮𑂪|bhakosal	<i>verb</i><br><ol><li>to gobble; to guzzle</li><li>to devour</li></ol>
𑂦𑂖𑂹𑂔𑂰𑂉𑂪|bhanjāel	<i>noun</i><br><ol><li>to convert a currency into smaller denominations.</li><li>to have an unfair advantage, to have the upper hand</li></ol>
𑂦𑂰𑂩𑂞|bhārat	<i>name</i><br><ol><li>India</li></ol>
𑂦𑂱𑂎𑂧𑂑𑂹𑂏|bhīkhmaṅg	<i>noun</i><br><ol><li>beggar</li></ol>
𑂦𑂱𑂞𑂹𑂞𑂱|bhitti	<i>noun</i><br><ol><li>wall</li></ol>
𑂦𑂲𑂎|bhīkh	<i>noun</i><br><ol><li>begging, alms</li></ol>
𑂦𑂵𑂗𑂪|bhetal	<i>verb</i><br><ol><li>to receive</li><li>to come across</li></ol>
𑂦𑂵𑂪|bhel	<i>verb</i><br><ol><li>to occur, to happen</li></ol>
𑂧|ma	<i>postp</i><br><ol><li>in, inside of</li><li>within</li></ol>
𑂧𑂁𑂬𑂰|mansā	<i>noun</i><br><ol><li>aim, intention</li></ol>
𑂧𑂒𑂱𑂄|machiā	<i>noun</i><br><ol><li>chair</li><li>seat</li></ol>
𑂧𑂢|man	<i>noun</i><br><ol><li>mind, intellect</li><li>(figuratively) heart, feeling, emotion</li><li>soul</li><li>temperament</li><li>intention, desire</li></ol>
𑂧𑂢⸱𑂣𑂚𑂪|man paṛal	<i>verb</i><br><ol><li>to recall</li></ol>
𑂧𑂢𑂹𑂠𑂱𑂪|mandil	<i>noun</i><br><ol><li>temple</li></ol>
𑂧𑂧𑂹𑂧𑂰|mammā	<i>noun</i><br><ol><li>paternal grandmother</li></ol>
𑂧𑂯𑂔𑂱𑂠|mahjid	<i>noun</i><br><ol><li>mosque</li></ol>
𑂧𑂯𑂞𑂰𑂩𑂲|mahtāri|महतारी	<i>noun</i><br><ol><li>Mother</li></ol>
𑂧𑂯𑂰𑂔𑂢𑂲|mahājanī	<i>noun</i><br><ol><li>trade, business</li><li>deal, exchange (of goods or money)</li></ol>
𑂧𑂰𑂁𑂮|māns	<i>noun</i><br><ol><li>meat</li><li>flesh</li></ol>
𑂧𑂰𑂏𑂳𑂩|māgur	<i>noun</i><br><ol><li>walking catfish, Clarias batrachas</li></ol>
𑂧𑂰𑂟𑂰|māthā	<i>noun</i><br><ol><li>(anatomy) forehead</li><li>(anatomy) head</li><li>summit, top</li></ol>
𑂧𑂰𑂢𑂳𑂎|mānukh	<i>noun</i><br><ol><li>human</li><li>person</li></ol>
𑂧𑂰𑂧𑂰|māmā	<i>noun</i><br><ol><li>paternal grandmother</li></ol>
𑂧𑂰𑂩𑂹𑂤𑂞|mārfat	<i>postp</i><br><ol><li>by the means of, through</li></ol>
𑂧𑂰𑂯𑂵|māhe	<i>postp</i><br><ol><li>through</li></ol>
𑂧𑂲𑂘𑂏𑂩|mīṭhgar	<i>adj</i><br><ol><li>sweet</li></ol>
𑂧𑂳𑂝𑂹𑂙𑂲|muṇḍī	<i>intj</i><br><ol><li>Indicates disapproval.; my foot</li></ol><br><i>noun</i><br><ol><li>(anatomy) head</li></ol>
𑂧𑂴𑂘𑂱|mūṭhi	<i>noun</i><br><ol><li>fist</li><li>(slang) masturbation</li></ol>
𑂧𑂴𑂚𑂲|mūṛī	<i>intj</i><br><ol><li>Indicates disapproval.; my foot</li></ol><br><i>noun</i><br><ol><li>(anatomy) head</li></ol>
𑂧𑂴𑂮|mūs	<i>noun</i><br><ol><li>rat</li></ol>
𑂧𑂴𑂮𑂯𑂩|mūshar	<i>noun</i><br><ol><li>a community or caste found in the eastern Gangetic plain and the Terai.</li></ol>
𑂧𑂵|me	<i>postp</i><br><ol><li>in, inside of</li><li>within</li></ol>
𑂧𑂵𑂯𑂩𑂰𑂩𑂴|mehrārū|मेहरारू	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
𑂧𑂵𑂯𑂩𑂲|mehrī	<i>noun</i><br><ol><li>woman</li></ol>
𑂧𑂶𑂮𑂪|maisal	<i>verb</i><br><ol><li>to wash</li></ol>
𑂧𑂷𑂧|mom	<i>noun</i><br><ol><li>wax</li></ol>
𑂧𑂷𑂧𑂥𑂞𑂹𑂞𑂲|mombattī	<i>noun</i><br><ol><li>candle</li></ol>
𑂧𑂸𑂏𑂲|maugī	<i>noun</i><br><ol><li>lady</li><li>woman</li></ol>
𑂩𑂑𑂹𑂏|raṅg	<i>noun</i><br><ol><li>color</li><li>kind, type, sort</li></ol>
𑂩𑂰𑂎𑂪|rākhal	<i>verb</i><br><ol><li>to keep, to have</li><li>to put</li></ol>
𑂩𑂰𑂎𑂲|rākhī	<i>noun</i><br><ol><li>a rakhi (thread tied to a brother's hand by his sister)</li><li>a Hindu annual rite, or ceremony, in which a rakhi (thread) is tied to a brother's hand by his sister in exchange for a gift to her</li></ol>
𑂩𑂰𑂔𑂰|rājā	<i>noun</i><br><ol><li>king, monarch, sovereign, ruler</li><li>(chess) king</li></ol>
𑂩𑂰𑂞𑂱|rāti	<i>noun</i><br><ol><li>night</li></ol>
𑂩𑂳𑂎𑂲|rukhī	<i>noun</i><br><ol><li>squirrel</li></ol>
𑂩𑂴𑂣𑂰|rūpā	<i>noun</i><br><ol><li>silver</li></ol>
𑂩𑂸𑂠𑂰|raudā	<i>noun</i><br><ol><li>sunshine</li></ol>
𑂪𑂎𑂪|lakhal	<i>verb</i><br><ol><li>To see, look</li></ol>
𑂪𑂎𑂰𑂉𑂪|lakhāel	<i>verb</i><br><ol><li>to come to notice</li></ol>
𑂪𑂏𑂪|lagal	<i>verb</i><br><ol><li>to be hit, shoved</li><li>to affix, apply</li><li>to pass, take, elapse (of time)</li><li>to be involved, engaged [+ (object) 𑂧 = in]</li><li>to adhere, stick</li><li>an auxiliary verb expressing beginning: to begin tom</li></ol>
𑂪𑂑𑂹𑂏𑂗𑂵|laṅgṭe	<i>adj</i><br><ol><li>naked especially from the bottom half</li></ol>
𑂪𑂑𑂹𑂏𑂩|laṅgar	<i>noun</i><br><ol><li>anchor</li></ol>
𑂪𑂒𑂹𑂓𑂢|lacchan	<i>noun</i><br><ol><li>sign, characteristic, trait</li></ol>
𑂪𑂓𑂢𑂏𑂩|lachangar	<i>adj</i><br><ol><li>fortunate, lucky</li></ol>
𑂪𑂞𑂱𑂄𑂉𑂪|latiāel	<i>verb</i><br><ol><li>to kick</li><li>to beat up</li></ol>
𑂪𑂧𑂯𑂩|lamhar	<i>adj</i><br><ol><li>long (of objects, duration, etc)</li></ol>
𑂪𑂮𑂪𑂮|laslas	<i>adj</i><br><ol><li>sticky, gluey</li></ol>
𑂪𑂮𑂪𑂮𑂰𑂯𑂗|laslasāhaṭ	<i>noun</i><br><ol><li>stickiness</li></ol>
𑂪𑂮𑂹𑂮𑂰|lassā	<i>noun</i><br><ol><li>glue, gum (sticky substance used to join things)</li><li>sap</li></ol>
𑂪𑂯𑂍𑂪|lahakal	<i>verb</i><br><ol><li>to catch fire</li><li>to blaze</li></ol>
𑂪𑂰|lā	<i>postp</i><br><ol><li>for</li></ol>
𑂪𑂰𑂏𑂪|lāgal	<i>verb</i><br><ol><li>to feel, experience (physical or abstract sensation)</li><li>to seem, appear</li></ol>
𑂪𑂰𑂏𑂱|lāgi	<i>postp</i><br><ol><li>for</li></ol>
𑂪𑂰𑂧|lām	<i>adj</i><br><ol><li>long (of objects, duration, etc)</li></ol><br><i>noun</i><br><ol><li>(rare) name</li></ol>
𑂪𑂳𑂍𑂪|lukal	<i>verb</i><br><ol><li>to hide</li></ol>
𑂪𑂳𑂩𑂏𑂩|lurgar	<i>adj</i><br><ol><li>skilled</li></ol>
𑂪𑂴𑂩|lūr	<i>noun</i><br><ol><li>skill</li></ol>
𑂪𑂵𑂢⸱𑂠𑂵𑂢|len den	<i>noun</i><br><ol><li>deal, exchange (of goods or money)</li></ol>
𑂪𑂵𑂪|lel	<i>postp</i><br><ol><li>for</li></ol>
𑂪𑂶𑂍𑂰|laikā	<i>noun</i><br><ol><li>boy</li><li>son</li></ol>
𑂪𑂶𑂍𑂲|laikī	<i>noun</i><br><ol><li>girl</li><li>daughter</li></ol>
𑂪𑂸𑂑𑂹𑂏|lauṅg	<i>noun</i><br><ol><li>clove</li></ol>
𑂫𑂹𑂨𑂰𑂣𑂰𑂩|vyāpār	<i>noun</i><br><ol><li>business, trade, commerce</li><li>profession</li></ol>
𑂬𑂵𑂭|ses	<i>noun</i><br><ol><li>remaining, left</li><li>(mathematics) remainder in division</li></ol>
𑂬𑂶𑂪𑂲|sailī	<i>noun</i><br><ol><li>style, manner, way</li></ol>
𑂮𑂀|sã	<i>postp</i><br><ol><li>ablative case: from</li><li>indicates means or agency; instrumental case</li></ol>
𑂮𑂍𑂪|sakal	<i>det</i><br><ol><li>all, entire, whole</li></ol><br><i>verb</i><br><ol><li>To be able to; can</li></ol>
𑂮𑂏𑂩|sagar	<i>det</i><br><ol><li>all</li></ol><br><i>pron</i><br><ol><li>every one</li></ol>
𑂮𑂏𑂩𑂱|sagri	<i>det</i><br><ol><li>all</li></ol><br><i>pron</i><br><ol><li>every one</li></ol>
𑂮𑂏𑂩𑂷|sagro	<i>adv</i><br><ol><li>everywhere</li></ol>
𑂮𑂞𑂲𑂁|satī̃|सतीं	<i>postp</i><br><ol><li>from</li></ol>
𑂮𑂣𑂹𑂞𑂰𑂯|saptāh	<i>noun</i><br><ol><li>week</li></ol>
𑂮𑂦𑂞𑂩|sabhtar	<i>adv</i><br><ol><li>everywhere</li></ol>
𑂮𑂩𑂏|sarag	<i>noun</i><br><ol><li>heaven</li></ol>
𑂮𑂪𑂰𑂅|salāi	<i>noun</i><br><ol><li>match, matchstick</li></ol>
𑂮𑂯𑂔|sahaj	<i>adj</i><br><ol><li>easy, simple</li></ol>
𑂮𑂯𑂔𑂵|sahaje	<i>adv</i><br><ol><li>easily</li></ol>
𑂮𑂰𑂀𑂕|sā̃jh	<i>noun</i><br><ol><li>evening</li></ol>
𑂮𑂰𑂠𑂰|sādā	<i>adj</i><br><ol><li>white</li><li>plain</li></ol>
𑂮𑂱𑂑𑂹𑂐𑂰𑂚𑂰|siṅghāṛā	<i>noun</i><br><ol><li>samosa</li><li>water caltrop</li></ol>
𑂮𑂳𑂅|sui	<i>noun</i><br><ol><li>needle</li><li>pin</li><li>syringe</li></ol>
𑂮𑂳𑂅𑂄|suiā	<i>noun</i><br><ol><li>needle</li><li>pin</li><li>syringe</li></ol>
𑂮𑂳𑂏𑂹𑂏𑂰|सुग्गा|suggā	<i>noun</i><br><ol><li>parrot</li></ol>
𑂮𑂳𑂞𑂪|sutal	<i>verb</i><br><ol><li>To sleep</li><li>to lie down, recline</li></ol>
𑂮𑂳𑂞𑂰𑂩𑂲|sutārī	<i>noun</i><br><ol><li>awl</li></ol>
𑂮𑂳𑂡𑂱𑂄𑂉𑂪|sudhiāel	<i>verb</i><br><ol><li>to bring to one's senses</li><li>(idiomatic) to punish</li></ol>
𑂮𑂳𑂧𑂱𑂩𑂪|sumiral	<i>verb</i><br><ol><li>to remember</li></ol>
𑂮𑂳𑂩𑂴𑂔|surūj	<i>noun</i><br><ol><li>sun</li></ol>
𑂮𑂴𑂄|sūā	<i>noun</i><br><ol><li>awl</li></ol>
𑂮𑂴𑂡𑂲|sūdhī	<i>noun</i><br><ol><li>remembrance, memory, recollection</li><li>consciousness, awareness</li></ol>
𑂮𑂵𑂀|sẽ	<i>postp</i><br><ol><li>ablative case: from</li><li>indicates means or agency; instrumental case</li></ol>
𑂮𑂷𑂀𑂮|sõs	<i>noun</i><br><ol><li>dolphin</li></ol>
𑂮𑂷𑂅𑂄|soiā	<i>noun</i><br><ol><li>well supplied from a spring.</li></ol>
𑂮𑂷𑂢|son	<i>noun</i><br><ol><li>gold</li></ol>
𑂮𑂷𑂥𑂩𑂢|sobaran	<i>adj</i><br><ol><li>golden, gold coloured</li></ol>
𑂯𑂀𑂍𑂰𑂪|hãkāl	<i>verb</i><br><ol><li>to call out to</li><li>to invite someone over</li></ol>
𑂯𑂍𑂰𑂩|hakār	<i>noun</i><br><ol><li>a call</li><li>an invitation</li></ol>
𑂯𑂏𑂳𑂄𑂉𑂪|haguāel	<i>verb</i><br><ol><li>to scratch lightly</li></ol>
𑂯𑂔𑂰𑂩|hajār	<i>num</i><br><ol><li>thousand</li></ol>
𑂯𑂤𑂲𑂧|haphīm	<i>noun</i><br><ol><li>opium</li></ol>
𑂯𑂧|ham	<i>pron</i><br><ol><li>I</li></ol>
𑂯𑂧𑂹𑂧𑂵|hamme	<i>pron</i><br><ol><li>I</li></ol>
𑂯𑂩𑂹𑂔𑂰|harjā	<i>noun</i><br><ol><li>harm, damage</li><li>side effect</li></ol>
𑂯𑂰𑂀𑂚𑂰|hā̃ṛā	<i>noun</i><br><ol><li>handi</li></ol>
𑂯𑂰𑂗|hāṭ	<i>noun</i><br><ol><li>a marketplace, bazaar</li></ol>
𑂯𑂰𑂮𑂱𑂪|hāsil	<i>noun</i><br><ol><li>(mathematics) the bit or digit that is carried in an addition operation</li></ol>
𑂯𑂱𑂁𑂨𑂰|hĩya	<i>adv</i><br><ol><li>here</li></ol>
𑂯𑂱𑂢𑂹𑂠𑂲|hindī	<i>noun</i><br><ol><li>Hindi.</li></ol>
𑂯𑂱𑂩𑂹𑂠𑂨|hirday	<i>noun</i><br><ol><li>heart</li></ol>
𑂯𑂲𑂀𑂒𑂪|hī̃cal	<i>verb</i><br><ol><li>to pull</li><li>to stretch</li></ol>
