खज्जोअ|खज्जोआहि|खज्जोआणं|खज्जोएसु|खज्जोआओ|खज्जोआउ|खज्जोअं|खज्जोअम्मि|खज्जोओ|खज्जोएहिं|खज्जोएण|खज्जोआअ|खज्जोआण|खज्जोएणं|खज्जोआहिंतो|खज्जोअस्स|khajjoa|खज्जोए|खज्जोएसुं|खज्जोएहि|खज्जोआ	<i>noun</i><br><ol><li>Devanagari script form of 𑀔𑀚𑁆𑀚𑁄𑀅</li></ol>
खणण|khaṇaṇa	<i>noun</i><br><ol><li>Devanagari script form of 𑀔𑀡𑀡 (“act of digging”)</li></ol>
खाण|khāṇa	<i>noun</i><br><ol><li>Devanagari script form of 𑀔𑀸𑀡 (“food”)</li></ol>
खुड्डग|khuḍḍaga	<i>adj</i><br><ol><li>Devanagari script form of 𑀔𑀼𑀟𑁆𑀟𑀕 (“small”)</li></ol>
खुल्लग|khullaga	<i>adj</i><br><ol><li>Devanagari script form of 𑀔𑀼𑀮𑁆𑀮𑀕 (“small”)</li></ol>
खुल्लय|khullaya	<i>adj</i><br><ol><li>Devanagari script form of 𑀔𑀼𑀮𑁆𑀮𑀬 (“small”)</li></ol>
गरुल|गरुलाणं|गरुलाअ|गरुलेसु|गरुलो|गरुलाहि|गरुलाउ|गरुला|Ardhamagadhi|Maharastri|गरुलेणं|garula|गरुलेण|गरुलाहिंतो|गरुलेहि|गरुलस्स|ಗರುಲ|गरुलाण|गरुलेहिं|Jain Maharastri|गरुलेसुं|गरुलाओ|गरुलं|गरुलम्मि|गरुले	<i>noun</i><br><ol><li>(North India) Misspelling of गरुळ (garuḷa, “garuda”), which is Devanagari script form of 𑀕𑀭𑀼𑀴</li></ol>
गरुळ|गरुळाणं|गरुळाअ|garuḷa|ಗರುಳಸ್ಸ|ಗರುಳೋ|ಗರುಳೇಹಿಂ|गरुळेहिं|Ardhamagadhi|Maharastri|ಗರುಳೇಸು|गरुळाहि|गरुळा|गरुळेहि|गरुळम्मि|गरुळो|गरुळाओ|गरुळेण|गरुळस्स|ಗರುಳೇಹಿ|ಗರುಳಾಣಂ|ಗರುಳೇಸುಂ|ಗರುಳಾಓ|गरुळाण|गरुळाहिंतो|ಗರುಳಾಉ|ಗರುಳಾಹಿ|ಗರುಳಾ|Jain Maharastri|गरुळेसुं|ಗರುಳಾಣ|ಗರುಳಂ|गरुळेणं|ಗರುಳೇ|ಗರುಳ|ಗರುಳಾಅ|ಗರುಳಮ್ಮಿ|ಗರುಳೇಣಂ|गरुळाउ|ಗರುಳಾಹಿಂತೋ|गरुळे|ಗರುಳೇಣ|गरुळं|गरुळेसु	<i>noun</i><br><ol><li>Devanagari script form of 𑀕𑀭𑀼𑀴 (“garuda”)</li></ol>
गिद्ध|giddha	<i>noun</i><br><ol><li>Devanagari script form of 𑀕𑀺𑀤𑁆𑀥 (“vulture”)</li></ol><br><i>adj</i><br><ol><li>Devanagari script form of 𑀕𑀺𑀤𑁆𑀥 (“greedy”)</li></ol>
गुज्जरत्ता|gujjarattā	<i>name</i><br><ol><li>Devanagari script form of 𑀕𑀼𑀚𑁆𑀚𑀭𑀢𑁆𑀢𑀸</li></ol>
