cowi'	<i>noun</i><br><ol><li>any waterbird; waterfowl</li></ol>
coyoh	<i>noun</i><br><ol><li>angel</li></ol>
cudad	<i>noun</i><br><ol><li>book</li></ol>
cukap	<i>noun</i><br><ol><li>shoe</li></ol>
dadacdac	<i>noun</i><br><ol><li>cicada</li></ol>
dadaya	<i>noun</i><br><ol><li>night</li></ol>
dadayday	<i>noun</i><br><ol><li>cicada</li></ol>
dadingo	<i>noun</i><br><ol><li>eyeglasses</li><li>glass</li></ol>
dadipis	<i>noun</i><br><ol><li>cockroach</li></ol>
dafak	<i>noun</i><br><ol><li>morning</li></ol>
dafdaf	<i>noun</i><br><ol><li>grassland; prairie</li></ol>
damidam	<i>noun</i><br><ol><li>chili pepper</li></ol>
dateng	<i>noun</i><br><ol><li>vegetable</li></ol>
dihif	<i>noun</i><br><ol><li>cave; den</li></ol>
dinget	<i>noun</i><br><ol><li>(anatomy) nasal mucus</li></ol>
dingki	<i>noun</i><br><ol><li>electrical appliance; device</li><li>light; lamp</li></ol>
dipong	<i>noun</i><br><ol><li>nest</li></ol>
dofot	<i>noun</i><br><ol><li>shoulder bag</li><li>pocket</li><li>lover bag (Amis people's culture)</li><li>bag</li></ol>
doka'	<i>noun</i><br><ol><li>wound; cut</li></ol>
dongos	<i>verb</i><br><ol><li>to send; to dispatch; to deliver</li></ol>
eco	<i>noun</i><br><ol><li>elephant</li></ol>
edid	<i>noun</i><br><ol><li>wheat; barley; oats</li></ol>
edo^	<i>noun</i><br><ol><li>mouse</li></ol>
edong	<i>noun</i><br><ol><li>glove; mitten</li></ol>
edox	<i>noun</i><br><ol><li>strawberry</li></ol>
efa	<i>noun</i><br><ol><li>horse</li></ol>
efer	<i>verb</i><br><ol><li>to fly</li></ol>
ekong	<i>noun</i><br><ol><li>owl</li></ol>
enem	<i>num</i><br><ol><li>six</li></ol>
enemay	<i>noun</i><br><ol><li>six</li></ol><br><i>adj</i><br><ol><li>six years old</li></ol>
enemen	<i>verb</i><br><ol><li>to ask for six things; to request six objects</li></ol>
enor	<i>noun</i><br><ol><li>anchor (of a ship or boat)</li></ol>
epoc	<i>noun</i><br><ol><li>value; worth</li></ol>
epoden	<i>verb</i><br><ol><li>to lay down; to put down</li></ol>
fa'inay	<i>noun</i><br><ol><li>husband</li></ol>
fa^detay	<i>adj</i><br><ol><li>hot</li></ol>
fadisoso'	<i>noun</i><br><ol><li>grape</li></ol>
fadowac	<i>noun</i><br><ol><li>(anatomy) rib</li></ol>
fafahi	<i>noun</i><br><ol><li>wife</li></ol>
fafikfik	<i>noun</i><br><ol><li>gecko</li></ol>
fafofafoy	<i>noun</i><br><ol><li>a herd of pigs</li></ol>
fafoy	<i>noun</i><br><ol><li>pig</li></ol>
fafoyan	<i>noun</i><br><ol><li>piggery</li></ol>
fahdil	<i>noun</i><br><ol><li>Japanese cypress</li></ol>
faki	<i>noun</i><br><ol><li>uncle</li><li>brother-in-law (wife's brother)</li></ol>
fakici	<i>noun</i><br><ol><li>bucket</li></ol>
fala'	<i>noun</i><br><ol><li>(anatomy) lung</li></ol>
falah	<i>noun</i><br><ol><li>ash; cinder</li></ol>
falako	<i>noun</i><br><ol><li>leather</li></ol>
falalotong	<i>noun</i><br><ol><li>spider</li></ol>
faleday	<i>noun</i><br><ol><li>higher authorities; superiorities</li></ol>
fali	<i>noun</i><br><ol><li>wind</li></ol>
faliyos	<i>noun</i><br><ol><li>typhoon</li></ol>
falo	<i>num</i><br><ol><li>eight</li></ol><br><i>noun</i><br><ol><li>flower</li></ol>
faloco'	<i>noun</i><br><ol><li>(anatomy) heart</li></ol>
falohang	<i>noun</i><br><ol><li>(anatomy) chest</li></ol>
fanaway	<i>noun</i><br><ol><li>lake</li></ol>
fanges	<i>noun</i><br><ol><li>(anatomy) skin</li></ol>
faniw	<i>noun</i><br><ol><li>straw mushroom</li></ol>
fanoh	<i>noun</i><br><ol><li>(anatomy) body hair (of a person)</li></ol>
fanol	<i>noun</i><br><ol><li>pigeon; dove</li></ol>
fao^	<i>noun</i><br><ol><li>insect; bug</li></ol>
faroro	<i>noun</i><br><ol><li>basket carried on the back</li></ol>
fasiyaw	<i>noun</i><br><ol><li>kite (toy)</li></ol>
fasu^	<i>noun</i><br><ol><li>bus</li></ol>
fata'an	<i>noun</i><br><ol><li>pigeon pea</li></ol>
fawah	<i>verb</i><br><ol><li>to open (door, window)</li></ol>
fayi	<i>noun</i><br><ol><li>aunt</li></ol>
fecacido'	<i>noun</i><br><ol><li>dragonfly</li></ol>
felac	<i>noun</i><br><ol><li>rice (raw seeds used as food)</li></ol>
felalotong	<i>noun</i><br><ol><li>spider</li></ol>
feli	<i>verb</i><br><ol><li>to give</li></ol>
ferarangad	<i>noun</i><br><ol><li>stag beetle</li></ol>
fesoc	<i>verb</i><br><ol><li>to go straight ahead</li><li>to go directly to; to go nonstop</li></ol>
fetir	<i>verb</i><br><ol><li>to shoot with a rubber band</li><li>to salute by dripping alcohol</li><li>to play a plucked string instrument</li><li>to bounce</li><li>to libate in honor of some deity</li></ol>
ficekot	<i>verb</i><br><ol><li>to get a cramp</li></ol>
fidadoki	<i>noun</i><br><ol><li>bat (animal)</li></ol>
fidengal	<i>noun</i><br><ol><li>Japanese cypress</li></ol>
fiher	<i>noun</i><br><ol><li>tyre</li></ol>
fihid	<i>noun</i><br><ol><li>(anatomy) thyroid gland</li></ol>
